,air_f4936b91c9addbf0.csv
0,-2.6084205414778943
1,6.215443911192246
2,1.9984313770004154
3,-5.500493897349043
4,-10.669192969526192
5,7.036213306768852
6,3.5271546849049296
7,-5.607197357637896
8,1.0936162636866034
9,2.4292243575073975
10,1.1821565409006984
11,5.1698648595686105
12,1.8929080996266188
13,1.8929073211593317
14,-0.02227576774686406
15,-0.892724999020637
16,-0.7670254295896717
17,-0.8736066050580209
18,-1.175873911315003
19,1.170176526946003
20,-0.07621994602374624
21,32.1138472240932
