visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Okonomiyaki/Monja/Teppanyaki,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,total_area_visitors,total_genre_visitors
2016-07-01,air_7f3dc18494bce98b,1,0,0,0,0,0,0,1.0375502722699443,1.0432462861716396,0.0,0.896433511710973,1.0072086990873013,1,41.0,1,1,1.4116134397572773,1.4116134397572775
2016-07-02,air_7f3dc18494bce98b,0,0,1,0,0,0,0,1.2504232643351907,1.2740975888223047,0.0,1.7073653412515062,1.155766972573591,1,53.0,1,1,1.5746122842186734,1.5746122842186738
2016-07-03,air_7f3dc18494bce98b,0,0,0,1,0,0,0,1.2823542131449779,1.2038384967112323,0.0,1.3559615484506082,1.3361591618069424,1,19.0,1,1,-0.46053357521679633,-0.46053357521679644
2016-07-04,air_7f3dc18494bce98b,0,1,0,0,0,0,0,1.3142851619547644,1.2841346019810294,0.0,1.139713060573133,1.314936551308901,1,19.0,1,1,-1.2513509354266321,-1.2513509354266323
2016-07-05,air_7f3dc18494bce98b,0,0,0,0,0,1,0,1.3142851619547644,1.454763825679347,0.0,1.5992410973127684,1.251268719814777,1,22.0,1,1,-0.5677696570992938,-0.567769657099294
2016-07-06,air_7f3dc18494bce98b,0,0,0,0,0,0,1,1.2184923155254037,1.1536534309176094,0.0,1.1937751825425018,1.2194348040677148,1,38.0,1,1,-0.09671079559363227,-0.0967107955936323
2016-07-07,air_7f3dc18494bce98b,0,0,0,0,1,0,0,1.2823542131449779,1.2941716151397542,0.0,1.5181479143587149,1.2724913303128182,1,31.0,1,1,-0.16534188799843064,-0.1653418879984307
2016-07-08,air_7f3dc18494bce98b,1,0,0,0,0,0,0,1.0056193234601574,0.8525430361558723,0.0,-1.5093309159259425,0.9541521728421979,1,17.0,1,1,1.2002608711015914,1.2002608711015916
2016-07-09,air_7f3dc18494bce98b,0,0,1,0,0,0,0,0.7182407841720748,0.5313586150766858,0.0,-1.2119892450944136,0.8055938993559086,1,55.0,1,1,1.5118304326438294,1.5118304326438297
2016-07-10,air_7f3dc18494bce98b,0,0,0,1,0,0,0,1.122699469096043,1.073357325647813,0.0,0.4909675969407063,1.1027104463284876,1,27.0,1,1,-0.2959749332007457,-0.2959749332007458
2016-07-11,air_7f3dc18494bce98b,0,1,0,0,0,0,0,1.1972050163188792,1.1938014835525084,0.0,0.03143956020107073,1.240657414565756,1,18.0,1,1,-1.3032142041188945,-1.3032142041188948
