visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Shizuoka-ken Numazu-shi Miyukichō,total_area_visitors,total_genre_visitors
2016-01-05,air_96ec3cfe78cb0652,0,0,0,0,0,1,0,-0.7429407750865719,-0.6074872169283586,0.0,0.01415866399315865,-0.914005908979168,1,12.0,1,1,-1.4629575351821495,-1.4629575351821493
2016-01-06,air_96ec3cfe78cb0652,0,0,0,0,0,0,1,-0.7051419574115494,-0.8823373674828694,0.0,-1.1335564526230157,-0.434443199409308,1,15.0,1,1,-1.4000120344642832,-1.400012034464283
2016-01-07,air_96ec3cfe78cb0652,0,0,0,0,1,0,0,-0.6925423515198752,-0.6074872169283586,0.0,0.23871162159197548,-0.5486247969259413,1,19.0,1,1,-1.3320906048359138,-1.3320906048359136
2016-01-08,air_96ec3cfe78cb0652,1,0,0,0,0,0,0,-0.9067356516783358,-0.8430730602607965,0.0,0.7377181940337905,-1.0053511869924745,1,20.0,1,1,-1.0039280931882235,-1.0039280931882235
2016-01-09,air_96ec3cfe78cb0652,0,0,1,0,0,0,0,-1.1587277695118192,-0.8692492650755118,0.0,0.488214907812883,-1.188041743019088,1,20.0,1,1,-0.7506533116436076,-0.7506533116436074
2016-01-12,air_96ec3cfe78cb0652,0,0,0,0,0,1,0,-1.171327375403493,-1.7199759215537596,0.0,-1.3830597388439234,-0.879751429724178,1,17.0,1,1,-1.4388242799662088,-1.4388242799662085
2016-01-13,air_96ec3cfe78cb0652,0,0,0,0,0,0,1,-1.171327375403493,-1.0655708011858767,0.0,0.9373208230105167,-1.2222962222740779,1,13.0,1,1,-1.2387919377639776,-1.2387919377639773
2016-01-14,air_96ec3cfe78cb0652,0,0,0,0,1,0,0,-1.1839269812951674,-1.0263064939638036,0.0,0.9373208230105167,-1.3478959795423748,1,21.0,1,1,-1.147981235147293,-1.1479812351472929
2016-01-15,air_96ec3cfe78cb0652,1,0,0,0,0,0,0,-1.2343254048618637,-1.1571875180373803,0.0,-0.010791664628932012,-1.2793870210323945,1,7.0,1,1,-0.8772907024159156,-0.8772907024159154
2016-01-16,air_96ec3cfe78cb0652,0,0,1,0,0,0,0,-1.171327375403493,-0.9870421867417307,0.0,0.9622711516326073,-1.0281875064958013,1,10.0,1,1,-0.7327399675657958,-0.7327399675657956
2016-01-19,air_96ec3cfe78cb0652,0,0,0,0,0,1,0,-1.2595246166452123,-1.4451257709992489,0.0,0.987221480254698,-0.9596785479858214,1,10.0,1,1,-1.3696588681102133,-1.3696588681102133
2016-01-20,air_96ec3cfe78cb0652,0,0,0,0,0,0,1,-1.3351222519952572,-1.1964518252594534,0.0,0.488214907812883,-1.3022233405357213,1,21.0,1,1,-1.2472510169118332,-1.247251016911833
2016-01-21,air_96ec3cfe78cb0652,0,0,0,0,1,0,0,-1.4233194932369762,-1.248804234888884,0.0,0.36346326470242923,-1.5534228550723146,1,13.0,1,1,-1.1278287230597548,-1.1278287230597546
2016-01-22,air_96ec3cfe78cb0652,1,0,0,0,0,0,0,-1.1209289518367966,-1.1440994156300226,0.0,0.6129665509233367,-0.9482603882341579,1,31.0,1,1,-0.826038634637732,-0.8260386346377319
2016-01-23,air_96ec3cfe78cb0652,0,0,1,0,0,0,0,-1.2595246166452123,-1.4582138734066066,0.0,-1.3581094102218327,-1.0738601455024548,1,13.0,1,1,-0.7543852583264851,-0.7543852583264848
2016-01-26,air_96ec3cfe78cb0652,0,0,0,0,0,1,0,-1.6627120051787854,-1.4320376685918912,0.0,1.0371221374988793,-1.8046223696089079,1,25.0,1,1,-1.2915367842153123,-1.291536784215312
2016-01-27,air_96ec3cfe78cb0652,0,0,0,0,0,0,1,-1.4989171285870213,-1.1179232108153074,0.0,0.987221480254698,-1.599095494078968,1,15.0,1,1,-1.1432541026823149,-1.1432541026823149
2016-01-28,air_96ec3cfe78cb0652,0,0,0,0,1,0,0,-1.2973234343202347,-1.0001302891490884,0.0,1.0121718088767886,-1.4849138965623347,1,16.0,1,1,-1.1487276244838684,-1.1487276244838684
2016-01-29,air_96ec3cfe78cb0652,1,0,0,0,0,0,0,-1.1965265871868416,-1.746152126368475,0.0,-1.3830597388439234,-0.811242471214198,1,15.0,1,1,-1.0089040220987269,-1.0089040220987266
2016-01-30,air_96ec3cfe78cb0652,0,0,1,0,0,0,0,-1.2469250107535381,-1.785416433590548,0.0,-1.3830597388439234,-0.7427335127042181,1,27.0,1,1,-0.7140802341514086,-0.7140802341514084
2016-02-02,air_96ec3cfe78cb0652,0,0,0,0,0,1,0,-1.171327375403493,-1.131011313222665,0.0,0.18881096434779396,-1.0624419857507914,1,16.0,1,1,-1.3607021960713075,-1.3607021960713073
2016-02-03,air_96ec3cfe78cb0652,0,0,0,0,0,0,1,-1.3477218578869314,-1.1440994156300226,0.0,0.43831425056870144,-1.3136415002873847,1,7.0,1,1,-1.2875560410869096,-1.2875560410869094
2016-02-04,air_96ec3cfe78cb0652,0,0,0,0,1,0,0,-1.3351222519952572,-1.2357161324815265,0.0,0.18881096434779396,-1.188041743019088,1,19.0,1,1,-1.2507341671491854,-1.2507341671491852
