visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Momochi,total_area_visitors,total_genre_visitors
2016-01-04,air_d34c0861a2be94cb,0,1,0,0,0,0,0,-0.7005433803172032,-0.5015757046095912,0.0,0.3998491659468325,-0.7219982069802737,1,40.0,1,1,-1.4986422489595845,-1.4986422489595845
2016-01-05,air_d34c0861a2be94cb,0,0,0,0,0,1,0,-0.8354055152257457,-0.9824148524287787,0.0,-1.2514562910780858,-0.6142302915308878,1,46.0,1,1,-1.370457970038806,-1.370457970038806
2016-01-06,air_d34c0861a2be94cb,0,0,0,0,0,0,1,-0.8844462915561249,-1.0293259888013824,0.0,-1.2514562910780858,-0.7459466326356928,1,57.0,1,1,-1.307240382188987,-1.307240382188987
2016-01-07,air_d34c0861a2be94cb,0,0,0,0,1,0,0,-0.9334870678865039,-1.216970534291797,0.0,-1.1528708906586878,-0.6022560787031783,1,49.0,1,1,-1.239025356564479,-1.239025356564479
2016-01-08,air_d34c0861a2be94cb,1,0,0,0,0,0,0,-1.1296501732080204,-1.4046150797822117,0.0,-1.2514562910780858,-0.8058176967742405,1,47.0,1,1,-0.9094443353237246,-0.9094443353237246
2016-01-09,air_d34c0861a2be94cb,0,0,1,0,0,0,0,-1.0806093968776411,-1.369431727502759,0.0,-1.2021635908683868,-0.7579208454634024,1,20.0,1,1,-0.6550747525920428,-0.6550747525920428
2016-01-11,air_d34c0861a2be94cb,0,1,0,0,0,0,0,-1.031568620547262,-1.0175982047082315,1.0,-1.0049927900295905,-0.9974051020175932,1,32.0,1,1,-1.2932475564198573,-1.2932475564198573
2016-01-12,air_d34c0861a2be94cb,0,0,0,0,0,1,0,-1.1296501732080204,-1.357703943409608,0.0,-1.1528708906586878,-1.0093793148453027,1,44.0,1,1,-1.3462203968315631,-1.3462203968315631
2016-01-13,air_d34c0861a2be94cb,0,0,0,0,0,0,1,-1.3380734726121315,-1.5805318411794753,0.0,-1.0049927900295905,-1.1770182944332364,1,32.0,1,1,-1.145323398289056,-1.145323398289056
2016-01-14,air_d34c0861a2be94cb,0,0,0,0,1,0,0,-1.2277317258687785,-1.4046150797822117,0.0,-0.8324683392956438,-1.105173017466979,1,37.0,1,1,-1.0541201589009777,-1.0541201589009777
2016-01-15,air_d34c0861a2be94cb,1,0,0,0,0,0,0,-1.3380734726121315,-1.1466038297328915,0.0,0.9667152183583716,-1.3207088483657508,1,50.0,1,1,-0.7822595439578837,-0.7822595439578837
2016-01-16,air_d34c0861a2be94cb,0,0,1,0,0,0,0,-1.1296501732080204,-0.9237759319630241,0.0,0.6709590171001772,-1.3326830611934604,1,32.0,1,1,-0.6370839766031616,-0.6370839766031616
2016-01-18,air_d34c0861a2be94cb,0,1,0,0,0,0,0,-1.2277317258687785,-1.2638816706644007,0.0,-0.7092365887713962,-1.4165025509874272,1,48.0,1,1,-1.5093867401751664,-1.5093867401751664
2016-01-19,air_d34c0861a2be94cb,0,0,0,0,0,1,0,-1.7671802655029485,-2.061370988998663,0.0,-1.2268099409732365,-1.4883478279536844,1,50.0,1,1,-1.276756011763383,-1.276756011763383
2016-01-20,air_d34c0861a2be94cb,0,0,0,0,0,0,1,-1.7181394891725696,-1.779904170763041,0.0,-0.7092365887713962,-1.524270466436813,1,65.0,1,1,-1.1538190425060277,-1.1538190425060277
2016-01-21,air_d34c0861a2be94cb,0,0,0,0,1,0,0,-1.7058792950899746,-1.6860818980178336,0.0,-1.2268099409732365,-1.6080899562307798,1,32.0,1,1,-1.0338805359134864,-1.0338805359134864
2016-01-22,air_d34c0861a2be94cb,1,0,0,0,0,0,0,-1.3380734726121315,-1.4515262161548153,0.0,-1.0049927900295905,-1.2728119970549128,1,38.0,1,1,-0.7307859348785846,-0.7307859348785846
2016-01-23,air_d34c0861a2be94cb,0,0,1,0,0,0,0,-1.6200579365118113,-1.779904170763041,0.0,-1.2514562910780858,-1.5961157434030702,1,36.0,1,1,-0.6588228309230597,-0.6588228309230597
2016-01-25,air_d34c0861a2be94cb,0,1,0,0,0,0,0,-1.9020424004114913,-2.084826557184965,0.0,-1.2268099409732365,-1.85954842561268,1,56.0,1,1,-1.3679592511514613,-1.3679592511514613
