visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Chiyoda-ku Kanda Jinbōchō,total_area_visitors,total_genre_visitors
2016-02-22,air_0f2f96335f274801,0,1,0,0,0,0,0,-1.2462654889897737,-1.4117742480962947,0.0,-1.1358800826816755,-0.957729436147888,1,2.0,1,1,-1.5156925299786277,-1.5156925299786275
2016-02-23,air_0f2f96335f274801,0,0,0,0,0,1,0,-1.2462654889897737,-1.3860475015006215,0.0,-1.2334288263636692,-0.957729436147888,1,7.0,1,1,-1.297264327800227,-1.2972643278002267
2016-02-24,air_0f2f96335f274801,0,0,0,0,0,0,1,-1.3628513681184682,-1.681905087350864,0.0,-1.2334288263636692,-1.255396148256381,1,7.0,1,1,-1.2528077642980349,-1.2528077642980346
2016-02-25,air_0f2f96335f274801,0,0,0,0,1,0,0,-1.6219310995155674,-1.5918614742660075,0.0,-0.7700722938741994,-1.5158545213513122,1,5.0,1,1,-1.1474482785413944,-1.1474482785413942
2016-02-26,air_0f2f96335f274801,1,0,0,0,0,0,0,-1.3628513681184682,-1.2059602753309087,0.0,1.3028385093681647,-1.553062860364874,1,13.0,1,1,-0.7332056174689451,-0.7332056174689449
2016-02-27,air_0f2f96335f274801,0,0,1,0,0,0,0,-1.103771636721369,-1.0644631690547057,0.0,1.3028385093681647,-1.2305905889140065,1,10.0,1,1,-0.5633455684808005,-0.5633455684808003
2016-02-28,air_0f2f96335f274801,0,0,0,1,0,0,0,-0.9871857575926746,-0.7428788366087901,0.0,1.1321282079246762,-1.1065627922021344,1,6.0,1,1,-1.1528447400069786,-1.1528447400069783
2016-02-29,air_0f2f96335f274801,0,1,0,0,0,0,0,-1.0390017038720942,-0.7686055832044633,0.0,-0.745685107953701,-0.9701322158190753,1,16.0,1,1,-1.4673813511438756,-1.4673813511438754
2016-03-01,air_0f2f96335f274801,0,0,0,0,0,1,0,-1.4405752875375981,-1.3474573816071116,0.0,1.4003872530501584,-1.30500726694113,1,5.0,1,1,-1.3571393526326592,-1.357139352632659
2016-03-02,air_0f2f96335f274801,0,0,0,0,0,0,1,-1.2980814352691934,-1.0773265423525424,0.0,0.8638691627991933,-1.4290350636530018,1,5.0,1,1,-1.2258254569701148,-1.2258254569701146
