visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Shizuoka-ken Hamamatsu-shi Motoshirochō,total_area_visitors,total_genre_visitors
2016-07-01,air_20add8092c9bb51d,1,0,0,0,0,0,0,1.019979357088747,1.1645421760833956,0.0,1.4215919422218577,0.9870653173078618,1,44.0,1,1,1.4069774583237347,1.4069774583237344
2016-07-02,air_20add8092c9bb51d,0,0,1,0,0,0,0,1.0314139959716313,1.0165390451842629,0.0,0.5168048618988081,0.9979683357871604,1,55.0,1,1,1.5636396913216501,1.56363969132165
2016-07-03,air_20add8092c9bb51d,0,0,0,1,0,0,0,1.237237495863549,1.1531573198603857,0.0,0.671911218525617,1.1615136129766361,1,17.0,1,1,-0.3923894809657203,-0.3923894809657204
2016-07-04,air_20add8092c9bb51d,0,1,0,0,0,0,0,1.4887995512870036,1.6768607061188567,0.0,1.4215919422218577,1.226931723852426,1,7.0,1,1,-1.152463664027377,-1.1524636640273773
2016-07-05,air_20add8092c9bb51d,0,0,0,0,0,1,0,1.008544718205863,0.857151058062119,0.0,0.23244320808299265,0.9979683357871604,1,24.0,1,1,-0.4954567395169805,-0.4954567395169806
2016-07-06,air_20add8092c9bb51d,0,0,0,0,0,0,1,0.8598944127283668,0.8913056267311499,0.0,0.5685069807744112,0.8017140031597895,1,23.0,1,1,-0.0427103819536267,-0.04271038195362681
2016-07-07,air_20add8092c9bb51d,0,0,0,0,1,0,0,1.3401492458095075,1.6427061374498264,0.0,1.731804655475475,1.1506105944973375,1,28.0,1,1,-0.10867342742643321,-0.10867342742643332
2016-07-08,air_20add8092c9bb51d,1,0,0,0,0,0,0,0.9170676071427883,0.6636085022709449,0.0,-1.4737267148119007,1.1179015390594422,1,30.0,1,1,1.2038412614699783,1.203841261469978
2016-07-09,air_20add8092c9bb51d,0,0,1,0,0,0,0,0.6197669961877962,0.40175680914170914,0.0,-1.6029820120009077,0.6599747629289106,1,58.0,1,1,1.503298496315276,1.5032984963152758
2016-07-10,air_20add8092c9bb51d,0,0,0,1,0,0,0,0.9742408015572098,1.084848182522324,0.0,0.4392516835854042,0.8344230585976847,1,50.0,1,1,-0.2342280878434229,-0.234228087843423
2016-07-11,air_20add8092c9bb51d,0,1,0,0,0,0,0,1.1914989403320115,1.449163581658652,0.0,1.6284004177242692,0.9652592803492652,1,19.0,1,1,-1.2023107381630775,-1.2023107381630778
2016-07-12,air_20add8092c9bb51d,0,0,0,0,0,1,0,1.0771525515031684,1.0165390451842629,0.0,-1.551279893125305,1.0960955021008456,1,12.0,1,1,-0.48046513827316084,-0.48046513827316095
2016-07-13,air_20add8092c9bb51d,0,0,0,0,0,0,1,1.13432574591759,1.073463326299314,0.0,-1.1376629421204822,1.226931723852426,1,14.0,1,1,-0.40813066227173095,-0.40813066227173106
