visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Shizuoka-ken Numazu-shi Miyukichō,total_area_visitors,total_genre_visitors
2016-01-05,air_99157b6163835eec,0,0,0,0,0,1,0,-0.7462529039193697,-0.6135876212729978,0.0,0.016627030181559414,-0.9123761015253048,1,54.0,1,1,-1.4677913280186285,-1.4677913280186283
2016-01-06,air_99157b6163835eec,0,0,0,0,0,0,1,-0.7080889979464604,-0.8911921865577044,0.0,-1.1340832928341016,-0.42729700536472204,1,43.0,1,1,-1.4040461422379111,-1.404046142237911
2016-01-07,air_99157b6163835eec,0,0,0,0,1,0,0,-0.6953676959554907,-0.6135876212729978,0.0,0.24176600642375407,-0.5427920282600989,1,35.0,1,1,-1.3352618113361883,-1.335261811336188
2016-01-08,air_99157b6163835eec,1,0,0,0,0,0,0,-0.9116298298019757,-0.8515343915170321,0.0,0.7420748425175198,-1.0047721198416062,1,54.0,1,1,-1.0029301906058863,-1.002930190605886
2016-01-09,air_99157b6163835eec,0,0,1,0,0,0,0,-1.16605586962137,-0.877972921544147,0.0,0.49192042447063694,-1.1895641564742092,1,83.0,1,1,-0.7464377039467147,-0.7464377039467145
2016-01-10,air_99157b6163835eec,0,0,0,1,0,0,0,-1.1787771716123394,-0.9308499815983768,0.0,0.9171829351503376,-1.2126631610532845,1,81.0,1,1,-1.0303935315153654,-1.0303935315153652
2016-01-11,air_99157b6163835eec,0,1,0,0,0,0,0,-1.1533345676304,-1.0366041017068364,1.0,-0.18349650425594682,-1.2011136587637468,1,71.0,1,1,-1.389936535899096,-1.3899365358990958
2016-01-13,air_99157b6163835eec,0,0,0,0,0,0,1,-1.1787771716123394,-1.0762618967475088,0.0,0.9421983769550263,-1.224212663342822,1,67.0,1,1,-1.2407778403173382,-1.240777840317338
2016-01-14,air_99157b6163835eec,0,0,0,0,1,0,0,-1.1914984736033094,-1.0366041017068364,0.0,0.9421983769550263,-1.351257188527737,1,55.0,1,1,-1.1488134418589908,-1.1488134418589906
2016-01-15,air_99157b6163835eec,1,0,0,0,0,0,0,-1.242383681567188,-1.168796751842411,0.0,-0.008388411623128783,-1.2819601747905105,1,47.0,1,1,-0.8746839472763005,-0.8746839472763003
2016-01-16,air_99157b6163835eec,0,0,1,0,0,0,0,-1.1787771716123394,-0.9969463066661641,0.0,0.9672138187597145,-1.0278711244206815,1,94.0,1,1,-0.7282967815110954,-0.7282967815110953
2016-01-17,air_99157b6163835eec,0,0,0,1,0,0,0,-1.1787771716123394,-1.2481123419237559,0.0,-0.38362003869345307,-1.1202671427369832,1,81.0,1,1,-1.3266952646304793,-1.326695264630479
2016-01-20,air_99157b6163835eec,0,0,0,0,0,0,1,-1.3441540974949457,-1.2084545468830834,0.0,0.49192042447063694,-1.305059179369586,1,66.0,1,1,-1.2493443870230472,-1.249344387023047
2016-01-21,air_99157b6163835eec,0,0,0,0,1,0,0,-1.4332032114317337,-1.2613316069373133,0.0,0.3668432154471955,-1.559148229739415,1,53.0,1,1,-1.1284049041189192,-1.128404904118919
2016-01-22,air_99157b6163835eec,1,0,0,0,0,0,0,-1.1278919636484608,-1.1555774868288535,0.0,0.6169976334940783,-0.9470246083939177,1,41.0,1,1,-0.8227807525299455,-0.8227807525299453
2016-01-23,air_99157b6163835eec,0,0,1,0,0,0,0,-1.2678262855491276,-1.4728398471542326,0.0,-1.3592222690762963,-1.0740691335788324,1,93.0,1,1,-0.7502170627874687,-0.7502170627874685
