visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Ōsaka-fu Ōsaka-shi Ōgimachi,total_area_visitors,total_genre_visitors
2016-01-02,air_dea0655f96947922,0,0,1,0,0,0,0,-0.9346701555438648,-0.8194405959150557,1.0,0.43825528702170924,-1.1147520535772468,1,37.0,1,1,-1.8336389400572177,-1.8336389400572177
2016-01-03,air_dea0655f96947922,0,0,0,1,0,0,0,-0.6066058245089919,-0.4540261695043268,1.0,0.464035009787692,-0.661263958093023,1,43.0,1,1,-1.6959476787893566,-1.6959476787893566
2016-01-04,air_dea0655f96947922,0,1,0,0,0,0,0,-0.5714560747552557,-0.5647578138712143,0.0,0.43825528702170924,-0.7194034575140773,1,35.0,1,1,-1.4965768748345911,-1.4965768748345911
2016-01-05,air_dea0655f96947922,0,0,0,0,0,1,0,-0.712055073770201,-0.9301722402819432,0.0,-0.9280700195753842,-0.6845197578614447,1,15.0,1,1,-1.365283906376575,-1.365283906376575
2016-01-06,air_dea0655f96947922,0,0,0,0,0,0,1,-0.7237716570214465,-0.7530016092949232,0.0,-0.747611960213504,-0.5914965587877576,1,35.0,1,1,-1.3005331831409452,-1.3005331831409452
2016-01-07,air_dea0655f96947922,0,0,0,0,1,0,0,-0.840937489533901,-0.9301722402819432,0.0,-0.9280700195753842,-0.649636058208812,1,29.0,1,1,-1.2306638256574394,-1.2306638256574394
2016-01-08,air_dea0655f96947922,1,0,0,0,0,0,0,-0.9112369890413737,-1.0851965423955858,0.0,-0.9538497423413671,-0.8589382561246077,1,34.0,1,1,-0.8930898970100253,-0.8930898970100253
2016-01-09,air_dea0655f96947922,0,0,1,0,0,0,0,-1.016686238302583,-1.0741233779588972,0.0,0.9796294651073499,-1.079868353924614,1,57.0,1,1,-0.6325514137931432,-0.6325514137931432
2016-01-10,air_dea0655f96947922,0,0,0,1,0,0,0,-0.9346701555438648,-1.0519770490855196,0.0,0.721832237447521,-0.9635893550825054,1,48.0,1,1,-0.9209864536609488,-0.9209864536609488
2016-01-11,air_dea0655f96947922,0,1,0,0,0,0,0,-0.9581033220463556,-0.9744648980286983,1.0,-0.23201750489384612,-1.0333567543877709,1,40.0,1,1,-1.2862010072468926,-1.2862010072468926
2016-01-12,air_dea0655f96947922,0,0,0,0,0,1,0,-1.040119404805074,-1.118416035705652,0.0,0.1804580593618803,-1.0449846542719816,1,21.0,1,1,-1.340458530274377,-1.340458530274377
2016-01-13,air_dea0655f96947922,0,0,0,0,0,0,1,-1.274451069829983,-1.2070013511991622,0.0,-0.5929336236176066,-1.1612636531140903,1,23.0,1,1,-1.1346894335097668,-1.1346894335097668
2016-01-14,air_dea0655f96947922,0,0,0,0,1,0,0,-1.1455686540662828,-1.1516355290157183,0.0,0.051559445531965835,-1.1845194528825123,1,15.0,1,1,-1.041274358486032,-1.041274358486032
2016-01-15,air_dea0655f96947922,1,0,0,0,0,0,0,-1.1572852373175284,-1.1627086934524071,0.0,0.7476119602135037,-1.1496357532298795,1,31.0,1,1,-0.7628206554015842,-0.7628206554015842
2016-01-16,air_dea0655f96947922,0,0,1,0,0,0,0,-1.1924349870712647,-1.0962697068322746,0.0,0.464035009787692,-1.1961473527667228,1,42.0,1,1,-0.61412433050079,-0.61412433050079
