visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-07-01,air_5a9a6cbeeb434c08,1,0,0,0,0,0,0,1.1116070364794866,1.2414491264827818,0.0,0.575957447734852,0.9477153342428534,1,57.0,1,1,1.3414118235147492,1.3414118235147492
2016-07-02,air_5a9a6cbeeb434c08,0,0,1,0,0,0,0,1.4006440463002887,1.297360973323254,0.0,0.02995410067270925,1.4838840877854944,1,36.0,1,1,1.4989674955786354,1.4989674955786354
2016-07-04,air_5a9a6cbeeb434c08,0,1,0,0,0,0,0,1.4468899678716167,1.4762788832127656,0.0,0.4459566508152942,1.416862993592664,1,18.0,1,1,-1.232625699270608,-1.232625699270608
2016-07-05,air_5a9a6cbeeb434c08,0,0,0,0,0,1,0,1.4122055266931204,1.465096513844671,0.0,1.3819623886361105,1.282820805207004,1,13.0,1,1,-0.5718718879596209,-0.5718718879596209
2016-07-06,air_5a9a6cbeeb434c08,0,0,0,0,0,0,1,1.3428366443361281,1.3644551895318209,0.0,1.6679641418591376,1.282820805207004,1,21.0,1,1,-0.11654353424389215,-0.11654353424389215
2016-07-07,air_5a9a6cbeeb434c08,0,0,0,0,1,0,0,1.146291477657983,1.1184430634337432,0.0,0.6279577665026752,1.171118981552287,1,39.0,1,1,-0.1828827645865811,-0.1828827645865811
2016-07-08,air_5a9a6cbeeb434c08,1,0,0,0,0,0,0,0.7763241050873559,0.6040540725013978,0.0,-1.3740545060585154,0.8806942400500231,1,36.0,1,1,1.1371171482548774,1.1371171482548774
2016-07-09,air_5a9a6cbeeb434c08,0,0,1,0,0,0,0,0.9266233501941731,0.8724309373356647,0.0,-0.10004669624684857,0.9588855166083252,1,9.0,1,1,1.4382821769128802,1.4382821769128802
2016-07-11,air_5a9a6cbeeb434c08,0,1,0,0,0,0,0,1.0422381541224939,0.8388838292313813,0.0,-1.2960540279067807,1.1822891639177588,1,2.0,1,1,-1.2827570494727536,-1.2827570494727536
2016-07-13,air_5a9a6cbeeb434c08,0,0,0,0,0,0,1,1.0422381541224939,0.8612485679675701,0.0,-1.348054346674604,1.0929277049939854,1,23.0,1,1,-0.4840477932445838,-0.4840477932445838
2016-07-14,air_5a9a6cbeeb434c08,0,0,0,0,1,0,0,1.1347299972651508,1.1296254328018371,0.0,1.0959606354130833,1.1487786168213439,1,15.0,1,1,-0.26693758485032903,-0.26693758485032903
2016-07-15,air_5a9a6cbeeb434c08,1,0,0,0,0,0,0,0.9150618698013413,0.8724309373356647,0.0,1.3819623886361105,1.0259066108011552,1,28.0,1,1,0.9237762143119119,0.9237762143119119
2016-07-16,air_5a9a6cbeeb434c08,0,0,1,0,0,0,0,1.1578529580508148,1.3532728201637263,0.0,0.15995489759226708,0.99239606370474,1,31.0,1,1,1.3791045680276406,1.3791045680276406
2016-07-17,air_5a9a6cbeeb434c08,0,0,0,1,0,0,0,1.0422381541224939,0.9618898922804205,0.0,0.2639555351279132,1.137608434455872,1,1.0,1,1,0.4480937785592218,0.4480937785592218
2016-07-19,air_5a9a6cbeeb434c08,0,0,0,0,0,1,0,1.065361114908158,1.0401664778570816,0.0,1.485963026171757,1.0705873402630421,1,29.0,1,1,-0.9103527336853862,-0.9103527336853862
2016-07-20,air_5a9a6cbeeb434c08,0,0,0,0,0,0,1,1.0537996345153262,1.0513488472251764,0.0,1.0179601572613484,1.1487786168213439,1,31.0,1,1,-0.4263778941398599,-0.4263778941398599
2016-07-21,air_5a9a6cbeeb434c08,0,0,0,0,1,0,0,0.9844307521583335,0.9730722616485148,0.0,1.719964460626961,1.0482469755320984,1,39.0,1,1,-0.20436762895892924,-0.20436762895892924
2016-07-22,air_5a9a6cbeeb434c08,1,0,0,0,0,0,0,0.9266233501941731,0.9395251535442317,0.0,1.719964460626961,0.9588855166083252,1,13.0,1,1,0.9878538799838273,0.9878538799838273
2016-07-23,air_5a9a6cbeeb434c08,0,0,1,0,0,0,0,1.1231685168723184,1.1743549102742157,0.0,1.8759654169304303,0.9365451518773815,1,10.0,1,1,1.3056037162275023,1.3056037162275023
2016-07-25,air_5a9a6cbeeb434c08,0,1,0,0,0,0,0,1.2850292423719678,1.2526314958508764,0.0,0.4459566508152942,1.3386717170343623,1,11.0,1,1,-1.1376399830981216,-1.1376399830981216
2016-07-26,air_5a9a6cbeeb434c08,0,0,0,0,0,1,0,1.2156603600149751,1.2749962345870656,0.0,0.41995649143138275,1.1822891639177588,1,21.0,1,1,-0.40225453765160935,-0.40225453765160935
2016-07-27,air_5a9a6cbeeb434c08,0,0,0,0,0,0,1,1.3081522031576318,1.3980022976361048,0.0,0.8879593603417906,1.2046295286487023,1,18.0,1,1,-0.19758293494660878,-0.19758293494660878
2016-07-28,air_5a9a6cbeeb434c08,0,0,0,0,1,0,0,1.3890825659074564,1.465096513844671,0.0,1.1219607947969947,1.316331352303419,1,33.0,1,1,0.028950459575868854,0.028950459575868854
