visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Okonomiyaki/Monja/Teppanyaki,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,total_area_visitors,total_genre_visitors
2016-01-05,air_670a0c1c4108bcea,0,0,0,0,0,1,0,-0.6926127932414128,-0.908628757531934,0.0,-0.9093889955204411,-0.6681073919748898,1,20.0,1,1,-1.354374689735545,-1.3543746897355453
2016-01-06,air_670a0c1c4108bcea,0,0,0,0,0,0,1,-0.7043041423624494,-0.7318803320692928,0.0,-0.7300585045270543,-0.5749231217519433,1,7.0,1,1,-1.2896974334383027,-1.289697433438303
2016-01-07,air_670a0c1c4108bcea,0,0,0,0,1,0,0,-0.8212176335728159,-0.908628757531934,0.0,-0.9093889955204411,-0.6331632906412847,1,14.0,1,1,-1.219907350556298,-1.2199073505562983
2016-01-08,air_670a0c1c4108bcea,1,0,0,0,0,0,0,-0.8913657282990358,-1.0632836298117452,0.0,-0.9350076370909248,-0.8428278986429144,1,26.0,1,1,-0.8827164372912284,-0.8827164372912285
2016-01-09,air_670a0c1c4108bcea,0,0,1,0,0,0,0,-0.9965878703883657,-1.0522368532203301,0.0,0.9863904806953613,-1.064140540422412,1,15.0,1,1,-0.6224735641268303,-0.6224735641268304
2016-01-10,air_670a0c1c4108bcea,0,0,0,1,0,0,0,-0.9147484265411092,-1.0301433000374998,0.0,0.7302040649905231,-0.947660202643729,1,31.0,1,1,-0.9105813421781827,-0.9105813421781828
2016-01-11,air_670a0c1c4108bcea,0,1,0,0,0,0,0,-0.9381311247831824,-0.9528158638975943,1.0,-0.21768567311737808,-1.017548405310939,1,11.0,1,1,-1.2753815190009685,-1.2753815190009687
2016-01-12,air_670a0c1c4108bcea,0,0,0,0,0,1,0,-1.019970568630439,-1.0964239595859901,0.0,0.19221259201036311,-1.0291964390888073,1,11.0,1,1,-1.3295774807994483,-1.3295774807994485
2016-01-13,air_670a0c1c4108bcea,0,0,0,0,0,0,1,-1.2537975510511719,-1.1847981723173109,0.0,-0.5763466551041515,-1.1456767768674903,1,27.0,1,1,-1.1240418520920061,-1.1240418520920064
2016-01-14,air_670a0c1c4108bcea,0,0,0,0,1,0,0,-1.125192710719769,-1.1295642893602356,0.0,0.06411938415794403,-1.168972844423227,1,29.0,1,1,-1.0307327669200952,-1.0307327669200954
2016-01-15,air_670a0c1c4108bcea,1,0,0,0,0,0,0,-1.1368840598408054,-1.1406110659516506,0.0,0.7558227065610069,-1.134028743089622,1,40.0,1,1,-0.7525950007090294,-0.7525950007090295
2016-01-16,air_670a0c1c4108bcea,0,0,1,0,0,0,0,-1.1719581072039154,-1.0743304064031602,0.0,0.47401764928568496,-1.1806208782010952,1,25.0,1,1,-0.6040673884216863,-0.6040673884216864
2016-01-18,air_670a0c1c4108bcea,0,1,0,0,0,0,0,-0.8679830300569625,-0.9859561936718394,0.0,-1.3961431853596336,-0.8428278986429144,1,10.0,1,1,-1.4965112687919353,-1.4965112687919357
2016-01-19,air_670a0c1c4108bcea,0,0,0,0,0,1,0,-1.5110072317139784,-1.6266692359739139,0.0,-0.34577888096979714,-1.3436933510912514,1,17.0,1,1,-1.2585091912712532,-1.2585091912712534
2016-01-20,air_670a0c1c4108bcea,0,0,0,0,0,0,1,-1.4057850896246484,-1.4499208105112729,0.0,-1.03748220337286,-1.3436933510912514,1,30.0,1,1,-1.132733657286102,-1.1327336572861022
2016-01-21,air_670a0c1c4108bcea,0,0,0,0,1,0,0,-1.288871598414282,-1.339453044597122,0.0,-0.42263480568124856,-1.250509080868305,1,25.0,1,1,-1.0100258192518081,-1.0100258192518083
2016-01-22,air_670a0c1c4108bcea,1,0,0,0,0,0,0,-1.2771802492932454,-1.1627046191344808,0.0,0.3459244414332659,-1.1456767768674903,1,25.0,1,1,-0.6999328868859783,-0.6999328868859784
2016-01-23,air_670a0c1c4108bcea,0,0,1,0,0,0,0,-1.359019693140502,-1.4830611402855178,0.0,-1.319287260648182,-1.2155649795347,1,12.0,1,1,-0.626308184065402,-0.6263081840654021
2016-01-25,air_670a0c1c4108bcea,0,1,0,0,0,0,0,-1.6396120720453815,-1.5382950232425934,0.0,0.883915914413426,-1.8445588035395886,1,11.0,1,1,-1.3518182764431639,-1.351818276443164
2016-01-26,air_670a0c1c4108bcea,0,0,0,0,0,1,0,-1.288871598414282,-1.3063127148228768,0.0,0.3971617245742336,-1.3553413848691198,1,35.0,1,1,-1.1782378138904859,-1.178237813890486
2016-01-27,air_670a0c1c4108bcea,0,0,0,0,0,0,1,-0.9147484265411092,-1.0190965234460847,0.0,0.4227803661447173,-0.7496436284199678,1,15.0,1,1,-1.025875581664571,-1.0258755816645713
2016-01-28,air_670a0c1c4108bcea,0,0,0,0,1,0,0,-0.9264397756621459,-0.8865352043491039,0.0,-0.5763466551041515,-1.1456767768674903,1,12.0,1,1,-1.0314996909078096,-1.0314996909078098
2016-01-29,air_670a0c1c4108bcea,1,0,0,0,0,0,0,-0.9732051721462924,-1.2621256084572163,0.0,-1.447380468500601,-0.6564593581970214,1,21.0,1,1,-0.8878292638759906,-0.8878292638759908
2016-01-30,air_670a0c1c4108bcea,0,0,1,0,0,0,0,-0.9264397756621459,-1.0743304064031602,0.0,-1.0887194865138279,-0.679755425752758,1,20.0,1,1,-0.5848942887288279,-0.584894288728828
2016-02-01,air_670a0c1c4108bcea,0,1,0,0,0,0,0,-1.019970568630439,-1.1847981723173109,0.0,-1.1143381280843117,-0.8195318310871778,1,2.0,1,1,-1.3980893570352622,-1.3980893570352624
2016-02-02,air_670a0c1c4108bcea,0,0,0,0,0,1,0,-1.1485754089618423,-1.1185175127688205,0.0,0.11535666729891147,-1.0059003715330705,1,5.0,1,1,-1.249306103418681,-1.2493061034186812
2016-02-03,air_670a0c1c4108bcea,0,0,0,0,0,0,1,-1.3005629475353189,-1.1847981723173109,0.0,-0.39701616411076485,-1.250509080868305,1,24.0,1,1,-1.1741475526226761,-1.1741475526226763
2016-02-04,air_670a0c1c4108bcea,0,0,0,0,1,0,0,-1.1953408054459886,-1.1074707361774054,0.0,0.7045854234200394,-1.3902854862027247,1,20.0,1,1,-1.1363126358954356,-1.1363126358954356
2016-02-05,air_670a0c1c4108bcea,1,0,0,0,0,0,0,-1.0667359651145858,-1.0301433000374998,0.0,0.883915914413426,-1.0874366079781488,1,19.0,1,1,-0.7605198819154109,-0.760519881915411
2016-02-06,air_670a0c1c4108bcea,0,0,1,0,0,0,0,-1.1368840598408054,-1.1295642893602356,0.0,-0.1664483899764104,-1.0757885742002804,1,38.0,1,1,-0.5363224361735865,-0.5363224361735867
2016-02-08,air_670a0c1c4108bcea,0,1,0,0,0,0,0,-1.2304148528090988,-0.9970029702632547,0.0,1.191339613259232,-1.4951177902035395,1,16.0,1,1,-1.3464498085291636,-1.3464498085291638
2016-02-09,air_670a0c1c4108bcea,0,0,0,0,0,1,0,-0.9147484265411092,-0.9638626404890094,0.0,-0.06397382369447505,-0.9010680675322559,1,26.0,1,1,-1.1276208307013398,-1.12762083070134
2016-02-10,air_670a0c1c4108bcea,0,0,0,0,0,0,1,-1.1485754089618423,-1.1847981723173109,0.0,0.4227803661447173,-0.982604303977334,1,39.0,1,1,-0.8021894185812231,-0.8021894185812233
2016-02-12,air_670a0c1c4108bcea,1,0,0,0,0,0,0,-0.6107733493941563,-0.36733670455259537,0.0,0.3459244414332659,-0.7962357635314411,1,20.0,1,1,-0.8193173876401766,-0.8193173876401768
2016-02-13,air_670a0c1c4108bcea,0,0,1,0,0,0,0,-0.29510692312616654,-0.23477538545561413,0.0,-1.1143381280843117,-0.17888997330442077,1,32.0,1,1,-0.628608956028545,-0.6286089560285452
2016-02-14,air_670a0c1c4108bcea,0,0,0,1,0,0,0,-0.0495885915843969,0.008253699555517465,0.0,-0.5251093719631837,-0.19053800708228924,1,2.0,1,1,-1.1675008780624851,-1.1675008780624854
2016-02-15,air_670a0c1c4108bcea,0,1,0,0,0,0,0,-1.0316619177514756,-1.0411900766289148,0.0,-0.8325330708089896,-0.9942523377552024,1,13.0,1,1,-1.3500287871384973,-1.3500287871384975
