visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Other,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-07-01,air_2c505f9ad67d4635,1,0,0,0,0,0,0,1.0495895860589515,1.1254930275924337,0.0,-0.18069326802724262,0.9934580124206175,1,39.0,1,1,1.4458506624931695,1.4458506624931695
2016-07-02,air_2c505f9ad67d4635,0,0,1,0,0,0,0,1.213297866474303,1.2658462146249267,0.0,0.4898481562926036,1.149394183528338,1,3.0,1,1,1.609653089107384,1.609653089107384
2016-07-03,air_2c505f9ad67d4635,0,0,0,1,0,0,0,1.470553735698427,1.6869057757224057,0.0,0.6775997551021603,1.2830537587635278,1,22.0,1,1,-0.4355260125662654,-0.4355260125662654
2016-07-04,air_2c505f9ad67d4635,0,1,0,0,0,0,0,1.3068454552830755,1.4997681930124147,0.0,0.5434914702381911,1.17167077940087,1,11.0,1,1,-1.2302420919290094,-1.2302420919290094
2016-07-05,air_2c505f9ad67d4635,0,0,0,0,0,1,0,0.5935450906161859,0.5406880816237124,0.0,-1.360846174830172,0.7929686495678335,1,15.0,1,1,-0.5432907669177223,-0.5432907669177223
2016-07-06,air_2c505f9ad67d4635,0,0,0,0,0,0,1,0.7572533710315378,0.6927373675755796,0.0,-0.26115823894562434,0.8263835433766309,1,19.0,1,1,-0.06990959143932252,-0.06990959143932252
2016-07-07,air_2c505f9ad67d4635,0,0,0,0,1,0,0,1.260071660878689,1.8389550616742738,0.0,2.072325917687441,0.9823197144843516,1,22.0,1,1,-0.13887903422425493,-0.13887903422425493
2016-07-08,air_2c505f9ad67d4635,1,0,0,0,0,0,0,1.0145092402556617,1.0319242362374381,0.0,-0.7975913784015012,1.0045963103568836,1,18.0,1,1,1.233456128462298,1.233456128462298
2016-07-09,air_2c505f9ad67d4635,0,0,1,0,0,0,0,0.6753992308238616,0.4588153891880911,0.0,-1.360846174830172,0.8041069475040994,1,47.0,1,1,1.546561723832531,1.546561723832531
2016-07-10,air_2c505f9ad67d4635,0,0,0,1,0,0,0,1.0495895860589515,1.2073657200280545,0.0,1.777287690986708,0.7929686495678335,1,32.0,1,1,-0.2701560986160297,-0.2701560986160297
2016-07-11,air_2c505f9ad67d4635,0,1,0,0,0,0,0,1.3302323524852684,1.4646798962542917,0.0,1.991860946769059,1.0268729062294149,1,12.0,1,1,-1.282361045851714,-1.282361045851714
2016-07-12,air_2c505f9ad67d4635,0,0,0,0,0,1,0,1.2249913150753997,1.2658462146249267,0.0,0.32891821445584035,1.2830537587635278,1,22.0,1,1,-0.5276158935575104,-0.5276158935575104
2016-07-13,air_2c505f9ad67d4635,0,0,0,0,0,0,1,0.9911223430534687,0.7746100600112009,0.0,-1.360846174830172,1.160532481464604,1,27.0,1,1,-0.4519846295944879,-0.4519846295944879
2016-07-14,air_2c505f9ad67d4635,0,0,0,0,1,0,0,1.0846699318622408,1.3945033027380451,0.0,-0.314801552891212,0.9154899268667572,1,18.0,1,1,-0.22626645320743635,-0.22626645320743635
2016-07-15,air_2c505f9ad67d4635,1,0,0,0,0,0,0,0.6520123336216685,0.3535504989137215,0.0,-1.360846174830172,0.8820750330579598,1,30.0,1,1,1.0116566704152996,1.0116566704152996
2016-07-16,air_2c505f9ad67d4635,0,0,1,0,0,0,0,0.8741878570425032,0.7863061589305751,0.0,-0.9316996632654704,0.781830351631568,1,26.0,1,1,1.4850378458936992,1.4850378458936992
2016-07-17,air_2c505f9ad67d4635,0,0,0,1,0,0,0,1.0846699318622408,0.9149632470436939,0.0,-1.3340245178573782,1.17167077940087,1,26.0,1,1,0.5171144159006137,0.5171144159006137
2016-07-18,air_2c505f9ad67d4635,0,1,0,0,0,0,0,1.4120864926929442,1.4646798962542917,1.0,0.6507780981293666,1.3276069505085908,1,33.0,1,1,-1.0785876921689592,-1.0785876921689592
