visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-07-01,air_6c1128955c58b690,1,0,0,0,0,0,0,0.8567793058043768,0.9856499738323875,0.0,0.49117066299086987,0.6933994661875275,1,19.0,1,1,1.2387954890078907,1.238795489007891
2016-07-02,air_6c1128955c58b690,0,0,1,0,0,0,0,1.1555055997618018,1.0433998535343643,0.0,-0.05189529950490518,1.2471835929774313,1,52.0,1,1,1.4032363565893136,1.4032363565893136
2016-07-03,air_6c1128955c58b690,0,0,0,1,0,0,0,1.1196584444869107,1.020299901653574,0.0,-0.23291728700349693,1.2471835929774313,1,48.0,1,1,-0.6499140929500289,-0.6499140929500292
2016-07-06,air_6c1128955c58b690,0,0,0,0,0,0,1,1.0957603409703167,1.1126997091767366,0.0,1.5773025879824198,1.0395145454312174,1,32.0,1,1,-0.28287263492737963,-0.2828726349273799
2016-07-07,air_6c1128955c58b690,0,0,0,0,1,0,0,0.8926264610792679,0.8586002384880392,0.0,0.5428912308476104,0.9241428523499874,1,36.0,1,1,-0.35211089496166287,-0.3521108949616632
2016-07-08,air_6c1128955c58b690,1,0,0,0,0,0,0,0.5102568048137637,0.3273013452298526,0.0,-1.4483506316368984,0.6241764503387893,1,41.0,1,1,1.0255731200386775,1.0255731200386777
2016-07-09,air_6c1128955c58b690,0,0,1,0,0,0,0,0.6655944776716247,0.604500767799341,0.0,-0.1811967191467564,0.7049366354956507,1,47.0,1,1,1.3398990846261338,1.339899084626134
2016-07-10,air_6c1128955c58b690,0,0,0,1,0,0,0,0.7731359434962979,0.6622506475013178,0.0,-0.6984023977141613,0.9010685137337414,1,52.0,1,1,-0.4838996285496452,-0.4838996285496455
2016-07-12,air_6c1128955c58b690,0,0,0,0,0,1,0,0.9165245645958617,0.997199949772783,0.0,-0.6725421137857911,0.9356800216581105,1,23.0,1,1,-0.7423629060639867,-0.742362906063987
2016-07-13,air_6c1128955c58b690,0,0,0,0,0,0,1,0.7850849952545946,0.5929507918589455,0.0,-1.4224903477085282,0.8433826671931265,1,47.0,1,1,-0.6664368595491192,-0.6664368595491196
2016-07-14,air_6c1128955c58b690,0,0,0,0,1,0,0,0.8806774093209707,0.870150214428434,0.0,1.0083763415582747,0.9010685137337414,1,21.0,1,1,-0.43983891761873767,-0.439838917618738
2016-07-15,air_6c1128955c58b690,1,0,0,0,0,0,0,0.653645425913328,0.604500767799341,0.0,1.2928394647703474,0.7741596513443884,1,35.0,1,1,0.8029091701556985,0.8029091701556985
2016-07-16,air_6c1128955c58b690,0,0,1,0,0,0,0,0.9045755128375647,1.1011497332363411,0.0,0.07740612013694603,0.7395481434200193,1,45.0,1,1,1.2781354094819153,1.2781354094819155
2016-07-17,air_6c1128955c58b690,0,0,0,1,0,0,0,0.7850849952545946,0.6969005753225039,0.0,0.18084725585042688,0.8895313444256183,1,67.0,1,1,0.30643937377350844,0.30643937377350833
2016-07-18,air_6c1128955c58b690,0,1,0,0,0,0,0,0.7731359434962979,0.7662004309648759,1.0,0.6463323665610913,0.7395481434200193,1,53.0,1,1,-1.2954821879287721,-1.2954821879287726
2016-07-20,air_6c1128955c58b690,0,0,0,0,0,0,1,0.7970340470128918,0.789300382845667,0.0,0.9307954897731638,0.9010685137337414,1,14.0,1,1,-0.6062467812238617,-0.606246781223862
2016-07-21,air_6c1128955c58b690,0,0,0,0,1,0,0,0.7253397364631097,0.7084505512628991,0.0,1.6290231558391606,0.7972339899606343,1,14.0,1,1,-0.3745346496318569,-0.3745346496318572
2016-07-22,air_6c1128955c58b690,1,0,0,0,0,0,0,0.6655944776716247,0.6738006234417133,0.0,1.6290231558391606,0.7049366354956507,1,30.0,1,1,0.8697870349615403,0.8697870349615403
2016-07-23,air_6c1128955c58b690,0,0,1,0,0,0,0,0.8687283575626735,0.916350118190016,0.0,1.784184859409382,0.6818622968794044,1,51.0,1,1,1.2014225645575674,1.2014225645575676
2016-07-24,air_6c1128955c58b690,0,0,0,1,0,0,0,1.0479641339371284,1.0087499257131787,0.0,0.07740612013694603,1.0625888840474633,1,48.0,1,1,-0.6731246460297033,-0.6731246460297038
2016-07-26,air_6c1128955c58b690,0,0,0,0,0,1,0,0.9643207716290496,1.020299901653574,0.0,0.33600895942064846,0.9356800216581105,1,32.0,1,1,-0.5810692321204859,-0.5810692321204862
2016-07-27,air_6c1128955c58b690,0,0,0,0,0,0,1,1.0599131856954256,1.1473496369979233,0.0,0.8014940701313126,0.9587543602743565,1,34.0,1,1,-0.3674534639465325,-0.3674534639465328
2016-07-28,air_6c1128955c58b690,0,0,0,0,1,0,0,1.1435565480035046,1.2166494926402946,0.0,1.0342366254866449,1.0741260533555863,1,21.0,1,1,-0.1310205418976448,-0.13102054189764503
2016-07-29,air_6c1128955c58b690,1,0,0,0,0,0,0,1.2033018067949894,1.2743993723422715,0.0,1.0342366254866449,1.1087375612799555,1,26.0,1,1,1.128643711680622,1.128643711680622
2016-07-30,air_6c1128955c58b690,0,0,1,0,0,0,0,1.1674546515200985,1.2281994685806903,0.0,0.6721926504894614,1.1664234078205704,1,63.0,1,1,1.2529578603785396,1.2529578603785396
2016-07-31,air_6c1128955c58b690,0,0,0,1,0,0,0,1.1794037032783957,1.2397494445210857,0.0,1.4997217361973094,1.0972003919718323,1,56.0,1,1,-0.625916741460874,-0.6259167414608743
2016-08-02,air_6c1128955c58b690,0,0,0,0,0,1,0,1.1674546515200985,1.2281994685806903,0.0,1.1118174772717557,1.1779605771286932,1,14.0,1,1,-1.0322981199575478,-1.0322981199575483
2016-08-03,air_6c1128955c58b690,0,0,0,0,0,0,1,1.1077093927286135,1.1357996610575276,0.0,0.28428839156390795,1.1548862385124472,1,29.0,1,1,-0.5582520782455517,-0.558252078245552
2016-08-04,air_6c1128955c58b690,0,0,0,0,1,0,0,1.1555055997618018,1.309049300163458,0.0,1.2669791808419772,1.1087375612799555,1,26.0,1,1,-0.42410294942912785,-0.4241029494291282
2016-08-05,air_6c1128955c58b690,1,0,0,0,0,0,0,1.0599131856954256,1.2281994685806903,0.0,0.7756337862029424,1.0625888840474633,1,29.0,1,1,0.6888234007810272,0.6888234007810272
2016-08-06,air_6c1128955c58b690,0,0,1,0,0,0,0,0.9643207716290496,1.3667991798654349,0.0,0.7239132183462021,0.8318454978850033,1,45.0,1,1,0.4323271192903871,0.432327119290387
2016-08-07,air_6c1128955c58b690,0,0,0,1,0,0,0,1.0957603409703167,1.3552492039250394,0.0,0.51703094691924,0.9010685137337414,1,55.0,1,1,-0.8348117191779444,-0.8348117191779448
2016-08-09,air_6c1128955c58b690,0,0,0,0,0,1,0,1.1316074962452078,1.1357996610575276,0.0,1.7324642915526418,1.1433490692043242,1,27.0,1,1,-0.5051431856056184,-0.5051431856056188
2016-08-10,air_6c1128955c58b690,0,0,0,0,0,0,1,1.1196584444869107,1.2281994685806903,0.0,1.861765711194493,1.0972003919718323,1,37.0,1,1,0.5582148648072657,0.5582148648072657
2016-08-11,air_6c1128955c58b690,0,0,0,0,1,0,0,1.1913527550366927,1.2397494445210857,1.0,1.784184859409382,1.0510517147393406,1,57.0,1,1,0.22933312964442026,0.22933312964442013
2016-08-12,air_6c1128955c58b690,1,0,0,0,0,0,0,1.2391489620698806,1.3321492520442484,0.0,1.784184859409382,1.0741260533555863,1,38.0,1,1,-0.228976943877966,-0.22897694387796624
2016-08-13,air_6c1128955c58b690,0,0,1,0,0,0,0,1.2749961173447717,1.3667991798654349,1.0,1.7066040076242712,1.1664234078205704,1,28.0,1,1,-0.053127499359076145,-0.05312749935907637
2016-08-14,air_6c1128955c58b690,0,0,0,1,0,0,0,1.2869451691030684,1.309049300163458,1.0,1.680743723695901,1.235646423669308,1,44.0,1,1,-1.151104679789102,-1.1511046797891025
2016-08-16,air_6c1128955c58b690,0,0,0,0,0,1,0,1.0838112892120195,1.078049781355551,0.0,-0.36221870664534817,1.1202747305880782,1,35.0,1,1,-1.583450405798632,-1.5834504057986325
2016-08-17,air_6c1128955c58b690,0,0,0,0,0,0,1,1.1077093927286135,1.1126997091767366,0.0,1.1376777612001259,1.1433490692043242,1,41.0,1,1,-1.0511812817850796,-1.05118128178508
2016-08-18,air_6c1128955c58b690,0,0,0,0,1,0,0,1.1435565480035046,1.2397494445210857,0.0,1.4221408844121985,1.0395145454312174,1,20.0,1,1,-0.7592790718678172,-0.7592790718678176
2016-08-19,air_6c1128955c58b690,1,0,0,0,0,0,0,1.2033018067949894,1.1357996610575276,0.0,1.060096909415015,1.2125720850530624,1,27.0,1,1,0.649876879511743,0.6498768795117429
2016-08-20,air_6c1128955c58b690,0,0,1,0,0,0,0,1.0957603409703167,1.0664998054151553,0.0,1.4221408844121985,1.1779605771286932,1,47.0,1,1,0.5255627308138253,0.5255627308138252
2016-08-21,air_6c1128955c58b690,0,0,0,1,0,0,0,1.1077093927286135,1.1357996610575276,0.0,1.4221408844121985,1.0625888840474633,1,34.0,1,1,-1.0381991080286515,-1.038199108028652
2016-08-22,air_6c1128955c58b690,0,1,0,0,0,0,0,1.1077093927286135,1.1011497332363411,0.0,1.5773025879824198,1.1548862385124472,1,23.0,1,1,-2.2951095671737365,-2.2951095671737374
2016-08-24,air_6c1128955c58b690,0,0,0,0,0,0,1,1.0838112892120195,1.1704495888787134,0.0,1.241118896913607,0.9010685137337414,1,14.0,1,1,-0.6267035398703544,-0.6267035398703548
2016-08-25,air_6c1128955c58b690,0,0,0,0,1,0,0,1.1913527550366927,1.412999083627016,0.0,0.3877295272773888,1.1433490692043242,1,33.0,1,1,-0.48980061662074886,-0.4898006166207492
2016-08-26,air_6c1128955c58b690,1,0,0,0,0,0,0,0.9762698233873468,1.078049781355551,0.0,-0.20705700307512678,0.9587543602743565,1,33.0,1,1,0.9649896425086798,0.9649896425086798
2016-08-27,air_6c1128955c58b690,0,0,1,0,0,0,0,0.7492378399797036,0.7431004790840853,0.0,-0.8277038173560126,0.9010685137337414,1,11.0,1,1,1.0314741081097814,1.0314741081097814
2016-08-28,air_6c1128955c58b690,0,0,0,1,0,0,0,0.48635870129716974,0.36195127305103836,0.0,-1.4483506316368984,0.5088047572575594,1,39.0,1,1,-0.45675508342256826,-0.45675508342256854
2016-08-30,air_6c1128955c58b690,0,0,0,0,0,1,0,0.39076628723079365,0.40815117681262003,0.0,0.49117066299086987,0.1511525087057468,1,10.0,1,1,-0.8556618770291774,-0.8556618770291778
2016-08-31,air_6c1128955c58b690,0,0,0,0,0,0,1,0.7253397364631097,0.6391506956205272,0.0,1.2928394647703474,0.6703251275712816,1,21.0,1,1,-0.4020725939636741,-0.4020725939636744
2016-09-01,air_6c1128955c58b690,0,0,0,0,1,0,0,0.6058492188801397,0.3504012971106432,0.0,-1.4483506316368984,0.7510853127281425,1,42.0,1,1,-0.8175021541693736,-0.817502154169374
2016-09-02,air_6c1128955c58b690,1,0,0,0,0,0,0,0.40271533898909084,0.027001970779573108,0.0,-1.4483506316368984,0.6472507889550356,1,18.0,1,1,0.45357067634636034,0.4535706763463602
2016-09-03,air_6c1128955c58b690,0,0,1,0,0,0,0,0.6297473223967336,0.4428011046338062,0.0,-1.4483506316368984,0.6472507889550356,1,64.0,1,1,1.0680602341506242,1.0680602341506242
2016-09-04,air_6c1128955c58b690,0,0,0,1,0,0,0,0.7133906847048129,0.5121009602761781,0.0,-1.3707697798517877,0.8087711592687574,1,23.0,1,1,-0.9673872511754071,-0.9673872511754076
2016-09-06,air_6c1128955c58b690,0,0,0,0,0,1,0,0.7611868917380007,0.7777504069052714,0.0,0.3877295272773888,0.8318454978850033,1,17.0,1,1,-0.8556618770291774,-0.8556618770291778
2016-09-07,air_6c1128955c58b690,0,0,0,0,0,0,1,0.7014416329465157,0.6507006715609223,0.0,-1.1380272244964555,0.5088047572575594,1,39.0,1,1,-0.7537714830014538,-0.7537714830014541
