visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Ōsaka-fu Ōsaka-shi Ōgimachi,total_area_visitors,total_genre_visitors
2016-07-01,air_cf2229e64408d9fe,1,0,0,0,0,0,0,0.8746887762049134,0.8791697218419616,0.0,0.8619538618165457,0.8524474986404379,1,44.0,1,1,1.312762537432817,1.312762537432817
2016-07-02,air_cf2229e64408d9fe,0,0,1,0,0,0,0,1.071560487024178,1.092478020168359,0.0,1.6757829881049269,0.9907908676646705,1,57.0,1,1,1.4680427247654548,1.4680427247654548
2016-07-03,air_cf2229e64408d9fe,0,0,0,1,0,0,0,1.1010912436470677,1.0275581032864116,0.0,1.3231237000466283,1.1587792443369527,1,4.0,1,1,-0.47073071468200306,-0.47073071468200306
2016-07-04,air_cf2229e64408d9fe,0,1,0,0,0,0,0,1.130622000269957,1.1017522940086373,0.0,1.1061025997030602,1.1390159059049196,1,10.0,1,1,-1.224099661836524,-1.224099661836524
2016-07-06,air_cf2229e64408d9fe,0,0,0,0,0,0,1,1.0420297304012882,0.9811867340850209,0.0,1.160357874788952,1.05008088296077,1,16.0,1,1,-0.12413642094671312,-0.12413642094671312
2016-07-07,air_cf2229e64408d9fe,0,0,0,0,1,0,0,1.1010912436470677,1.1110265678489155,0.0,1.4858895253043043,1.099489229040853,1,3.0,1,1,-0.18951755245519225,-0.18951755245519225
2016-07-08,air_cf2229e64408d9fe,1,0,0,0,0,0,0,0.8451580195820236,0.7029585188766765,0.0,-1.5524058795056521,0.8030391525603549,1,19.0,1,1,1.1114183710828414,1.1114183710828414
2016-07-09,air_cf2229e64408d9fe,0,0,1,0,0,0,0,0.5793812099760165,0.4061817559877756,0.0,-1.2540018665332455,0.6646957835361226,1,42.0,1,1,1.4082338487832666,1.4082338487832666
2016-07-10,air_cf2229e64408d9fe,0,0,0,1,0,0,0,0.9534374605326192,0.9069925433627959,0.0,0.45503929867235504,0.9413825215845875,1,14.0,1,1,-0.31396459254235426,-0.31396459254235426
2016-07-11,air_cf2229e64408d9fe,0,1,0,0,0,0,0,1.0223425593193618,1.018283829446134,0.0,-0.006130539557727742,1.069844221392803,1,6.0,1,1,-1.273506994169636,-1.273506994169636
2016-07-13,air_cf2229e64408d9fe,0,0,0,0,0,0,1,0.9435938749916558,0.675135697355842,0.0,-1.5252782419627062,1.0797258906088198,1,9.0,1,1,-0.4863330301556174,-0.4863330301556174
2016-07-14,air_cf2229e64408d9fe,0,0,0,0,1,0,0,0.8943759472868397,0.9255410910433525,0.0,0.12950764815700247,0.9809091984486538,1,17.0,1,1,-0.2723584179460493,-0.2723584179460493
2016-07-15,air_cf2229e64408d9fe,1,0,0,0,0,0,0,0.6975042364675752,0.48965022055027885,0.0,-1.4981506044197601,0.8524474986404379,1,17.0,1,1,0.9011585958908006,0.9011585958908006
2016-07-16,air_cf2229e64408d9fe,0,0,1,0,0,0,0,0.8353144340410602,0.8142498049600143,0.0,-0.30453455253013434,0.7931574833443384,1,39.0,1,1,1.349910907608089,1.349910907608089
2016-07-17,air_cf2229e64408d9fe,0,0,0,1,0,0,0,0.9632810460735822,0.7771527095989018,0.0,-1.3353847791620839,1.0006725368806868,1,18.0,1,1,0.43234616427886496,0.43234616427886496
2016-07-18,air_cf2229e64408d9fe,0,1,0,0,0,0,0,0.9731246316145457,0.9162668172030741,1.0,1.2688684249607363,0.9512641908006039,1,13.0,1,1,-1.0803354692582205,-1.0803354692582205
