visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-07-12,air_25c583983246b7b0,0,0,0,0,0,1,0,1.2199636347455987,1.3017820712754786,0.0,-0.49015314523525544,1.233404775090964,1,2.0,1,1,-0.524607628684593,-0.524607628684593
2016-07-27,air_25c583983246b7b0,0,0,0,0,0,0,1,1.3675313804379985,1.454707518562049,0.0,1.0344111278304358,1.2571528040975564,1,9.0,1,1,-0.15494163970436697,-0.15494163970436697
2016-08-02,air_25c583983246b7b0,0,0,0,0,0,1,0,1.4782071897072984,1.5370519901778938,0.0,1.3553720274232133,1.4827590796601842,1,2.0,1,1,-0.8104878321247049,-0.8104878321247049
2016-08-03,air_25c583983246b7b0,0,0,0,0,0,0,1,1.4167206290021317,1.4429440226169281,0.0,0.4994762951758075,1.4590110506535918,1,8.0,1,1,-0.3430717600143456,-0.3430717600143456
2016-08-04,air_25c583983246b7b0,0,0,0,0,1,0,0,1.4659098775662653,1.6193964617937397,0.0,1.5158524772196016,1.4115149926404071,1,5.0,1,1,-0.2107988300644431,-0.2107988300644431
2016-08-05,air_25c583983246b7b0,1,0,0,0,0,0,0,1.3675313804379985,1.5370519901778938,0.0,1.0076643861977044,1.364018934627222,1,12.0,1,1,0.8865622222178858,0.8865622222178858
2016-08-06,air_25c583983246b7b0,0,0,1,0,0,0,0,1.2691528833097319,1.6782139415193436,0.0,0.9541709029322418,1.1265386445612977,1,41.0,1,1,0.63365327697643,0.63365327697643
2016-08-07,air_25c583983246b7b0,0,0,0,1,0,0,0,1.4044233168610987,1.6664504455742226,0.0,0.7401969698703902,1.1977827315810752,1,9.0,1,1,-0.6157634601749951,-0.6157634601749951
2016-08-08,air_25c583983246b7b0,0,1,0,0,0,0,0,1.4659098775662653,1.501761502342532,0.0,1.9438003433433044,1.4233890071437032,1,3.0,1,1,-1.1595952718751807,-1.1595952718751807
2016-08-09,air_25c583983246b7b0,0,0,0,0,0,1,0,1.4413152532841988,1.4429440226169281,0.0,1.9972938266087676,1.4471370361502955,1,14.0,1,1,-0.29070564405177424,-0.29070564405177424
2016-08-10,air_25c583983246b7b0,0,0,0,0,0,0,1,1.4290179411431652,1.5370519901778938,0.0,2.1310275347724246,1.3996409781371109,1,28.0,1,1,0.7577803666654881,0.7577803666654881
2016-08-11,air_25c583983246b7b0,0,0,0,0,1,0,0,1.5028018139893655,1.5488154861230148,1.0,2.0507873098742304,1.3521449201239262,1,51.0,1,1,0.4334983448528239,0.4334983448528239
2016-08-12,air_25c583983246b7b0,1,0,0,0,0,0,0,1.5519910625534985,1.6429234536839807,0.0,2.0507873098742304,1.3758929491305185,1,28.0,1,1,-0.0184018410464031,-0.0184018410464031
2016-08-13,air_25c583983246b7b0,0,0,1,0,0,0,0,1.5888829989765987,1.6782139415193436,1.0,1.9705470849760358,1.4708850651568883,1,39.0,1,1,0.15498818736299988,0.15498818736299988
