visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Niigata-ken Kashiwazaki-shi Chūōchō,total_area_visitors,total_genre_visitors
2016-07-01,air_a239a44805932bab,1,0,0,0,0,0,0,1.1235436653845061,1.0806896758067688,0.0,1.1791704520768231,1.0842371321095328,1,37.0,1,1,1.3269702621033905,1.3269702621033905
2016-07-02,air_a239a44805932bab,0,0,1,0,0,0,0,1.5110199968703635,1.790349831900115,0.0,-0.009056029071950094,1.3563399270994605,1,26.0,1,1,1.4810281567418073,1.4810281567418073
2016-07-03,air_a239a44805932bab,0,0,0,1,0,0,0,1.0903314084000042,0.9032746367834318,0.0,-0.7927798783402897,1.4470408587627697,1,30.0,1,1,-0.4424841688990955,-0.4424841688990958
2016-07-04,air_a239a44805932bab,0,1,0,0,0,0,0,0.8689163618366571,0.5066998436724444,0.0,-0.9191869508029252,1.1069123650253603,1,17.0,1,1,-1.189922949585003,-1.1899229495850034
2016-07-05,air_a239a44805932bab,0,0,0,0,0,1,0,0.9131993711493268,0.76760431282441,0.0,-0.7169356348627085,1.1182499814832738,1,27.0,1,1,-0.5438380469506855,-0.5438380469506858
2016-07-07,air_a239a44805932bab,0,0,0,0,1,0,0,0.824633352523988,0.7780404915904884,0.0,-0.9191869508029252,1.1295875979411876,1,24.0,1,1,-0.16348458458980952,-0.16348458458980977
2016-07-08,air_a239a44805932bab,1,0,0,0,0,0,0,1.0017653897746652,0.7989128491226456,0.0,-0.48940290442996476,1.1409252143991009,1,30.0,1,1,1.1272109824526204,1.1272109824526204
2016-07-09,air_a239a44805932bab,0,0,1,0,0,0,0,0.957482380461996,0.7049872402279381,0.0,-0.7422170493552356,1.2883142283519784,1,35.0,1,1,1.4216900681370583,1.4216900681370583
2016-07-10,air_a239a44805932bab,0,0,0,1,0,0,0,1.0349776467591674,0.8824022792512747,0.0,1.431984597002094,1.1295875979411876,1,28.0,1,1,-0.2869520360344737,-0.286952036034474
2016-07-11,air_a239a44805932bab,0,1,0,0,0,0,0,0.9906946374464981,0.8719661004851963,0.0,1.9376128868526357,1.0842371321095328,1,24.0,1,1,-1.2389413706063175,-1.238941370606318
