visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Yakiniku/Korean food,Tōkyō-to Chūō-ku Ginza,total_area_visitors,total_genre_visitors
2016-01-04,air_2aab19554f91ff82,0,1,0,0,0,0,0,-0.7465569296415931,-0.5546932161460688,0.0,0.9146280464929821,-0.8364478088463894,1,22.0,1,1,-1.5023453992612152,-1.5023453992612148
2016-01-05,air_2aab19554f91ff82,0,0,0,0,0,1,0,-0.5332966265669528,-0.5296929585169501,0.0,0.7918112582996861,-0.752754368985087,1,10.0,1,1,-1.3741697249569735,-1.3741697249569733
2016-01-06,air_2aab19554f91ff82,0,0,0,0,0,0,1,-0.7841911007724119,-1.042198239913881,0.0,-1.2715107833476873,-0.5136302550956513,1,32.0,1,1,-1.3109563807094626,-1.3109563807094624
2016-01-07,air_2aab19554f91ff82,0,0,0,0,1,0,0,-0.809280548192958,-0.8421961788809323,0.0,-0.09246961669204548,-0.8244916031519176,1,26.0,1,1,-1.2427459341498954,-1.2427459341498952
2016-01-08,air_2aab19554f91ff82,1,0,0,0,0,0,0,-1.0476302986881443,-1.0921987551721182,0.0,0.8655013312156634,-0.9918784828745226,1,35.0,1,1,-0.9131870366697891,-0.9131870366697888
2016-01-11,air_2aab19554f91ff82,0,1,0,0,0,0,0,-1.0099961275573253,-1.1421992704303552,1.0,-0.46091998127193357,-0.9081850430132201,1,2.0,1,1,-1.2969644942357053,-1.296964494235705
2016-01-12,air_2aab19554f91ff82,0,0,0,0,0,1,0,-1.4741509048374248,-1.692204938270964,0.0,-1.2715107833476873,-1.2549150081529017,1,12.0,1,1,-1.349933778743501,-1.3499337787435008
2016-01-13,air_2aab19554f91ff82,0,0,0,0,0,0,1,-1.3612483914449682,-1.2422003009468296,0.0,0.8655013312156634,-1.470126710653394,1,23.0,1,1,-1.1490502657988417,-1.1490502657988415
2016-01-14,air_2aab19554f91ff82,0,0,0,0,1,0,0,-1.1479880883703277,-1.0296981110993217,0.0,0.9637547617703004,-1.3386084480142044,1,20.0,1,1,-1.057853148603816,-1.0578531486038159
2016-01-15,air_2aab19554f91ff82,1,0,0,0,0,0,0,-1.1981669832114197,-1.0921987551721182,0.0,0.7181211853837083,-1.1233967455137122,1,32.0,1,1,-0.7860107828279588,-0.7860107828279586
2016-01-18,air_2aab19554f91ff82,0,1,0,0,0,0,0,-1.5494192470990626,-1.6797048094564047,0.0,-0.9276237764064584,-1.3386084480142044,1,3.0,1,1,-1.513089169232136,-1.5130891692321358
2016-01-19,air_2aab19554f91ff82,0,0,0,0,0,1,0,-1.2608906017627846,-1.3797017179069817,0.0,0.9637547617703004,-1.2549150081529017,1,16.0,1,1,-1.2804740566059198,-1.2804740566059196
2016-01-20,air_2aab19554f91ff82,0,0,0,0,0,0,1,-1.386337838865514,-1.3172010738341853,0.0,0.9883181194089595,-1.4462142992644502,1,24.0,1,1,-1.1575453397293374,-1.1575453397293372
2016-01-21,air_2aab19554f91ff82,0,0,0,0,1,0,0,-1.2232564306319655,-1.2672005585759483,0.0,0.546177681913094,-1.24295880245843,1,26.0,1,1,-1.0376148842399884,-1.0376148842399884
2016-01-22,air_2aab19554f91ff82,1,0,0,0,0,0,0,-1.1730775357908738,-1.1671995280594738,0.0,0.7181211853837083,-1.0038346885689944,1,31.0,1,1,-0.7345406290137798,-0.7345406290137797
2016-01-23,air_2aab19554f91ff82,0,0,1,0,0,0,0,-1.41142728628606,-1.654704551827286,0.0,-1.2223840680703688,-1.0516595113468816,1,4.0,1,1,-0.6625823557201705,-0.6625823557201704
