visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Miyagi-ken Sendai-shi Kamisugi,total_area_visitors,total_genre_visitors
2016-07-01,air_375a5241615b5e22,1,0,0,0,0,0,0,1.1218975980225026,1.1723122883672097,0.0,2.0961544459598467,0.9604113839089575,1,7.0,1,1,1.3247985687668513,1.3247985687668513
2016-07-02,air_375a5241615b5e22,0,0,1,0,0,0,0,1.067481833151677,0.8846749749809932,0.0,-1.210402761429866,1.1510312332749781,1,10.0,1,1,1.4812535785024767,1.4812535785024767
2016-07-04,air_375a5241615b5e22,0,1,0,0,0,0,0,1.1218975980225026,1.2255784575128055,0.0,-0.4818393089541666,0.9286414090146208,1,9.0,1,1,-1.231257080717807,-1.231257080717807
2016-07-05,air_375a5241615b5e22,0,0,0,0,0,1,0,0.5450904903917536,0.2987471143794409,0.0,-1.3505111176751927,0.769791534542937,1,9.0,1,1,-0.5751192049605063,-0.5751192049605063
2016-07-06,air_375a5241615b5e22,0,0,0,0,0,0,1,0.6756883260817343,0.42658592032887044,0.0,-1.3505111176751927,0.769791534542937,1,6.0,1,1,-0.12297171271018166,-0.12297171271018166
2016-07-07,air_375a5241615b5e22,0,0,0,0,1,0,0,0.7301040909525597,0.6609570645694913,0.0,-1.0422727339354738,0.8333314843316106,1,6.0,1,1,-0.18884750628307664,-0.18884750628307664
2016-07-08,air_375a5241615b5e22,1,0,0,0,0,0,0,0.8171693147458804,0.8101023381771594,0.0,-0.25766593896164375,0.8121515010687196,1,16.0,1,1,1.1219310681048678,1.1219310681048678
2016-07-09,air_375a5241615b5e22,0,0,1,0,0,0,0,0.9586503034100264,0.8207555720062782,0.0,-1.2384244326789313,1.1510312332749781,1,10.0,1,1,1.4209921991545444,1.4209921991545444
2016-07-10,air_375a5241615b5e22,0,0,0,1,0,0,0,1.2307291277641532,1.353417263462235,0.0,0.9192442534991013,1.0874912834863044,1,1.0,1,1,-0.3142360906405756,-0.3142360906405756
2016-07-11,air_375a5241615b5e22,0,1,0,0,0,0,0,1.1654302099191627,1.4599496017534264,0.0,1.95604608971452,1.0980812751177502,1,9.0,1,1,-1.2810382201791424,-1.2810382201791424
2016-07-12,air_375a5241615b5e22,0,0,0,0,0,1,0,1.0021829153066866,1.0657799500760183,0.0,1.8439594047182584,0.9392314006460665,1,4.0,1,1,-0.5601474336939393,-0.5601474336939393
2016-07-13,air_375a5241615b5e22,0,0,0,0,0,0,1,0.9695334563841913,0.8207555720062782,0.0,-1.2664461039279968,1.172211216537869,1,11.0,1,1,-0.4879086373327533,-0.4879086373327533
2016-07-14,air_375a5241615b5e22,0,0,0,0,1,0,0,1.0892481391000073,0.9699008456139464,0.0,-1.0142510626864085,1.203981191432206,1,7.0,1,1,-0.27231513109418787,-0.27231513109418787
2016-07-15,air_375a5241615b5e22,1,0,0,0,0,0,0,0.8933513855650358,0.7781426366898019,0.0,-1.0422727339354738,0.9815913671718486,1,12.0,1,1,0.9100805046829442,0.9100805046829442
2016-07-16,air_375a5241615b5e22,0,0,1,0,0,0,0,0.8715850796167057,0.7781426366898019,0.0,-0.28568761021070915,0.9286414090146208,1,20.0,1,1,1.362227996933269,1.362227996933269
