visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Chūō-ku Tsukiji,total_area_visitors,total_genre_visitors
2016-01-05,air_b162fb07fbbdea33,0,0,0,0,0,1,0,-0.5203097174463982,-0.5230440917772438,0.0,0.7149619419208878,-0.734128099472481,1,7.0,1,1,-1.4803426967015658,-1.4803426967015663
2016-01-06,air_b162fb07fbbdea33,0,0,0,0,0,0,1,-0.7711384374990832,-1.0337380903127664,0.0,-1.3728902839839938,-0.49455407791956824,1,7.0,1,1,-1.4159702871950222,-1.4159702871950226
2016-01-07,air_b162fb07fbbdea33,0,0,0,0,1,0,0,-0.7962213095043518,-0.8344428713720747,0.0,-0.17983186918120442,-0.8060003059383548,1,15.0,1,1,-1.346509149664246,-1.3465091496642463
2016-01-08,air_b162fb07fbbdea33,1,0,0,0,0,0,0,-1.0345085935544023,-1.0835618950479393,0.0,0.7895280928460618,-0.9737021210253939,1,7.0,1,1,-1.0109075364661,-1.0109075364661002
2016-01-09,air_b162fb07fbbdea33,0,0,1,0,0,0,0,-0.9718014135412312,-0.9963702367613868,0.0,0.8392388601295118,-1.0096382242583306,1,21.0,1,1,-0.7518912800326558,-0.7518912800326562
2016-01-10,air_b162fb07fbbdea33,0,0,0,1,0,0,0,-0.8965527975254256,-0.8344428713720747,0.0,0.8889496274129611,-1.0575530285689132,1,7.0,1,1,-1.038641104198168,-1.0386411041981685
2016-01-12,air_b162fb07fbbdea33,0,0,0,0,0,1,0,-1.4609174176439668,-1.681447551870015,0.0,-1.3728902839839938,-1.237233544733598,1,7.0,1,1,-1.4556623657840373,-1.4556623657840377
2016-01-13,air_b162fb07fbbdea33,0,0,0,0,0,0,1,-1.3480444936202585,-1.2330333092534584,0.0,0.7895280928460618,-1.4528501641312195,1,5.0,1,1,-1.251095499209883,-1.2510954992098833
2016-01-14,air_b162fb07fbbdea33,0,0,0,0,1,0,0,-1.1348400815754764,-1.0212821391289733,0.0,0.8889496274129611,-1.3210844522771175,1,6.0,1,1,-1.1582262127676364,-1.1582262127676368
2016-01-15,air_b162fb07fbbdea33,1,0,0,0,0,0,0,-1.1850058255860134,-1.0835618950479393,0.0,0.6403957909957133,-1.105467832879496,1,14.0,1,1,-0.8813994082493778,-0.8813994082493782
2016-01-16,air_b162fb07fbbdea33,0,0,1,0,0,0,0,-1.0721329015623051,-0.9714583343938002,0.0,0.8889496274129611,-1.129425235034787,1,12.0,1,1,-0.7335718591454181,-0.7335718591454184
2016-01-17,air_b162fb07fbbdea33,0,0,0,1,0,0,0,-1.159922953580745,-1.370048772275184,0.0,-0.6023733910905257,-1.069531729646559,1,11.0,1,1,-1.3378583120230505,-1.3378583120230507
2016-01-19,air_b162fb07fbbdea33,0,0,0,0,0,1,0,-1.2477130055991847,-1.370048772275184,0.0,0.8889496274129611,-1.237233544733598,1,17.0,1,1,-1.3849290462472028,-1.3849290462472033
2016-01-20,air_b162fb07fbbdea33,0,0,0,0,0,0,1,-1.3731273656255272,-1.3077690163562177,0.0,0.9138050110546858,-1.4288927619759282,1,8.0,1,1,-1.2597463368510786,-1.259746336851079
2016-01-21,air_b162fb07fbbdea33,0,0,0,0,1,0,0,-1.210088697591282,-1.2579452116210448,0.0,0.46640810550364004,-1.2252548436559523,1,8.0,1,1,-1.137616864269494,-1.1376168642694944
2016-01-22,air_b162fb07fbbdea33,1,0,0,0,0,0,0,-1.159922953580745,-1.1582976021506988,0.0,0.6403957909957133,-0.9856808221030395,1,11.0,1,1,-0.8289855095997811,-0.8289855095997815
2016-01-23,air_b162fb07fbbdea33,0,0,1,0,0,0,0,-1.3982102376307957,-1.644079698318635,0.0,-1.3231795167005442,-1.0335956264136221,1,12.0,1,1,-0.7557078260508303,-0.7557078260508306
2016-01-24,air_b162fb07fbbdea33,0,0,0,1,0,0,0,-1.4734588536466011,-1.2953130651724245,0.0,0.8640942437712364,-1.4887862673641563,1,5.0,1,1,-1.453118001771921,-1.4531180017719214
2016-01-26,air_b162fb07fbbdea33,0,0,0,0,0,1,0,-1.4107516736334298,-1.2454892604372516,0.0,0.7646727092043372,-1.500764968441802,1,10.0,1,1,-1.3050360162667496,-1.30503601626675
