visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Hokkaidō Asahikawa-shi 6 Jōdōri,total_area_visitors,total_genre_visitors
2016-07-01,air_e053c561f32acc28,1,0,0,0,0,0,0,1.3102764764131578,1.3927449596588322,0.0,2.8396762722337163,1.0886830795328273,1,47.0,1,1,1.410655375664609,1.410655375664609
2016-07-02,air_e053c561f32acc28,0,0,1,0,0,0,0,1.1474372699950075,1.1203442951387121,0.0,-0.6143869597575472,1.1533640206821272,1,36.0,1,1,1.5678226012575474,1.5678226012575474
2016-07-03,air_e053c561f32acc28,0,0,0,1,0,0,0,1.0171659048604873,0.7647100942374447,0.0,-0.9951498357250881,1.048257491314515,1,36.0,1,1,-0.3945117297700747,-0.3945117297700747
2016-07-04,air_e053c561f32acc28,0,1,0,0,0,0,0,0.5937839681732968,0.5755429660984726,0.0,0.6366910612786584,0.6359164914877288,1,15.0,1,1,-1.1570359725989725,-1.1570359725989725
2016-07-05,air_e053c561f32acc28,0,0,0,0,0,1,0,0.7973329761959845,1.0295440736320056,0.0,1.1262433303797825,0.587405785625754,1,12.0,1,1,-0.4979112202917448,-0.4979112202917448
2016-07-06,air_e053c561f32acc28,0,0,0,0,0,0,1,0.9357463016514121,1.0068440182553289,0.0,1.6157955994809063,0.910810491372253,1,34.0,1,1,-0.04370545829109952,-0.04370545829109952
2016-07-07,air_e053c561f32acc28,0,0,0,0,1,0,0,1.0008819842186722,1.2414112571476545,0.0,2.8668736205171124,0.6844271973497036,1,19.0,1,1,-0.10988113222496837,-0.10988113222496837
2016-07-08,air_e053c561f32acc28,1,0,0,0,0,0,0,1.0904435477486547,1.279244682775449,0.0,2.4317160479827797,0.8622997855102782,1,44.0,1,1,1.206864379800081,1.206864379800081
2016-07-09,air_e053c561f32acc28,0,0,1,0,0,0,0,1.123011389032285,1.1052109248875945,0.0,0.44630962329488816,1.0563426089581773,1,41.0,1,1,1.5072868995339515,1.5072868995339515
2016-07-10,air_e053c561f32acc28,0,0,0,1,0,0,0,1.0008819842186722,0.878210371120828,0.0,-0.9407551391582966,1.1533640206821272,1,14.0,1,1,-0.2358405115877301,-0.2358405115877301
2016-07-11,air_e053c561f32acc28,0,1,0,0,0,0,0,0.9764561032559498,0.9463105372508581,0.0,-0.043242645806235866,1.0159170207398651,1,32.0,1,1,-1.2070437261967257,-1.2070437261967257
