visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Fukuoka-ken Fukuoka-shi Torikai,total_area_visitors,total_genre_visitors
2016-01-01,air_60a7057184ec7ec7,1,0,0,0,0,0,0,-1.1574884326495896,-0.9667648347512363,1.0,0.3928304781419709,-1.2386549167893184,1,64.0,1,1,-1.968155524141711,-1.968155524141711
2016-01-02,air_60a7057184ec7ec7,0,0,1,0,0,0,0,-0.6283991813306453,-0.718777397980209,1.0,-1.0946030057154699,-0.6146783438450606,1,64.0,1,1,-1.8179437381561008,-1.8179437381561008
2016-01-03,air_60a7057184ec7ec7,0,0,0,1,0,0,0,-0.6283991813306453,-0.6597327701775834,1.0,-0.8962785412011444,-0.5906792448856661,1,57.0,1,1,-1.6812027214720766,-1.6812027214720766
2016-01-04,air_60a7057184ec7ec7,0,1,0,0,0,0,0,-0.7022255884914282,-0.5062167378907568,0.0,0.41762103620626173,-0.722674289162336,1,31.0,1,1,-1.483207829284614,-1.483207829284614
2016-01-05,air_60a7057184ec7ec7,0,0,0,0,0,1,0,-0.8375740016195302,-0.9903826858722865,0.0,-1.2433463541012137,-0.6146783438450606,1,8.0,1,1,-1.3528209490636023,-1.3528209490636023
2016-01-06,air_60a7057184ec7ec7,0,0,0,0,0,0,1,-0.8867916063933856,-1.037618388114387,0.0,-1.2433463541012137,-0.7466733881217306,1,24.0,1,1,-1.288517088057918,-1.288517088057918
2016-01-07,air_60a7057184ec7ec7,0,0,0,0,1,0,0,-0.9360092111672409,-1.2265611970827888,0.0,-1.144184121844051,-0.6026787943653634,1,45.0,1,1,-1.219129917881824,-1.219129917881824
2016-01-08,air_60a7057184ec7ec7,1,0,0,0,0,0,0,-1.132879630262662,-1.4155040060511905,0.0,-1.2433463541012137,-0.8066711355202169,1,57.0,1,1,-0.8838856780932963,-0.8838856780932963
2016-01-09,air_60a7057184ec7ec7,0,0,1,0,0,0,0,-1.0836620254888067,-1.3800772293696153,0.0,-1.1937652379726325,-0.7586729376014278,1,57.0,1,1,-0.6251452413194364,-0.6251452413194364
2016-01-10,air_60a7057184ec7ec7,0,0,0,1,0,0,0,-1.0836620254888067,-1.1675165692801632,0.0,-0.30130514765816807,-0.9626652787562813,1,50.0,1,1,-0.9115897130720299,-0.9115897130720299
2016-01-11,air_60a7057184ec7ec7,0,1,0,0,0,0,0,-1.0344444207149512,-1.0258094625538619,1.0,-0.995440773458307,-0.9986639271953731,1,19.0,1,1,-1.2742838223807704,-1.2742838223807704
2016-01-12,air_60a7057184ec7ec7,0,0,0,0,0,1,0,-1.132879630262662,-1.3682683038090901,0.0,-1.144184121844051,-1.0106634766750704,1,14.0,1,1,-1.3281668995871145,-1.3281668995871145
2016-01-13,air_60a7057184ec7ec7,0,0,0,0,0,0,1,-1.3420544505515468,-1.5926378894590671,0.0,-0.995440773458307,-1.178657169390832,1,4.0,1,1,-1.1238178709366398,-1.1238178709366398
2016-01-14,air_60a7057184ec7ec7,0,0,0,0,1,0,0,-1.2313148398103726,-1.4155040060511905,0.0,-0.8219068670082722,-1.1066598725126484,1,27.0,1,1,-1.0310474785766606,-1.0310474785766606
2016-01-15,air_60a7057184ec7ec7,1,0,0,0,0,0,0,-1.3420544505515468,-1.155707643719638,0.0,0.9878038716849473,-1.322651763147199,1,56.0,1,1,-0.7545154597063664,-0.7545154597063664
2016-01-16,air_60a7057184ec7ec7,0,0,1,0,0,0,0,-1.132879630262662,-0.9313380580696609,0.0,0.6903171749134591,-1.3346513126268964,1,51.0,1,1,-0.606845328305961,-0.606845328305961
2016-01-17,air_60a7057184ec7ec7,0,0,0,1,0,0,0,-1.1820972350365173,-1.3682683038090901,0.0,-1.2433463541012137,-1.0586616745938595,1,21.0,1,1,-1.2104882922921272,-1.2104882922921272
2016-01-18,air_60a7057184ec7ec7,0,1,0,0,0,0,0,-1.2313148398103726,-1.2737968993248892,0.0,-0.6979540766868189,-1.4186481589847773,1,43.0,1,1,-1.4941369440009953,-1.4941369440009953
2016-01-19,air_60a7057184ec7ec7,0,0,0,0,0,1,0,-1.7727084923227807,-2.076803837440597,0.0,-1.218555796036923,-1.4906454558629607,1,52.0,1,1,-1.257508902118418,-1.257508902118418
2016-01-20,air_60a7057184ec7ec7,0,0,0,0,0,0,1,-1.7234908875489257,-1.7933896239879943,0.0,-0.6979540766868189,-1.5266441043020527,1,19.0,1,1,-1.1324594965263366,-1.1324594965263366
2016-01-21,air_60a7057184ec7ec7,0,0,0,0,1,0,0,-1.7111864863554616,-1.6989182195037933,0.0,-1.218555796036923,-1.6106409506599335,1,18.0,1,1,-1.0104600764365008,-1.0104600764365008
2016-01-22,air_60a7057184ec7ec7,1,0,0,0,0,0,0,-1.3420544505515468,-1.462739708293291,0.0,-0.995440773458307,-1.27465356522841,1,32.0,1,1,-0.7021573752511452,-0.7021573752511452
