visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Yakiniku/Korean food,Hyōgo-ken Kōbe-shi Kumoidōri,total_area_visitors,total_genre_visitors
2016-01-04,air_c73d319ffabf287a,0,1,0,0,0,0,0,-0.503849187924944,-0.42448425721405725,0.0,0.11532482270612944,-0.5955306324274101,1,16.0,1,1,-1.5095184058073723,-1.5095184058073725
2016-01-05,air_c73d319ffabf287a,0,0,0,0,0,1,0,-0.6803872556637977,-0.8881275787467545,0.0,-1.0643802754465705,-0.5146865453166081,1,12.0,1,1,-1.38033767937237,-1.38033767937237
2016-01-06,air_c73d319ffabf287a,0,0,0,0,0,0,1,-0.6921564601797213,-0.7953989144402149,0.0,-0.68787864837656,-0.5839814771258669,1,13.0,1,1,-1.3166286661402928,-1.3166286661402928
2016-01-07,air_c73d319ffabf287a,0,0,0,0,1,0,0,-0.8216177098548806,-0.8997186617850719,0.0,-0.6125783229625579,-0.6879238748397553,1,8.0,1,1,-1.2478833672772214,-1.2478833672772214
2016-01-08,air_c73d319ffabf287a,1,0,0,0,0,0,0,-0.9510789595300398,-1.0388116582448812,0.0,-0.9890799500325685,-0.8496120490613592,1,24.0,1,1,-0.9157403299131509,-0.915740329913151
2016-01-09,air_c73d319ffabf287a,0,0,1,0,0,0,0,-1.0334633911415048,-0.9924473260916115,0.0,0.7930277514321487,-1.011300223282963,1,23.0,1,1,-0.6593933912955439,-0.6593933912955439
2016-01-11,air_c73d319ffabf287a,0,1,0,0,0,0,0,-0.8922329369504219,-0.9460829939383417,1.0,-0.36157723824921745,-0.7803171172521004,1,12.0,1,1,-1.302527066373509,-1.302527066373509
2016-01-12,air_c73d319ffabf287a,0,0,0,0,0,1,0,-1.0334633911415048,-1.1547224886280556,0.0,-0.06037593659320891,-1.011300223282963,1,14.0,1,1,-1.355911694062048,-1.355911694062048
2016-01-13,air_c73d319ffabf287a,0,0,0,0,0,0,1,-1.2335398679122056,-1.1894957377430078,0.0,-1.0392801669752365,-1.0921443103937654,1,19.0,1,1,-1.1534530116960793,-1.1534530116960793
2016-01-14,air_c73d319ffabf287a,0,0,0,0,1,0,0,-1.245309072428129,-1.0967670734364683,0.0,-0.11057615353587703,-1.1960867081076536,1,7.0,1,1,-1.0615407989304342,-1.0615407989304344
