visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Hokkaidō Sapporo-shi Minami 3 Jōnishi,total_area_visitors,total_genre_visitors
2016-07-01,air_de803f7e324936b8,1,0,0,0,0,0,0,1.1933630453812363,1.2160281636735288,0.0,1.9182131887847265,1.1257725734793569,1,7.0,1,1,1.4225286685242786,1.4225286685242786
2016-07-02,air_de803f7e324936b8,0,0,1,0,0,0,0,1.0393722297299943,0.953001342283693,0.0,-1.1652972886203776,1.171560400496693,1,16.0,1,1,1.5808206637278879,1.5808206637278879
2016-07-03,air_de803f7e324936b8,0,0,0,1,0,0,0,1.111838495918814,1.1481502742826035,0.0,0.23150660285372943,1.0067242232342826,1,12.0,1,1,-0.39555714241478507,-0.39555714241478507
2016-07-04,air_de803f7e324936b8,0,1,0,0,0,0,0,0.6860991820594986,0.5542187421120063,0.0,0.7322476205519943,0.832730480568404,1,10.0,1,1,-1.163538401440909,-1.163538401440909
2016-07-05,air_de803f7e324936b8,0,0,0,0,0,1,0,0.794798581342728,0.9105776614143646,0.0,1.4701817518968057,0.7136821303233295,1,12.0,1,1,-0.49969661294347545,-0.49969661294347545
2016-07-06,air_de803f7e324936b8,0,0,0,0,0,0,1,0.713274031880306,0.6899745208938569,0.0,0.8903763629830252,0.8235729151649368,1,10.0,1,1,-0.04224032058471916,-0.04224032058471916
2016-07-07,air_de803f7e324936b8,0,0,0,0,1,0,0,0.8763231308051503,1.029363967848484,0.0,2.287180254457132,0.796100218954535,1,18.0,1,1,-0.108889581723081,-0.108889581723081
2016-07-08,air_de803f7e324936b8,1,0,0,0,0,0,0,0.9578476802675723,0.9699708146314243,0.0,2.023632350405414,0.8052577843580022,1,6.0,1,1,1.2172792393368232,1.2172792393368232
2016-07-09,air_de803f7e324936b8,0,0,1,0,0,0,0,1.0846636460980066,1.0208792316746185,0.0,0.5477640877157914,0.9792515270238805,1,31.0,1,1,1.5198517373456364,1.5198517373456364
2016-07-10,air_de803f7e324936b8,0,0,0,1,0,0,0,0.8582065642579452,0.6984592570677227,0.0,-1.1652972886203776,0.9884090924273476,1,22.0,1,1,-0.23575039127621292,-0.23575039127621292
2016-07-11,air_de803f7e324936b8,0,1,0,0,0,0,0,0.8038568646163305,0.8087608273279766,0.0,0.8640215725778535,0.896833438392675,1,33.0,1,1,-1.213904036278421,-1.213904036278421
2016-07-12,air_de803f7e324936b8,0,0,0,0,0,1,0,0.9669059635411749,0.9784555508052901,0.0,2.155406302431273,0.9700939616204132,1,12.0,1,1,-0.48454905359384776,-0.48454905359384776
2016-07-13,air_de803f7e324936b8,0,0,0,0,0,0,1,1.1661881955604287,1.3348144701076483,0.0,1.4965365423019774,1.171560400496693,1,18.0,1,1,-0.41146207973189414,-0.41146207973189414
2016-07-14,air_de803f7e324936b8,0,0,0,0,1,0,0,1.111838495918814,1.1736044828042003,0.0,0.6531832493364789,1.1532452696897586,1,19.0,1,1,-0.19333722509725537,-0.19333722509725537
2016-07-15,air_de803f7e324936b8,1,0,0,0,0,0,0,1.148071629013224,1.2075434274996633,0.0,1.1275694766295716,1.171560400496693,1,16.0,1,1,1.0029412745395916,1.0029412745395916
2016-07-16,air_de803f7e324936b8,0,0,1,0,0,0,0,1.175246478834031,1.2245128998473946,0.0,1.232988638250259,1.226505792917497,1,20.0,1,1,1.4603975668983478,1.4603975668983478
2016-07-17,air_de803f7e324936b8,0,0,0,1,0,0,0,1.0121973799091872,0.791791354980245,0.0,-1.0598781269996902,1.162402835093226,1,17.0,1,1,0.5250357770588379,0.5250357770588379
2016-07-18,air_de803f7e324936b8,0,1,0,0,0,0,0,1.1843047621076337,1.1057265934132752,1.0,-0.7436206421376282,1.2081906621105625,1,15.0,1,1,-1.0169857647332612,-1.0169857647332612
2016-07-19,air_de803f7e324936b8,0,0,0,0,0,1,0,0.994080813361982,0.7493676741109166,0.0,-1.1389424982152059,1.1532452696897586,1,4.0,1,1,-0.8397593203426171,-0.8397593203426171
2016-07-20,air_de803f7e324936b8,0,0,0,0,0,0,1,1.0756053628244042,1.054818176370081,0.0,0.8640215725778535,1.1257725734793569,1,7.0,1,1,-0.3535226652195682,-0.3535226652195682
2016-07-21,air_de803f7e324936b8,0,0,0,0,1,0,0,1.111838495918814,1.2754213168905888,0.0,0.7586024109571661,1.0891423118654877,1,18.0,1,1,-0.13047485379630047,-0.13047485379630047
2016-07-22,air_de803f7e324936b8,1,0,0,0,0,0,0,1.0665470795508016,1.0972418572394094,0.0,1.1275694766295716,1.0982998772689552,1,30.0,1,1,1.0673184017755093,1.0673184017755093
2016-07-23,air_de803f7e324936b8,0,0,1,0,0,0,0,1.0665470795508016,1.2160281636735288,0.0,2.2344706736467885,1.034196919444684,1,12.0,1,1,1.3865532150689128,1.3865532150689128
2016-07-24,air_de803f7e324936b8,0,0,0,1,0,0,0,1.0574887962771995,1.182089218978066,0.0,2.39259941607782,1.034196919444684,1,27.0,1,1,-0.4178997924554859,-0.4178997924554859
