visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Fukuoka-ken Fukuoka-shi Takatori,total_area_visitors,total_genre_visitors
2016-01-03,air_3982a2c4ea2ed431,0,0,0,1,0,0,0,-0.6227011535553117,-0.655325240015706,1.0,-0.890884411198897,-0.5845648796574731,1,24.0,1,1,-1.7700098963048478,-1.7700098963048478
2016-01-04,air_3982a2c4ea2ed431,0,1,0,0,0,0,0,-0.696426176911332,-0.5012339382121612,0.0,0.4055428812569323,-0.7159769186044264,1,35.0,1,1,-1.5720653000567353,-1.5720653000567355
2016-01-05,air_3982a2c4ea2ed431,0,0,0,0,0,1,0,-0.8315887197307026,-0.9872141977464177,0.0,-1.2333369035457198,-0.6084579776478282,1,44.0,1,1,-1.4417115415518806,-1.4417115415518809
2016-01-06,air_3982a2c4ea2ed431,0,0,0,0,0,0,1,-0.8807387353013828,-1.0346269059936624,0.0,-1.2333369035457198,-0.7398700165947816,1,17.0,1,1,-1.3774240154276542,-1.3774240154276542
2016-01-07,air_3982a2c4ea2ed431,0,0,0,0,1,0,0,-0.9298887508720631,-1.2242777389826405,0.0,-1.1354933343037703,-0.5965114286526506,1,16.0,1,1,-1.3080544714279947,-1.308054471427995
2016-01-08,air_3982a2c4ea2ed431,1,0,0,0,0,0,0,-1.1264888131547839,-1.4139285719716186,0.0,-1.2333369035457198,-0.7996027615706695,1,39.0,1,1,-0.9728953925431932,-0.9728953925431933
2016-01-09,air_3982a2c4ea2ed431,0,0,1,0,0,0,0,-1.0773387975841036,-1.3783690407861853,0.0,-1.1844151189247452,-0.7518165655899592,1,27.0,1,1,-0.7142206826836572,-0.7142206826836573
2016-01-10,air_3982a2c4ea2ed431,0,0,0,1,0,0,0,-1.0773387975841036,-1.1650118536735847,0.0,-0.3038229957472008,-0.9549078985079779,1,33.0,1,1,-1.0005923899643026,-1.0005923899643028
2016-01-11,air_3982a2c4ea2ed431,0,1,0,0,0,0,0,-1.0281887820134235,-1.0227737289318513,1.0,-0.9887279804408463,-0.9907475454935106,1,36.0,1,1,-1.363194365376442,-1.363194365376442
2016-01-15,air_3982a2c4ea2ed431,1,0,0,0,0,0,0,-1.3353763793301747,-1.1531586766117736,0.0,0.9681434043981412,-1.3133043683633052,1,24.0,1,1,-0.8435580376134252,-0.8435580376134253
2016-01-16,air_3982a2c4ea2ed431,0,0,1,0,0,0,0,-1.1264888131547839,-0.9279483124373621,0.0,0.674612696672293,-1.3252509173584828,1,32.0,1,1,-0.6959254183320986,-0.6959254183320989
2016-01-17,air_3982a2c4ea2ed431,0,0,0,1,0,0,0,-1.1756388287254642,-1.3665158637243742,0.0,-1.2333369035457198,-1.0504802904693986,1,39.0,1,1,-1.2994150410397587,-1.299415041039759
2016-01-18,air_3982a2c4ea2ed431,0,1,0,0,0,0,0,-1.2247888442961443,-1.2716904472298851,0.0,-0.6951972727149982,-1.4088767603247259,1,16.0,1,1,-1.582991638488916,-1.5829916384889162
2016-01-20,air_3982a2c4ea2ed431,0,0,0,0,0,0,1,-1.7162890000029465,-1.793230237949575,0.0,-0.6951972727149982,-1.516395701281324,1,24.0,1,1,-1.2214060666518634,-1.2214060666518634
2016-01-21,air_3982a2c4ea2ed431,0,0,0,0,1,0,0,-1.7040014961102763,-1.698404821455086,0.0,-1.2088760112352326,-1.600021544247567,1,29.0,1,1,-1.0994376376414732,-1.0994376376414732
2016-01-22,air_3982a2c4ea2ed431,1,0,0,0,0,0,0,-1.3353763793301747,-1.4613412802188632,0.0,-0.9887279804408463,-1.265518172382595,1,14.0,1,1,-0.7912132534964661,-0.7912132534964662
2016-01-23,air_3982a2c4ea2ed431,0,0,1,0,0,0,0,-1.617988968861586,-1.793230237949575,0.0,-1.2333369035457198,-1.5880749952523894,1,58.0,1,1,-0.7180321960902319,-0.718032196090232
2016-01-24,air_3982a2c4ea2ed431,0,0,0,1,0,0,0,-2.293801682958439,-2.3858890910401316,0.0,-1.2333369035457198,-2.07788350405467,1,18.0,1,1,-1.4145227459183145,-1.4145227459183147
2016-01-25,air_3982a2c4ea2ed431,0,1,0,0,0,0,0,-1.9006015583929974,-2.1014128415566646,0.0,-1.2088760112352326,-1.850899073146296,1,21.0,1,1,-1.4391705326141642,-1.4391705326141644
2016-01-27,air_3982a2c4ea2ed431,0,0,0,0,0,0,1,-1.2370763481888145,-1.2716904472298851,0.0,-1.1844151189247452,-1.1579992314259966,1,35.0,1,1,-1.115191893055315,-1.1151918930553153
2016-01-28,air_3982a2c4ea2ed431,0,0,0,0,1,0,0,-1.0281887820134235,-1.0464800830554735,0.0,-1.2333369035457198,-0.8234958595610246,1,12.0,1,1,-1.1207821127182913,-1.1207821127182915
