visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Other,Tōkyō-to Bunkyō-ku Kasuga,total_area_visitors,total_genre_visitors
2016-07-01,air_82a6ae14151953ba,1,0,0,0,0,0,0,1.1022211660817336,1.1799268047533664,0.0,-0.19012410836568763,1.0434868329889213,1,36.0,1,1,1.2566552034846892,1.2566552034846894
2016-07-02,air_82a6ae14151953ba,0,0,1,0,0,0,0,1.26451708872734,1.3200328967486206,0.0,0.47464550130454897,1.1974096615827985,1,43.0,1,1,1.4056043639491613,1.4056043639491613
2016-07-04,air_82a6ae14151953ba,0,1,0,0,0,0,0,1.3572576159534009,1.5535430500740437,0.0,0.5278270700781678,1.2193986370962098,1,20.0,1,1,-1.176774980275788,-1.1767749802757883
2016-07-05,air_82a6ae14151953ba,0,0,0,0,0,1,0,0.6501110958546865,0.5961514214398073,0.0,-1.360118621385304,0.8455860533682218,1,42.0,1,1,-0.5521149843566028,-0.5521149843566029
2016-07-06,air_82a6ae14151953ba,0,0,0,0,0,0,1,0.8124070185002933,0.7479330211013323,0.0,-0.2698964615261162,0.8785695166383384,1,33.0,1,1,-0.12165903736836778,-0.12165903736836785
2016-07-07,air_82a6ae14151953ba,0,0,0,0,1,0,0,1.3108873523403703,1.8921327723959087,0.0,2.0435017801263076,1.0324923452322157,1,34.0,1,1,-0.18437447335340865,-0.1843744733534087
2016-07-08,air_82a6ae14151953ba,1,0,0,0,0,0,0,1.0674434683719607,1.0865227434231968,0.0,-0.8017121492623054,1.054481320745627,1,34.0,1,1,1.0635201676671202,1.0635201676671202
2016-07-09,air_82a6ae14151953ba,0,0,1,0,0,0,0,0.7312590571774897,0.5144228677759086,0.0,-1.360118621385304,0.8565805411249274,1,42.0,1,1,1.3482339935310272,1.3482339935310275
2016-07-11,air_82a6ae14151953ba,0,1,0,0,0,0,0,1.3804427477599162,1.5185165270752305,0.0,1.963729426965879,1.076470296259038,1,30.0,1,1,-1.2241678949690291,-1.2241678949690293
2016-07-12,air_82a6ae14151953ba,0,0,0,0,0,1,0,1.2761096546305977,1.3200328967486206,0.0,0.31510079498369203,1.329343514663265,1,39.0,1,1,-0.5378614761781844,-0.5378614761781845
