visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-07-01,air_3aa839e8e0cb6c87,1,0,0,0,0,0,0,1.1018995136180894,1.2301603598639443,0.0,0.6155977558865189,0.9396681583067271,1,34.0,1,1,1.4199666093945371,1.4199666093945371
2016-07-02,air_3aa839e8e0cb6c87,0,0,1,0,0,0,0,1.3892710881372392,1.2857087000078082,0.0,0.05764192593524101,1.4733638663688282,1,20.0,1,1,1.5821299619300775,1.5821299619300775
2016-07-03,air_3aa839e8e0cb6c87,0,0,0,1,0,0,0,1.3547864991949412,1.2634893639502631,0.0,-0.12834335071518502,1.4733638663688282,1,45.0,1,1,-0.44258424113926487,-0.44258424113926487
2016-07-04,air_3aa839e8e0cb6c87,0,1,0,0,0,0,0,1.435250540060303,1.4634633884681734,0.0,0.48275112970764317,1.4066519028610653,1,35.0,1,1,-1.229348066359542,-1.229348066359542
2016-07-05,air_3aa839e8e0cb6c87,0,0,0,0,0,1,0,1.4007659511180048,1.4523537204394004,0.0,1.439246838195548,1.2732279758455403,1,65.0,1,1,-0.5492706572810677,-0.5492706572810677
2016-07-06,air_3aa839e8e0cb6c87,0,0,0,0,0,0,1,1.3317967732334093,1.3523667081804454,0.0,1.7315094157890745,1.2732279758455403,1,38.0,1,1,-0.08062632746543914,-0.08062632746543914
2016-07-07,air_3aa839e8e0cb6c87,0,0,0,0,1,0,0,1.1363841025603874,1.107954011547444,0.0,0.6687364063580692,1.162041369999269,1,28.0,1,1,-0.14890563379619298,-0.14890563379619298
2016-07-08,air_3aa839e8e0cb6c87,1,0,0,0,0,0,0,0.7685484871758753,0.5969092822238948,0.0,-1.3771016367966167,0.8729561947989642,1,25.0,1,1,1.2096973819441474,1.2096973819441474
2016-07-09,air_3aa839e8e0cb6c87,0,0,1,0,0,0,0,0.9179817059258333,0.8635413149144421,0.0,-0.07520470024363468,0.9507868188913543,1,48.0,1,1,1.5196699146616037,1.5196699146616037
2016-07-10,air_3aa839e8e0cb6c87,0,0,0,1,0,0,0,1.0214354727527275,0.9190896550583061,0.0,-0.6065912049591375,1.139804048830015,1,48.0,1,1,-0.2788690861871165,-0.2788690861871165
2016-07-11,air_3aa839e8e0cb6c87,0,1,0,0,0,0,0,1.0329303357334934,0.8302123108281235,0.0,-1.297393661089291,1.1731600305838965,1,27.0,1,1,-1.2809454967117593,-1.2809454967117593
2016-07-12,air_3aa839e8e0cb6c87,0,0,0,0,0,1,0,1.1593738285219193,1.2412700278927173,0.0,-0.5800218797233624,1.1731600305838965,1,32.0,1,1,-0.5337526331149873,-0.5337526331149873
2016-07-13,air_3aa839e8e0cb6c87,0,0,0,0,0,0,1,1.0329303357334934,0.8524316468856691,0.0,-1.3505323115608416,1.0842107459068795,1,14.0,1,1,-0.45887816651364927,-0.45887816651364927
2016-07-14,air_3aa839e8e0cb6c87,0,0,0,0,1,0,0,1.1248892395796213,1.1190636795762163,0.0,1.1469842606020215,1.139804048830015,1,23.0,1,1,-0.23541861852209128,-0.23541861852209128
2016-07-15,air_3aa839e8e0cb6c87,1,0,0,0,0,0,0,0.9064868429450675,0.8635413149144421,0.0,1.439246838195548,1.0174987823991166,1,43.0,1,1,0.9901173399941096,0.9901173399941096
2016-07-16,air_3aa839e8e0cb6c87,0,0,1,0,0,0,0,1.1478789655411532,1.3412570401516724,0.0,0.19048855211411672,0.9841428006452353,1,21.0,1,1,1.458761669809738,1.458761669809738
2016-07-17,air_3aa839e8e0cb6c87,0,0,0,1,0,0,0,1.0329303357334934,0.9524186591446245,0.0,0.29676585305721714,1.1286853882453878,1,18.0,1,1,0.5005236775542724,0.5005236775542724
