visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Kita-ku Ōjihonchō,total_area_visitors,total_genre_visitors
2016-07-01,air_78df4dc6a7e83e41,1,0,0,0,0,0,0,1.121635317822661,1.1905862840304395,0.0,-0.2115648446624177,1.0698389949133993,1,9.0,1,1,1.2901906112971118,1.290190611297111
2016-07-02,air_78df4dc6a7e83e41,0,0,1,0,0,0,0,1.2841082609329506,1.3298786078066651,0.0,0.45550303076750176,1.2245738358345792,1,18.0,1,1,1.4395799263898532,1.4395799263898523
2016-07-03,air_78df4dc6a7e83e41,0,0,0,1,0,0,0,1.5394228858205488,1.7477555791353416,0.0,0.642282035887879,1.3572036994813053,1,15.0,1,1,-0.4256421680336338,-0.42564216803363425
2016-07-04,air_78df4dc6a7e83e41,0,1,0,0,0,0,0,1.3769499427102592,1.5620324807670407,0.0,0.5088684608018952,1.2466788131090338,1,12.0,1,1,-1.1504305197276041,-1.1504305197276046
2016-07-06,air_78df4dc6a7e83e41,0,0,0,0,0,0,1,0.831505062268572,0.7611016190537437,0.0,-0.29161298971400823,0.904051665354992,1,10.0,1,1,-0.09219663936969179,-0.09219663936969227
2016-07-07,air_78df4dc6a7e83e41,0,0,0,0,1,0,0,1.3305291018216048,1.8986555965595864,0.0,2.029783216782112,1.0587865062761719,1,10.0,1,1,-0.15509740361926713,-0.1550974036192676
2016-07-08,air_78df4dc6a7e83e41,1,0,0,0,0,0,0,1.0868196871561702,1.097724734846289,0.0,-0.8252672900579437,1.0808914835506265,1,13.0,1,1,1.0964848486648968,1.0964848486648962
2016-07-09,air_78df4dc6a7e83e41,0,0,1,0,0,0,0,0.7502685907134268,0.5289477460933678,0.0,-1.385604305419076,0.8819466880805378,1,9.0,1,1,1.3820400227297303,1.3820400227297296
2016-07-10,air_78df4dc6a7e83e41,0,0,0,1,0,0,0,1.121635317822661,1.271840139566571,0.0,1.736273351592947,0.8708941994433105,1,10.0,1,1,-0.2748232901170384,-0.2748232901170388
2016-07-11,air_78df4dc6a7e83e41,0,1,0,0,0,0,0,1.4001603631545863,1.5272093998229845,0.0,1.9497350717305213,1.1029964608250808,1,6.0,1,1,-1.1979634836207491,-1.1979634836207496
2016-07-13,air_78df4dc6a7e83e41,0,0,0,0,0,0,1,1.0636092667118433,0.8423554745898757,0.0,-1.385604305419076,1.2356263244718064,1,9.0,1,1,-0.44065257768410065,-0.44065257768410104
2016-07-14,air_78df4dc6a7e83e41,0,0,0,0,1,0,0,1.1564509484891514,1.4575632379348715,0.0,-0.3449784197484017,0.9924715744528093,1,6.0,1,1,-0.2347955310491268,-0.23479553104912726
2016-07-15,air_78df4dc6a7e83e41,1,0,0,0,0,0,0,0.7270581702690997,0.4244785032611988,0.0,-1.385604305419076,0.9593141085411278,1,15.0,1,1,0.8942017090895579,0.8942017090895572
2016-07-16,air_78df4dc6a7e83e41,0,0,1,0,0,0,0,0.9475571644902077,0.8539631682378942,0.0,-0.9586808651439276,0.8598417108060836,1,22.0,1,1,1.3259296818934614,1.3259296818934607
2016-07-17,air_78df4dc6a7e83e41,0,0,0,1,0,0,0,1.1564509484891514,0.9816477983661012,0.0,-1.3589215904018794,1.2466788131090338,1,15.0,1,1,0.4431746381636256,0.443174638163625
2016-07-18,air_78df4dc6a7e83e41,0,1,0,0,0,0,0,1.481396834709731,1.5272093998229845,1.0,0.6155993208706824,1.4014136540302138,1,11.0,1,1,-1.0121203165197312,-1.0121203165197314
2016-07-20,air_78df4dc6a7e83e41,0,0,0,0,0,0,1,1.2028717893778058,1.1093324284943076,0.0,-0.15819941462802434,1.2135213471973523,1,9.0,1,1,-0.3859717996716857,-0.38597179967168616
2016-07-21,air_78df4dc6a7e83e41,0,0,0,0,1,0,0,0.6806373293804456,0.4593015842052553,0.0,-1.385604305419076,0.9482616199039005,1,8.0,1,1,-0.1754686738591864,-0.17546867385918688
2016-07-22,air_78df4dc6a7e83e41,1,0,0,0,0,0,0,0.6342164884917912,0.2735784858369544,0.0,-1.385604305419076,0.8929991767177647,1,8.0,1,1,0.9549581291033522,0.9549581291033515
2016-07-23,air_78df4dc6a7e83e41,0,0,1,0,0,0,0,0.7502685907134268,0.7843170063497817,0.0,-1.0120462951783211,0.8266842448944021,1,10.0,1,1,1.2562384942305795,1.2562384942305789
2016-07-24,air_78df4dc6a7e83e41,0,0,0,1,0,0,0,0.9243467440458801,1.0048631856621386,0.0,0.5622338908362887,0.7382643357965848,1,16.0,1,1,-0.4467282196854801,-0.4467282196854805
2016-07-25,air_78df4dc6a7e83e41,0,1,0,0,0,0,0,1.0171884258231887,0.8771785555339318,0.0,-1.172142585281502,0.970366597178355,1,13.0,1,1,-1.0603680618248033,-1.0603680618248035
2016-07-26,air_78df4dc6a7e83e41,0,0,0,0,0,1,0,0.9127415338237168,0.8191400872938378,0.0,-1.3589215904018794,1.0035240630900362,1,1.0,1,1,-0.36309879449002197,-0.3630987944900224
2016-07-27,air_78df4dc6a7e83e41,0,0,0,0,0,0,1,0.9939780053788617,0.8075323936458192,0.0,-1.305556160367486,1.1140489494623076,1,11.0,1,1,-0.1690356411518435,-0.16903564115184397
2016-07-28,air_78df4dc6a7e83e41,0,0,0,0,1,0,0,1.226082209822133,1.2486247522705336,0.0,0.00189687547515647,1.2135213471973523,1,14.0,1,1,0.04575617313221777,0.04575617313221726
2016-07-29,air_78df4dc6a7e83e41,1,0,0,0,0,0,0,1.3073186813772777,1.3995247696947777,0.0,1.6829079215585536,1.1693113926484435,1,11.0,1,1,1.1901212136273327,1.190121213627332
2016-07-30,air_78df4dc6a7e83e41,0,0,1,0,0,0,0,1.3073186813772777,1.4575632379348715,0.0,1.4961289164381764,1.0808914835506265,1,13.0,1,1,1.3030566767117977,1.3030566767117968
2016-07-31,air_78df4dc6a7e83e41,0,0,0,1,0,0,0,1.3421343120437685,1.2138016713264772,0.0,0.45550303076750176,1.3350987222068507,1,11.0,1,1,-0.4038413349698605,-0.40384133496986097
2016-08-01,air_78df4dc6a7e83e41,0,1,0,0,0,0,0,1.3305291018216048,1.2950555268626087,0.0,-0.8786327200923373,1.3572036994813053,1,8.0,1,1,-1.1125471048954736,-1.1125471048954738
2016-08-03,air_78df4dc6a7e83e41,0,0,0,0,0,0,1,1.2608978404886235,1.3530939951027026,0.0,-0.29161298971400823,1.2245738358345792,1,10.0,1,1,-0.34237013354413914,-0.3423701335441396
2016-08-04,air_78df4dc6a7e83e41,0,0,0,0,1,0,0,1.41176557337675,1.4691709315828905,0.0,0.8824264710426502,1.3350987222068507,1,9.0,1,1,-0.22049990281058696,-0.2204999028105874
2016-08-05,air_78df4dc6a7e83e41,1,0,0,0,0,0,0,1.481396834709731,1.5156017061749656,0.0,1.4961289164381764,1.3572036994813053,1,4.0,1,1,0.790558404360144,0.7905584043601434
2016-08-06,air_78df4dc6a7e83e41,0,0,1,0,0,0,0,1.5278176755983854,1.6084632553591165,0.0,0.9624746160942407,1.4898335631280308,1,9.0,1,1,0.5575396640719444,0.5575396640719438
2016-08-07,air_78df4dc6a7e83e41,0,0,0,1,0,0,0,1.4697916244875677,1.5388170934710035,0.0,1.602859776506963,1.3461512108440779,1,8.0,1,1,-0.593615799836477,-0.5936157998364774
2016-08-08,air_78df4dc6a7e83e41,0,1,0,0,0,0,0,1.458186414265404,1.4923863188789286,0.0,-0.15819941462802434,1.4345711199418951,1,11.0,1,1,-1.0946775695972988,-1.094677569597299
2016-08-10,air_78df4dc6a7e83e41,0,0,0,0,0,0,1,1.5278176755983854,1.5852478680630786,0.0,-0.07815126957643383,1.5119385404024852,1,15.0,1,1,0.6719046899802632,0.6719046899802626
2016-08-11,air_78df4dc6a7e83e41,0,0,0,0,1,0,0,1.3189238915994415,1.3647016887507215,1.0,-0.07815126957643383,1.423518631304668,1,14.0,1,1,0.37312605979478036,0.37312605979477975
2016-08-12,air_78df4dc6a7e83e41,1,0,0,0,0,0,0,1.24929263026646,1.3414863014546836,0.0,0.08194502052674676,1.3129937449323965,1,9.0,1,1,-0.0432341126526928,-0.04323411265269329
2016-08-13,air_78df4dc6a7e83e41,0,0,1,0,0,0,0,1.226082209822133,1.3298786078066651,1.0,0.5355511758190921,1.2135213471973523,1,27.0,1,1,0.11651953291299003,0.11651953291298951
2016-08-14,air_78df4dc6a7e83e41,0,0,0,1,0,0,0,1.168056158711315,1.1673708967344016,1.0,-0.37166113476559853,1.2356263244718064,1,7.0,1,1,-0.880957927431128,-0.8809579274311283
2016-08-15,air_78df4dc6a7e83e41,0,1,0,0,0,0,0,1.2376874200442967,1.2138016713264772,1.0,-1.1988253002986986,1.3350987222068507,1,7.0,1,1,-1.3870231670754387,-1.387023167075439
