visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Other,Ōsaka-fu Ōsaka-shi Ōgimachi,total_area_visitors,total_genre_visitors
2016-01-04,air_07bb665f9cdfbdfb,0,1,0,0,0,0,0,-0.5683868020819354,-0.561445683512786,0.0,0.3974326853346091,-0.7194485541647224,1,2.0,1,1,-1.5050143040845771,-1.5050143040845771
2016-01-05,air_07bb665f9cdfbdfb,0,0,0,0,0,1,0,-0.707566762794585,-0.923306607695244,0.0,-0.9494475880449198,-0.6847375662062589,1,36.0,1,1,-1.3742060773347815,-1.3742060773347815
2016-01-06,air_07bb665f9cdfbdfb,0,0,0,0,0,0,1,-0.7191650928539723,-0.7478588868795069,0.0,-0.7715577406174349,-0.592174931650356,1,23.0,1,1,-1.309694417748625,-1.309694417748625
2016-01-07,air_07bb665f9cdfbdfb,0,0,0,0,1,0,0,-0.8351483934478471,-0.923306607695244,0.0,-0.9494475880449198,-0.6500265782477952,1,40.0,1,1,-1.2400830222268038,-1.2400830222268038
2016-01-08,air_07bb665f9cdfbdfb,1,0,0,0,0,0,0,-0.9047383738041719,-1.076823363409014,0.0,-0.9748604233917033,-0.8582925059985766,1,39.0,1,1,-0.9037554372697267,-0.9037554372697267
2016-01-10,air_07bb665f9cdfbdfb,0,0,0,1,0,0,0,-0.927935033922947,-1.0439269157560631,0.0,0.6769738741492283,-0.9624254698739672,1,8.0,1,1,-0.9315489981190985,-0.9315489981190985
2016-01-11,air_07bb665f9cdfbdfb,0,1,0,0,0,0,0,-0.9511316940417218,-0.9671685378991782,1.0,-0.26330103368176366,-1.0318474457908944,1,12.0,1,1,-1.2954151571287642,-1.2954151571287642
2016-01-12,air_07bb665f9cdfbdfb,0,0,0,0,0,1,0,-1.0323200044574343,-1.1097198110619646,0.0,0.14330433186677352,-1.0434177751103821,1,35.0,1,1,-1.3494723580468084,-1.3494723580468084
2016-01-13,air_07bb665f9cdfbdfb,0,0,0,0,0,0,1,-1.2642866056451838,-1.1974436714698333,0.0,-0.6190807285367335,-1.1591210683052606,1,35.0,1,1,-1.1444629734330936,-1.1444629734330936
2016-01-14,air_07bb665f9cdfbdfb,0,0,0,0,1,0,0,-1.1367049749919214,-1.1426162587149153,0.0,0.016240155132855694,-1.1822617269442366,1,53.0,1,1,-1.0513927926072155,-1.0513927926072155
2016-01-15,air_07bb665f9cdfbdfb,1,0,0,0,0,0,0,-1.148303305051309,-1.1535817412658989,0.0,0.7023867094960117,-1.1475507389857729,1,45.0,1,1,-0.7739671577070639,-0.7739671577070639
2016-01-19,air_07bb665f9cdfbdfb,0,0,0,0,0,1,0,-1.519449866951708,-1.636062973509176,0.0,-0.39036521041568145,-1.355816666736554,1,1.0,1,1,-1.278586028541071,-1.278586028541071
2016-01-20,air_07bb665f9cdfbdfb,0,0,0,0,0,0,1,-1.4150648964172208,-1.460615252693439,0.0,-1.0765117647788376,-1.355816666736554,1,32.0,1,1,-1.1531325245237232,-1.1531325245237232
2016-01-21,air_07bb665f9cdfbdfb,0,0,0,0,1,0,0,-1.299081595823346,-1.3509604271836033,0.0,-0.4666037164560321,-1.2632540321806514,1,44.0,1,1,-1.030738862067774,-1.030738862067774
