visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Hiroshima-ken Hiroshima-shi Kokutaijimachi,total_area_visitors,total_genre_visitors
2016-01-30,air_b4f32bcc399da2b9,0,0,1,0,0,0,0,-0.9323076523892053,-1.1894579712421056,0.0,-1.2828090143623578,-0.7599823322165354,1,3.0,1,1,-0.6999375271161141,-0.6999375271161141
2016-02-01,air_b4f32bcc399da2b9,0,1,0,0,0,0,0,-1.1323762043590841,-1.3434455539923778,0.0,-1.2828090143623578,-0.8853628760634185,1,12.0,1,1,-1.519987752577998,-1.519987752577998
2016-02-02,air_b4f32bcc399da2b9,0,0,0,0,0,1,0,-1.2147573728172698,-1.2605291632806928,0.0,-0.22737997018508888,-1.2387080450864527,1,10.0,1,1,-1.3699502702709194,-1.3699502702709194
2016-02-03,air_b4f32bcc399da2b9,0,0,0,0,0,0,1,-1.2265261111684391,-1.2960647592999863,0.0,-0.12920052421511027,-1.0677345762043395,1,3.0,1,1,-1.294158140033323,-1.294158140033323
2016-02-04,air_b4f32bcc399da2b9,0,0,0,0,1,0,0,-1.285369802924286,-1.2131483685883016,0.0,0.50896587458975,-1.4096815139685661,1,7.0,1,1,-1.2560042785531726,-1.2560042785531726
2016-02-05,air_b4f32bcc399da2b9,1,0,0,0,0,0,0,-1.2971385412754552,-1.248683964607595,0.0,0.042613506232352154,-1.3070974326392981,1,28.0,1,1,-0.8770436273651911,-0.8770436273651911
2016-02-06,air_b4f32bcc399da2b9,0,0,1,0,0,0,0,-1.4265946631383182,-1.2723743619537906,0.0,0.116248090709836,-1.3754868201921433,1,59.0,1,1,-0.6509562184591642,-0.6509562184591642
2016-02-07,air_b4f32bcc399da2b9,0,0,0,1,0,0,0,-1.3912884480848102,-1.3908263486847692,0.0,0.23897239817230911,-1.2729027388628753,1,12.0,1,1,-1.2696674857048482,-1.2696674857048482
2016-02-08,air_b4f32bcc399da2b9,0,1,0,0,0,0,0,-1.2971385412754552,-1.2842195606268885,0.0,-0.10465566272261573,-1.3754868201921433,1,2.0,1,1,-1.4679128875848195,-1.4679128875848195
2016-02-09,air_b4f32bcc399da2b9,0,0,0,0,0,1,0,-1.061763774252068,-1.094696381857323,0.0,0.6071453205597285,-1.079132807463147,1,10.0,1,1,-1.247239202267192,-1.247239202267192
2016-02-10,air_b4f32bcc399da2b9,0,0,0,0,0,0,1,-1.2265261111684391,-0.9407087991070507,0.0,1.2453117193645888,-1.4096815139685661,1,10.0,1,1,-0.9190644342656272,-0.9190644342656272
2016-02-11,air_b4f32bcc399da2b9,0,0,0,0,1,0,0,-1.0735325126032373,-0.8814828057415616,1.0,1.171677134887105,-1.2729027388628753,1,16.0,1,1,-0.9933097863351094,-0.9933097863351094
2016-02-12,air_b4f32bcc399da2b9,1,0,0,0,0,0,0,-0.8616952222821892,-0.8696376070684637,0.0,-1.184629568392379,-0.9879469573926865,1,24.0,1,1,-0.9363367904762359,-0.9363367904762359
2016-02-13,air_b4f32bcc399da2b9,0,0,1,0,0,0,0,-0.5557080251517857,-0.8933280044146593,0.0,-1.2828090143623578,-0.31545131312304087,1,72.0,1,1,-0.7440207049073692,-0.7440207049073692
2016-02-14,air_b4f32bcc399da2b9,0,0,0,1,0,0,0,-0.48509559504476973,-0.5498172428948216,0.0,-1.0864501224224008,-0.4750265507463465,1,85.0,1,1,-1.2874554346381615,-1.2874554346381615
2016-02-15,air_b4f32bcc399da2b9,0,1,0,0,0,0,0,-1.3442134946801327,-1.4263619447040627,0.0,-0.05556593973762644,-1.2387080450864527,1,22.0,1,1,-1.4715220366437525,-1.4715220366437525
2016-02-16,air_b4f32bcc399da2b9,0,0,0,0,0,1,0,-1.4501321398406568,-1.4737427393964542,0.0,-0.05556593973762644,-1.4096815139685661,1,3.0,1,1,-1.3088525326304081,-1.3088525326304081
