visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Creative cuisine,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-09-07,air_a88ac559064dec08,0,0,0,0,0,0,1,1.8199637997102585,1.804940735332111,0.0,-0.9811967465180264,1.557750743139616,1,34.0,1,1,-0.5809129423958626,-0.5809129423958627
2016-09-08,air_a88ac559064dec08,0,0,0,0,1,0,0,1.5589130053453608,1.5748938125433543,0.0,1.8167784403025922,1.419454526181806,1,11.0,1,1,-0.4377010184094134,-0.4377010184094135
2016-09-09,air_a88ac559064dec08,1,0,0,0,0,0,0,1.718444046346132,1.8193186680064084,0.0,1.7856898271156967,1.599239608226959,1,49.0,1,1,0.8399668806494389,0.839966880649439
2016-09-10,air_a88ac559064dec08,0,0,1,0,0,0,0,1.7619525120736148,1.7761848699835163,0.0,0.2934363941446999,1.6130692299227403,1,39.0,1,1,1.3337760970280306,1.3337760970280308
2016-09-12,air_a88ac559064dec08,0,1,0,0,0,0,0,1.2398509233438195,1.2442013610345157,0.0,-1.3542601047607756,1.391795282790244,1,19.0,1,1,-1.3368543639445876,-1.3368543639445878
2016-09-13,air_a88ac559064dec08,0,0,0,0,0,1,0,1.5589130053453608,1.5461379471947596,0.0,0.6043225260136575,1.5854099865311784,1,31.0,1,1,-0.8343436635769459,-0.834343663576946
2016-09-14,air_a88ac559064dec08,0,0,0,0,0,0,1,1.5879186491636827,1.3592248224288945,0.0,-1.292082878386984,1.779024690272112,1,25.0,1,1,-0.4511158062258656,-0.45111580622586567
2016-09-15,air_a88ac559064dec08,0,0,0,0,1,0,0,1.6749355806186488,1.6755393412634352,0.0,0.2312591677709083,1.7513654468805502,1,60.0,1,1,-0.13604957345567756,-0.13604957345567759
2016-09-16,air_a88ac559064dec08,1,0,0,0,0,0,0,1.7764553339827756,1.790562802657814,0.0,0.32452500733159584,1.7928543119678932,1,39.0,1,1,0.7739806270658093,0.7739806270658093
2016-09-17,air_a88ac559064dec08,0,0,1,0,0,0,0,2.008500484529351,2.178766984863841,0.0,0.32452500733159584,1.972639394013046,1,47.0,1,1,1.222469614334765,1.2224696143347653
2016-09-20,air_a88ac559064dec08,0,0,0,0,0,1,0,1.138331169979693,0.6978399194112177,0.0,-1.3542601047607756,1.364136039398682,1,13.0,1,1,-1.8092724321834313,-1.8092724321834315
2016-09-21,air_a88ac559064dec08,0,0,0,0,0,0,1,1.2978622109804634,1.2873351590574078,0.0,-0.23507003003252805,1.2949879309197772,1,31.0,1,1,0.2812590961858489,0.2812590961858489
2016-09-22,air_a88ac559064dec08,0,0,0,0,1,0,0,1.2688565671621415,1.071666168942948,1.0,-1.3542601047607756,1.3088175526155583,1,17.0,1,1,-0.36482609000111904,-0.3648260900011191
2016-09-23,air_a88ac559064dec08,1,0,0,0,0,0,0,1.442890430072073,1.474248283823273,0.0,0.9773858842564068,1.4747730129649304,1,60.0,1,1,0.1021535507445682,0.10215355074456818
2016-09-24,air_a88ac559064dec08,0,0,1,0,0,0,0,1.529907361527039,1.5748938125433543,0.0,1.3504492424991557,1.5300914997480541,1,53.0,1,1,1.0027571436112508,1.0027571436112508
2016-09-25,air_a88ac559064dec08,0,0,0,1,0,0,0,1.6169242929820051,1.5317600145204622,0.0,-1.0433739728918179,1.5854099865311784,1,9.0,1,1,-0.4456773787327093,-0.4456773787327094
2016-09-26,air_a88ac559064dec08,0,1,0,0,0,0,0,1.9794948407110293,2.034987658120868,0.0,0.7286769787612407,1.8343431770552359,1,59.0,1,1,-1.1153290840566878,-1.115329084056688
2016-09-27,air_a88ac559064dec08,0,0,0,0,0,1,0,1.99399766262019,2.0924993888180574,0.0,1.0395631106301984,1.8481727987510173,1,19.0,1,1,-0.5102133849848307,-0.5102133849848308
2016-09-28,air_a88ac559064dec08,0,0,0,0,0,0,1,1.602421471072844,1.1291778996401372,0.0,-1.3542601047607756,1.806683933663674,1,69.0,1,1,-0.3985443404586881,-0.39854434045868814
2016-09-29,air_a88ac559064dec08,0,0,0,0,1,0,0,1.2543537452529807,0.8991309768513804,0.0,-1.3542601047607756,1.460943391269149,1,24.0,1,1,-0.28071174477363503,-0.2807117447736351
