visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Okonomiyaki/Monja/Teppanyaki,Ōsaka-fu Ōsaka-shi Ōgimachi,total_area_visitors,total_genre_visitors
2016-07-01,air_07b314d83059c4d2,1,0,0,0,0,0,0,1.0363720598365425,1.0430495295002062,0.0,0.9106620910696525,1.0080805243564759,1,20.0,1,1,1.4188870706384442,1.4188870706384438
2016-07-02,air_07b314d83059c4d2,0,0,1,0,0,0,0,1.2492012246958213,1.27416655628385,0.0,1.7260288921140596,1.1566592282346322,1,36.0,1,1,1.576610253356115,1.5766102533561146
2016-07-03,air_07b314d83059c4d2,0,0,0,1,0,0,0,1.281125599424713,1.2038265916105668,0.0,1.3727032783281496,1.3370762258009645,1,30.0,1,1,-0.3926655614848512,-0.39266556148485154
2016-07-04,air_07b314d83059c4d2,0,1,0,0,0,0,0,1.3130499741536046,1.2842151226657479,0.0,1.1552721313829746,1.3158506966755137,1,26.0,1,1,-1.1578871273973785,-1.1578871273973788
2016-07-05,air_07b314d83059c4d2,0,0,0,0,0,1,0,1.3130499741536046,1.4550407511580061,0.0,1.6173133186414719,1.252174109299161,1,26.0,1,1,-0.49643081327279254,-0.49643081327279287
2016-07-06,air_07b314d83059c4d2,0,0,0,0,0,0,1,1.2172768499669293,1.153583759701079,0.0,1.2096299181192682,1.2203358156109845,1,20.0,1,1,-0.04061836178249034,-0.040618361782490654
2016-07-07,air_07b314d83059c4d2,0,0,0,0,1,0,0,1.281125599424713,1.2942636890476455,0.0,1.535776638537031,1.2733996384246118,1,30.0,1,1,-0.10702812292677279,-0.10702812292677309
2016-07-08,air_07b314d83059c4d2,1,0,0,0,0,0,0,1.0044476851076505,0.8521267682441521,0.0,-1.5082594186954221,0.9550167015428487,1,22.0,1,1,1.21437519256912,1.2143751925691195
2016-07-09,air_07b314d83059c4d2,0,0,1,0,0,0,0,0.7171283125476242,0.53057264402343,0.0,-1.209291591645806,0.8064379976646927,1,26.0,1,1,1.5158604150366293,1.515860415036629
2016-07-10,air_07b314d83059c4d2,0,0,0,1,0,0,0,1.121503725780254,1.0731952286458986,0.0,0.5029786905474488,1.103595405421005,1,28.0,1,1,-0.2334330660139013,-0.2334330660139016
2016-07-11,air_07b314d83059c4d2,0,1,0,0,0,0,0,1.1959939334810015,1.1937780252286698,0.0,0.04093750328895142,1.2415613447364353,1,22.0,1,1,-1.2080717764439102,-1.2080717764439104
2016-07-12,air_07b314d83059c4d2,0,0,0,0,0,1,0,1.1427866422661819,0.9626609984450253,0.0,-1.2636493783821,1.252174109299161,1,14.0,1,1,-0.4813376857400011,-0.4813376857400014
2016-07-13,air_07b314d83059c4d2,0,0,0,0,0,0,1,1.11086226753729,0.8219810690984594,0.0,-1.4810805253272754,1.252174109299161,1,23.0,1,1,-0.4085133453942823,-0.4085133453942826
2016-07-14,air_07b314d83059c4d2,0,0,0,0,1,0,0,1.0576549763224703,1.093292361409694,0.0,0.17683197012968593,1.1460464636719065,1,23.0,1,1,-0.1911723089220852,-0.1911723089220855
2016-07-15,air_07b314d83059c4d2,1,0,0,0,0,0,0,0.8448258114631915,0.6210097414605079,0.0,-1.4539016319591285,1.0080805243564759,1,22.0,1,1,1.0008074379801206,1.0008074379801204
2016-07-16,air_07b314d83059c4d2,0,0,1,0,0,0,0,0.9938062268646864,0.972709564826923,0.0,-0.2580303237606647,0.9444039369801235,1,35.0,1,1,1.456619889470423,1.4566198894704225
2016-07-17,air_07b314d83059c4d2,0,0,0,1,0,0,0,1.1321451840232177,0.9325152992993327,0.0,-1.290828271750247,1.1672719927973574,1,37.0,1,1,0.52461926432055,0.5246192643205496
2016-07-18,air_07b314d83059c4d2,0,1,0,0,0,0,0,1.1427866422661819,1.0832437950277964,1.0,1.318345491591856,1.1142081699837303,1,29.0,1,1,-1.011861118517621,-1.0118611185176214
2016-07-19,air_07b314d83059c4d2,0,0,0,0,0,1,0,1.1534281005091456,1.1937780252286698,0.0,1.7803866788503533,1.0823698762955538,1,25.0,1,1,-0.835271526383961,-0.8352715263839612
2016-07-20,air_07b314d83059c4d2,0,0,0,0,0,0,1,1.1002208092943258,1.2540694235200547,0.0,2.16089118600441,0.9656294661055742,1,21.0,1,1,-0.35078213258135493,-0.3507821325813552
2016-07-21,air_07b314d83059c4d2,0,0,0,0,1,0,0,1.0682964345654344,1.093292361409694,0.0,0.9106620910696525,0.9762422306682995,1,22.0,1,1,-0.1285358296610006,-0.12853582966100094
2016-07-22,air_07b314d83059c4d2,1,0,0,0,0,0,0,1.1002208092943258,1.2641179899019523,0.0,1.1824510247511215,0.9762422306682995,1,22.0,1,1,1.0649532299944844,1.064953229994484
2016-07-23,air_07b314d83059c4d2,0,0,1,0,0,0,0,1.0470135180795062,1.103340927791591,0.0,1.2368088114874152,1.0186932889192015,1,28.0,1,1,1.3830408927480644,1.3830408927480642
2016-07-24,air_07b314d83059c4d2,0,0,0,1,0,0,0,0.9938062268646864,0.9626609984450253,0.0,-0.20367253702437083,1.0080805243564759,1,40.0,1,1,-0.41492792459571864,-0.414927924595719
2016-07-25,air_07b314d83059c4d2,0,1,0,0,0,0,0,1.0150891433506146,0.882272467389845,0.0,-1.1821126982776593,1.1884975219228082,1,15.0,1,1,-1.0628004239407922,-1.0628004239407924
2016-07-26,air_07b314d83059c4d2,0,0,0,0,0,1,0,0.9193160191639389,0.7315439716613814,0.0,-1.5082594186954221,1.061144347170103,1,20.0,1,1,-0.3266331285288886,-0.32663312852888887
