visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Torikai,total_area_visitors,total_genre_visitors
2016-01-01,air_298513175efdf261,1,0,0,0,0,0,0,-1.130219760549606,-0.9400531663959599,1.0,0.34905008563791523,-1.2130983457446203,1,12.0,1,1,-1.9582515925084563,-1.9582515925084563
2016-01-02,air_298513175efdf261,0,0,1,0,0,0,0,-0.6100544006391584,-0.6976402119632487,1.0,-1.1276760043868939,-0.597672843513203,1,9.0,1,1,-1.8094296162281587,-1.8094296162281587
2016-01-03,air_298513175efdf261,0,0,0,1,0,0,0,-0.6100544006391584,-0.6399228418602222,1.0,-0.930779192383586,-0.5740026318889179,1,47.0,1,1,-1.6739537731845036,-1.6739537731845036
2016-01-04,air_298513175efdf261,0,1,0,0,0,0,0,-0.6826356136499184,-0.4898576795923532,0.0,0.3736621871383289,-0.7041887958224867,1,42.0,1,1,-1.4777907959893224,-1.4777907959893224
2016-01-05,air_298513175efdf261,0,0,0,0,0,1,0,-0.815701170836312,-0.9631401144371705,0.0,-1.2753486133893748,-0.597672843513203,1,33.0,1,1,-1.3486102988120081,-1.3486102988120081
2016-01-07,air_298513175efdf261,0,0,0,0,1,0,0,-0.9124761215173256,-1.1940095948492764,0.0,-1.1769002073877206,-0.5858377377010604,1,29.0,1,1,-1.2161562217841966,-1.2161562217841966
2016-01-08,air_298513175efdf261,1,0,0,0,0,0,0,-1.1060260228793526,-1.3787051791789613,0.0,-1.2753486133893748,-0.7870345365074852,1,25.0,1,1,-0.8840137738760532,-0.8840137738760532
2016-01-09,air_298513175efdf261,0,0,1,0,0,0,0,-1.057638547538846,-1.3440747571171454,0.0,-1.2261244103885476,-0.7396941132589148,1,31.0,1,1,-0.6276672901986537,-0.6276672901986537
2016-01-10,air_298513175efdf261,0,0,0,1,0,0,0,-1.057638547538846,-1.13629222474625,0.0,-0.3400887563736623,-0.9408909120653395,1,34.0,1,1,-0.9114614818532993,-0.9114614818532993
2016-01-11,air_298513175efdf261,0,1,0,0,0,0,0,-1.009251072198339,-0.9977705364989865,1.0,-1.02922759838524,-0.9763962295017675,1,16.0,1,1,-1.2707998239040352,-1.2707998239040352
2016-01-12,air_298513175efdf261,0,0,0,0,0,1,0,-1.1060260228793526,-1.3325312830965401,0.0,-1.1769002073877206,-0.98823133531391,1,23.0,1,1,-1.3241843568506058,-1.3241843568506058
2016-01-13,air_298513175efdf261,0,0,0,0,0,0,1,-1.3116727930765064,-1.5518572894880407,0.0,-1.02922759838524,-1.153922816683907,1,9.0,1,1,-1.1217260337890838,-1.1217260337890838
2016-01-14,air_298513175efdf261,0,0,0,0,1,0,0,-1.2028009735603662,-1.3787051791789613,0.0,-0.8569428878823454,-1.082912181811051,1,26.0,1,1,-1.0298139841405074,-1.0298139841405074
2016-01-15,air_298513175efdf261,1,0,0,0,0,0,0,-1.3116727930765064,-1.1247487507256446,0.0,0.9397405216478389,-1.2959440864296186,1,23.0,1,1,-0.7558405320373535,-0.7558405320373535
2016-01-16,air_298513175efdf261,0,0,1,0,0,0,0,-1.1060260228793526,-0.9054227443341439,0.0,0.6443953036428771,-1.3077791922417614,1,39.0,1,1,-0.609536694103592,-0.609536694103592
2016-01-17,air_298513175efdf261,0,0,0,1,0,0,0,-1.1544134982198595,-1.3325312830965401,0.0,-1.2753486133893748,-1.0355717585624806,1,23.0,1,1,-1.2075945514059732,-1.2075945514059732
2016-01-18,air_298513175efdf261,0,1,0,0,0,0,0,-1.2028009735603662,-1.2401834909316978,0.0,-0.733882380380278,-1.3906249329267597,1,20.0,1,1,-1.4886187908794288,-1.4886187908794288
2016-01-19,air_298513175efdf261,0,0,0,0,0,1,0,-1.7350632023059407,-2.0251397243328584,0.0,-1.2507365118889613,-1.4616355677996156,1,19.0,1,1,-1.2541801108168953,-1.2541801108168953
2016-01-21,air_298513175efdf261,0,0,0,0,1,0,0,-1.6745788581303072,-1.6557485556734886,0.0,-1.2507365118889613,-1.579986625921042,1,35.0,1,1,-1.009417063533563,-1.009417063533563
