visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Western food,Tōkyō-to Chiyoda-ku Kudanminami,total_area_visitors,total_genre_visitors
2016-07-01,air_edd5e3d696a5811b,1,0,0,0,0,0,0,1.094232568142962,1.175123554006898,0.0,-0.1708268088788129,1.0389714074137042,1,68.0,1,1,1.280440152127303,1.280440152127303
2016-07-02,air_edd5e3d696a5811b,0,0,1,0,0,0,0,1.2563595443844568,1.3147421940869255,0.0,0.489476317710115,1.193605697817527,1,4.0,1,1,1.436290608551888,1.436290608551888
2016-07-04,air_edd5e3d696a5811b,0,1,0,0,0,0,0,1.3490035308081683,1.5474399275536377,0.0,0.542300567837229,1.215696310732359,1,18.0,1,1,-1.2657387161107119,-1.2657387161107119
2016-07-05,air_edd5e3d696a5811b,0,0,0,0,0,1,0,0.6425931343273689,0.5933792203401169,0.0,-1.3329603116753261,0.8401558911802174,1,44.0,1,1,-0.6121362038803355,-0.6121362038803355
2016-07-06,air_edd5e3d696a5811b,0,0,0,0,0,0,1,0.804720110568864,0.7446327470934797,0.0,-0.2500631840694844,0.8732918105524653,1,47.0,1,1,-0.16173584177292274,-0.16173584177292274
2016-07-07,air_edd5e3d696a5811b,0,0,0,0,1,0,0,1.3026815375963123,1.8848516410803713,0.0,2.047791696459985,1.0279261009562881,1,42.0,1,1,-0.22735708658327428,-0.22735708658327428
2016-07-08,air_edd5e3d696a5811b,1,0,0,0,0,0,0,1.0594910732340703,1.082044460620213,0.0,-0.7783056853406266,1.05001671387112,1,65.0,1,1,1.0783565459499704,1.0783565459499704
2016-07-09,air_edd5e3d696a5811b,0,0,1,0,0,0,0,0.7236566224481162,0.5119350136267673,0.0,-1.3329603116753261,0.8512011976376335,1,27.0,1,1,1.3762620834696915,1.3762620834696915
2016-07-11,air_edd5e3d696a5811b,0,1,0,0,0,0,0,1.3721645274140961,1.512535267533631,0.0,1.9685553212693134,1.072107326785952,1,13.0,1,1,-1.3153274977003526,-1.3153274977003526
2016-07-12,air_edd5e3d696a5811b,0,0,0,0,0,1,0,1.267940042687421,1.3147421940869255,0.0,0.3310035673287722,1.326149375306518,1,15.0,1,1,-0.5972222846052556,-0.5972222846052556
2016-07-13,air_edd5e3d696a5811b,0,0,0,0,0,0,1,1.0363300766281425,0.8260769538068294,0.0,-1.3329603116753261,1.204651004274943,1,56.0,1,1,-0.5252626241029952,-0.5252626241029952
2016-07-14,air_edd5e3d696a5811b,0,0,0,0,1,0,0,1.1289740630518537,1.4427259474936172,0.0,-0.3028874341965986,0.9616542622117927,1,56.0,1,1,-0.3105021865418447,-0.3105021865418447
2016-07-15,air_edd5e3d696a5811b,1,0,0,0,0,0,0,0.7004956258421885,0.4072210335667468,0.0,-1.3329603116753261,0.9285183428395448,1,46.0,1,1,0.86732458820759,0.86732458820759
2016-07-16,air_edd5e3d696a5811b,0,0,1,0,0,0,0,0.9205250935985033,0.8377118404801648,0.0,-0.9103663106584122,0.8291105847228017,1,11.0,1,1,1.3177249503150028,1.3177249503150028
