visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Miyagi-ken Sendai-shi Kamisugi,total_area_visitors,total_genre_visitors
2016-01-05,air_c1d5d165c055b866,0,0,0,0,0,1,0,-0.8526763890800966,-0.9146018807292078,0.0,-0.418448342389674,-0.714503435693484,1,18.0,1,1,-1.4245886944193293,-1.4245886944193293
2016-01-06,air_c1d5d165c055b866,0,0,0,0,0,0,1,-0.947380134752651,-0.8342623720197536,0.0,-0.6579217913476202,-0.9569036319707565,1,29.0,1,1,-1.360215560866433,-1.360215560866433
2016-01-07,air_c1d5d165c055b866,0,0,0,0,1,0,0,-0.9592181029617206,-1.1097121161664536,0.0,-0.17897489343172807,-0.7953035011192414,1,12.0,1,1,-1.2907536420524384,-1.2907536420524384
2016-01-08,air_c1d5d165c055b866,1,0,0,0,0,0,0,-0.9592181029617206,-0.9490330987475454,0.0,-0.09915041044574585,-0.8761035665449989,1,34.0,1,1,-0.955148254082991,-0.955148254082991
2016-01-09,air_c1d5d165c055b866,0,0,1,0,0,0,0,-1.0775977850524139,-1.0523267528025577,0.0,0.16693119950752755,-0.9684464984601503,1,25.0,1,1,-0.6961290842930764,-0.6961290842930764
2016-01-10,air_c1d5d165c055b866,0,0,0,1,0,0,0,-0.9710560711707898,-0.8342623720197536,0.0,-0.1523667324364006,-1.014617964417726,1,30.0,1,1,-0.982882133755978,-0.982882133755978
2016-01-12,air_c1d5d165c055b866,0,0,0,0,0,1,0,-1.3380330856519391,-1.385161860313154,0.0,-0.5514891473663107,-1.2685610271843923,1,19.0,1,1,-1.3999080859030015,-1.3999080859030015
2016-01-13,air_c1d5d165c055b866,0,0,0,0,0,0,1,-1.1012737214705524,-0.9605101714203245,0.0,0.4064046484654735,-1.2454752942056047,1,21.0,1,1,-1.195338918406841,-1.195338918406841
2016-01-14,air_c1d5d165c055b866,0,0,0,0,1,0,0,-1.160463562515899,-1.2474369882398038,0.0,0.007282233535563365,-1.0377036973965137,1,30.0,1,1,-1.1024685873917932,-1.1024685873917932
2016-01-15,air_c1d5d165c055b866,1,0,0,0,0,0,0,-1.3261951174428697,-1.2703911335853622,0.0,-0.39184018139434673,-1.1646752287798472,1,33.0,1,1,-0.8256386691880337,-0.8256386691880337
2016-01-16,air_c1d5d165c055b866,0,0,1,0,0,0,0,-1.4208988631154242,-1.385161860313154,0.0,-0.44505650338500136,-1.2685610271843923,1,41.0,1,1,-0.6778094573531218,-0.6778094573531218
2016-01-18,air_c1d5d165c055b866,0,1,0,0,0,0,0,-1.231491371770315,-1.3622077149675955,0.0,-1.4029502992167857,-1.0954180298434835,1,10.0,1,1,-1.5660569246778682,-1.5660569246778682
2016-01-19,air_c1d5d165c055b866,0,0,0,0,0,1,0,-1.124949657888691,-1.2244828428942454,0.0,-0.9772197232915482,-0.9799893649495441,1,13.0,1,1,-1.329173970773732,-1.329173970773732
2016-01-20,air_c1d5d165c055b866,0,0,0,0,0,0,1,-1.160463562515899,-1.2015286975486872,0.0,0.7523107414047289,-1.2223895612268167,1,7.0,1,1,-1.2039898533507085,-1.2039898533507085
2016-01-21,air_c1d5d165c055b866,0,0,0,0,1,0,0,-1.1723015307249685,-1.2474369882398038,0.0,-0.36523202039901936,-1.1415894958010593,1,13.0,1,1,-1.0818590070843441,-1.0818590070843441
2016-01-22,air_c1d5d165c055b866,1,0,0,0,0,0,0,-1.2551673081884538,-1.2359599155670247,0.0,0.7257025804094016,-1.1415894958010593,1,33.0,1,1,-0.773224180998719,-0.773224180998719
2016-01-23,air_c1d5d165c055b866,0,0,1,0,0,0,0,-1.2788432446065925,-1.385161860313154,0.0,-1.2433013332448217,-1.1646752287798472,1,46.0,1,1,-0.6999456732389003,-0.6999456732389003
2016-01-24,air_c1d5d165c055b866,0,0,0,1,0,0,0,-1.4800887041607709,-1.5687950230776206,0.0,-0.045934088455091365,-1.2570181606949984,1,18.0,1,1,-1.3973636932724522,-1.3973636932724522
