visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-01-06,air_3cad29d1a23209d2,0,0,0,0,0,0,1,-0.7646925936589197,-1.0231977424231335,0.0,-1.3129341657491918,-0.48700114556024876,1,12.0,1,1,-1.339133479939566,-1.339133479939566
2016-01-07,air_3cad29d1a23209d2,0,0,0,0,1,0,0,-0.7900856858333064,-0.8213921916423726,0.0,-0.1160553764331642,-0.8017546863151618,1,9.0,1,1,-1.2722938199315563,-1.2722938199315563
2016-01-08,air_3cad29d1a23209d2,1,0,0,0,0,0,0,-1.0313200614899791,-1.073649130118324,0.0,0.856408639886108,-0.9712373621062689,1,8.0,1,1,-0.9493578801858971,-0.9493578801858971
2016-01-09,air_3cad29d1a23209d2,0,0,1,0,0,0,0,-0.9678373310540125,-0.9853592016517411,0.0,0.9062785894409429,-1.0075550783472202,1,7.0,1,1,-0.7001169501926591,-0.7001169501926591
2016-01-10,air_3cad29d1a23209d2,0,0,0,1,0,0,0,-0.8916580545308527,-0.8213921916423726,0.0,0.9561485389957771,-1.0559787000018224,1,12.0,1,1,-0.9760447774052123,-0.9760447774052123
2016-01-11,air_3cad29d1a23209d2,0,1,0,0,0,0,0,-0.993230423228399,-1.1241005178135144,1.0,-0.4900799980944228,-0.8864960242107154,1,4.0,1,1,-1.3254227804507435,-1.3254227804507435
2016-01-14,air_3cad29d1a23209d2,0,0,0,0,1,0,0,-1.1328924301875254,-1.0105848954993362,0.0,0.9561485389957771,-1.3223086191021336,1,4.0,1,1,-1.0911167195435443,-1.0911167195435443
2016-01-15,air_3cad29d1a23209d2,1,0,0,0,0,0,0,-1.1836786145362985,-1.073649130118324,0.0,0.7067987912216047,-1.1044023216564243,1,16.0,1,1,-0.8247374151892781,-0.8247374151892781
2016-01-16,air_3cad29d1a23209d2,0,0,1,0,0,0,0,-1.0694096997515588,-0.9601335078041459,0.0,0.9561485389957771,-1.1286141324837253,1,7.0,1,1,-0.6824889079927443,-0.6824889079927443
2016-01-17,air_3cad29d1a23209d2,0,0,0,1,0,0,0,-1.158285522361912,-1.3637446093656682,0.0,-0.5399499476492572,-1.0680846054154727,1,5.0,1,1,-1.2639694666704855,-1.2639694666704855
