visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Minato-ku Shibakōen,total_area_visitors,total_genre_visitors
2016-01-05,air_671b4bea84dafb67,0,0,0,0,0,1,0,-0.5541386348248853,-0.5486894025427822,0.0,0.7861473328469984,-0.7765325419702835,1,24.0,1,1,-1.3807668573302248,-1.3807668573302252
2016-01-06,air_671b4bea84dafb67,0,0,0,0,0,0,1,-0.8051061159151929,-1.0591234474680313,0.0,-1.2966044772401881,-0.5362716473384445,1,18.0,1,1,-1.315830284811295,-1.3158302848112955
2016-01-07,air_671b4bea84dafb67,0,0,0,0,1,0,0,-0.8302028640242237,-0.8599296738386658,0.0,-0.10646058576179586,-0.8486108103598352,1,25.0,1,1,-1.245760386401541,-1.2457603864015412
2016-01-08,air_671b4bea84dafb67,1,0,0,0,0,0,0,-1.068621971060016,-1.1089218908753729,0.0,0.8605313260643978,-1.0167934366021225,1,24.0,1,1,-0.9072175439016664,-0.9072175439016666
2016-01-09,air_671b4bea84dafb67,0,0,1,0,0,0,0,-1.0058801007874392,-1.0217746149125255,0.0,0.9101206548759977,-1.0528325707968984,1,24.0,1,1,-0.6459312560587003,-0.6459312560587005
2016-01-10,air_671b4bea84dafb67,0,0,0,1,0,0,0,-0.9305898564603466,-0.8599296738386658,0.0,0.9597099836875972,-1.100884749723266,1,20.0,1,1,-0.9351941700066598,-0.93519417000666
2016-01-11,air_671b4bea84dafb67,0,1,0,0,0,0,0,-1.0309768488964697,-1.1587203342827141,1.0,-0.47838055184879347,-0.9327021234809789,1,30.0,1,1,-1.3014569723169866,-1.3014569723169869
2016-01-12,air_671b4bea84dafb67,0,0,0,0,0,1,0,-1.4952666889135386,-1.7065032117634695,0.0,-1.2966044772401881,-1.2810804206971456,1,29.0,1,1,-1.355870226759726,-1.3558702267597265
2016-01-13,air_671b4bea84dafb67,0,0,0,0,0,0,1,-1.3823313224229006,-1.2583172210973972,0.0,0.8605313260643978,-1.4973152258658007,1,31.0,1,1,-1.1495105259485818,-1.1495105259485823
2016-01-14,air_671b4bea84dafb67,0,0,0,0,1,0,0,-1.169008963496139,-1.046673836616196,0.0,0.9597099836875972,-1.3651717338182894,1,18.0,1,1,-1.055827328441035,-1.0558273284410353
2016-01-15,air_671b4bea84dafb67,1,0,0,0,0,0,0,-1.2192024597142004,-1.1089218908753729,0.0,0.7117633396295988,-1.148936928649634,1,22.0,1,1,-0.7765743999801833,-0.7765743999801835
2016-01-16,air_671b4bea84dafb67,0,0,1,0,0,0,0,-1.106267093223562,-0.9968753932088547,0.0,0.9597099836875972,-1.172963018112818,1,38.0,1,1,-0.6274512828517321,-0.6274512828517324
2016-01-17,air_671b4bea84dafb67,0,0,0,1,0,0,0,-1.1941057116051699,-1.3952629404675858,0.0,-0.5279698806603931,-1.1128977944548581,1,16.0,1,1,-1.2370337323871392,-1.2370337323871397
2016-01-18,air_671b4bea84dafb67,0,1,0,0,0,0,0,-1.570556933240631,-1.6940536009116343,0.0,-0.9494791755589904,-1.3651717338182894,1,25.0,1,1,-1.5234733170951453,-1.5234733170951458
2016-01-19,air_671b4bea84dafb67,0,0,0,0,0,1,0,-1.2819443299867774,-1.3952629404675858,0.0,0.9597099836875972,-1.2810804206971456,1,18.0,1,1,-1.2845169968772658,-1.284516996877266
2016-01-20,air_671b4bea84dafb67,0,0,0,0,0,0,1,-1.407428070531931,-1.333014886208409,0.0,0.9845046480933969,-1.4732891364026166,1,26.0,1,1,-1.1582371799629836,-1.1582371799629838
