visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Hiroshima-ken Hiroshima-shi Kokutaijimachi,total_area_visitors,total_genre_visitors
2016-01-04,air_e0f241bd406810c0,0,1,0,0,0,0,0,-0.5676464516410523,-0.4453840786718762,0.0,0.47529402876370075,-0.5425157075056828,1,29.0,1,1,-1.5188807741901884,-1.5188807741901884
2016-01-05,air_e0f241bd406810c0,0,0,0,0,0,1,0,-0.9242622146015158,-1.1027512083515754,0.0,-1.3266171386908956,-0.6882394833208161,1,14.0,1,1,-1.3899400615330146,-1.3899400615330146
2016-01-06,air_e0f241bd406810c0,0,0,0,0,0,0,1,-0.9242622146015158,-1.0335546683852914,0.0,-1.1514313307439208,-0.7779156530532058,1,18.0,1,1,-1.3263494176689503,-1.3263494176689503
2016-01-07,air_e0f241bd406810c0,0,0,0,0,1,0,0,-0.9472696831796104,-0.8836288317916757,0.0,0.17497550085460137,-0.8788013440021443,1,34.0,1,1,-1.2577318454361852,-1.2577318454361852
2016-01-08,air_e0f241bd406810c0,1,0,0,0,0,0,0,-1.0162920889138936,-1.1142839650126228,0.0,-1.126404786751496,-0.9236394288683392,1,39.0,1,1,-0.9262059195203719,-0.9262059195203719
2016-01-09,air_e0f241bd406810c0,0,0,1,0,0,0,0,-1.1198256975153187,-1.0796856950294806,0.0,0.25005513283187614,-1.0581536834669236,1,29.0,1,1,-0.6703352655535045,-0.6703352655535045
2016-01-10,air_e0f241bd406810c0,0,0,0,1,0,0,0,-1.0738107603591298,-0.9297598584358652,0.0,0.5754002047334005,-1.0693632046834725,1,29.0,1,1,-0.9536026791297909,-0.9536026791297909
2016-01-12,air_e0f241bd406810c0,0,0,0,0,0,1,0,-0.9357659488905632,-1.0104891550631965,0.0,-0.27550229100904766,-0.7667061318366571,1,21.0,1,1,-1.3655594589448161,-1.3655594589448161
2016-01-13,air_e0f241bd406810c0,0,0,0,0,0,0,1,-1.2118555718276962,-1.252677044945191,0.0,-0.9261924348120963,-1.1478298531993134,1,29.0,1,1,-1.1634769385230466,-1.1634769385230466
2016-01-14,air_e0f241bd406810c0,0,0,0,0,1,0,0,-1.3383966490072157,-1.1950132616399542,0.0,-0.2504757470166228,-1.3159726714475444,1,16.0,1,1,-1.0717354957942582,-1.0717354957942582
2016-01-15,air_e0f241bd406810c0,1,0,0,0,0,0,0,-1.2578705089838853,-1.1142839650126228,0.0,0.6254532927182503,-1.1814584168489597,1,14.0,1,1,-0.7982705925369382,-0.7982705925369382
2016-01-16,air_e0f241bd406810c0,0,0,1,0,0,0,0,-1.2233593061167436,-1.1027512083515754,0.0,0.6755063807031003,-1.3159726714475444,1,47.0,1,1,-0.6522383234261819,-0.6522383234261819
2016-01-18,air_e0f241bd406810c0,0,1,0,0,0,0,0,-1.1198256975153187,-0.9989563984021492,0.0,-0.025236851084798177,-1.2375060229317034,1,27.0,1,1,-1.5296886701828951,-1.5296886701828951
2016-01-19,air_e0f241bd406810c0,0,0,0,0,0,1,0,-1.7180198805457736,-1.840847634658606,0.0,-0.00021030709237331813,-1.4616964472626777,1,23.0,1,1,-1.2956851546198758,-1.2956851546198758
2016-01-20,air_e0f241bd406810c0,0,0,0,0,0,0,1,-1.510952663342924,-1.4026028815388065,0.0,0.5003205727561256,-1.5401630957785186,1,21.0,1,1,-1.1720227167498378,-1.1720227167498378
2016-01-21,air_e0f241bd406810c0,0,0,0,0,1,0,0,-1.3729078518743574,-1.4717994215050907,0.0,-0.5007411869408722,-1.327182192664093,1,34.0,1,1,-1.0513764359010203,-1.0513764359010203
2016-01-22,air_e0f241bd406810c0,1,0,0,0,0,0,0,-1.1888481032496019,-1.1142839650126228,0.0,0.12492241286975142,-1.1814584168489597,1,43.0,1,1,-0.7464932303393207,-0.7464932303393207
2016-01-23,air_e0f241bd406810c0,0,0,1,0,0,0,0,-1.36140411758531,-1.5063976914882329,0.0,-0.9512189788045212,-1.248715544148252,1,39.0,1,1,-0.6741054618300302,-0.6741054618300302
2016-01-25,air_e0f241bd406810c0,0,1,0,0,0,0,0,-1.7180198805457736,-1.6217252580987063,0.0,0.5253471167485507,-1.7307249564598468,1,18.0,1,1,-1.3874265973486644,-1.3874265973486644
2016-01-26,air_e0f241bd406810c0,0,0,0,0,0,1,0,-1.3499003832962628,-1.5409959614713749,0.0,-1.2765640507060456,-1.2711345865813493,1,17.0,1,1,-1.2167623792312743,-1.2167623792312743
2016-01-27,air_e0f241bd406810c0,0,0,0,0,0,0,1,-1.0968182289372241,-1.0104891550631965,0.0,0.024816236900051764,-1.1142012895496674,1,23.0,1,1,-1.0669599138439925,-1.0669599138439925
2016-01-28,air_e0f241bd406810c0,0,0,0,0,1,0,0,-1.1888481032496019,-1.414135638199854,0.0,-1.3266171386908956,-1.1254108107662162,1,18.0,1,1,-1.0724895350495633,-1.0724895350495633
2016-01-29,air_e0f241bd406810c0,1,0,0,0,0,0,0,-0.9587734174686576,-1.3103408282504276,0.0,-1.3266171386908956,-0.6882394833208161,1,32.0,1,1,-0.9312328478890727,-0.9312328478890727
2016-01-30,air_e0f241bd406810c0,0,0,1,0,0,0,0,-0.8207286060000911,-1.0681529383684334,0.0,-1.3266171386908956,-0.6546109196711699,1,27.0,1,1,-0.6333873420435542,-0.6333873420435542
2016-02-01,air_e0f241bd406810c0,0,1,0,0,0,0,0,-1.0162920889138936,-1.218078774962049,0.0,-1.3266171386908956,-0.7779156530532058,1,32.0,1,1,-1.432920299085406,-1.432920299085406
2016-02-02,air_e0f241bd406810c0,0,0,0,0,0,1,0,-1.0968182289372241,-1.1373494783347173,0.0,-0.2504757470166228,-1.1254108107662162,1,9.0,1,1,-1.2866366835562146,-1.2866366835562146
