visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Hokkaidō Sapporo-shi Minami 3 Jōnishi,total_area_visitors,total_genre_visitors
2016-03-25,air_b259b4e4a51a690d,1,0,0,0,0,0,0,-2.2296797517105356,-2.2116057947673577,0.0,-0.8524009845617428,-1.9569164773273844,1,2.0,1,1,-0.5122855877607744,-0.5122855877607744
2016-03-26,air_b259b4e4a51a690d,0,0,1,0,0,0,0,-1.8733344404615497,-1.9122410892894608,0.0,0.41545217864016265,-1.8180906297848767,1,17.0,1,1,-0.5183930091543058,-0.5183930091543058
2016-03-29,air_b259b4e4a51a690d,0,0,0,0,0,1,0,-1.3930429339955253,-0.8858478133652434,0.0,0.6601255961001795,-1.8180906297848767,1,15.0,1,1,-0.9382118449444421,-0.9382118449444421
2016-03-30,air_b259b4e4a51a690d,0,0,0,0,0,0,1,-1.3620563851912657,-1.4703217621554228,0.0,-0.8746440225126535,-1.324487616300405,1,15.0,1,1,-1.0276988453627065,-1.0276988453627065
2016-03-31,air_b259b4e4a51a690d,0,0,0,0,1,0,0,-1.4705093060061742,-1.3420226026648956,0.0,0.7268547099529115,-1.7718153472707072,1,14.0,1,1,-0.9902576968197531,-0.9902576968197531
2016-04-01,air_b259b4e4a51a690d,1,0,0,0,0,0,0,-1.3000832875827464,-0.9856360485245422,0.0,1.282930658725677,-1.4478883696715228,1,9.0,1,1,-0.7733114673190944,-0.7733114673190944
2016-04-02,air_b259b4e4a51a690d,0,0,1,0,0,0,0,-1.656428598831732,-1.7696864676333195,0.0,0.41545217864016265,-1.2936374279576253,1,4.0,1,1,-0.7913681914391003,-0.7913681914391003
2016-04-05,air_b259b4e4a51a690d,0,0,0,0,0,1,0,-1.067684171550799,-0.6720158808810315,0.0,1.0605002792165708,-1.571289123042641,1,16.0,1,1,-1.2451761549845417,-1.2451761549845417
2016-04-06,air_b259b4e4a51a690d,0,0,0,0,0,0,1,-0.9902177995401499,-0.9286141998620859,0.0,1.0827433171674814,-0.9851355445298305,1,13.0,1,1,-1.1748080389286364,-1.1748080389286364
2016-04-07,air_b259b4e4a51a690d,0,0,0,0,1,0,0,-1.1141639947571886,-1.0996797458494554,0.0,-1.1193174399726702,-1.2319370512720664,1,11.0,1,1,-1.2964253866780877,-1.2964253866780877
2016-04-08,air_b259b4e4a51a690d,1,0,0,0,0,0,0,-1.0212043483444093,-0.7005268052122596,0.0,-0.2295959219362453,-1.0314108270439997,1,9.0,1,1,-0.710112932899074,-0.710112932899074
2016-04-09,air_b259b4e4a51a690d,0,0,1,0,0,0,0,-1.3620563851912657,-0.9713805863589282,0.0,0.7268547099529115,-1.3399127104717945,1,24.0,1,1,-0.6131908107843366,-0.6131908107843366
2016-04-12,air_b259b4e4a51a690d,0,0,0,0,0,1,0,-1.315576561984876,-1.2422343675055967,0.0,0.9047990135601967,-1.5095887463570818,1,21.0,1,1,-1.311561170131622,-1.311561170131622
2016-04-13,air_b259b4e4a51a690d,0,0,0,0,0,0,1,-1.1296572691593183,-1.1852125188431402,0.0,-1.1638035158744915,-1.01598573287261,1,15.0,1,1,-1.2191532290468863,-1.2191532290468863
2016-04-14,air_b259b4e4a51a690d,0,0,0,0,1,0,0,-0.6803523114975534,-0.614994032218575,0.0,-1.0303452881690278,-0.6766336611020357,1,9.0,1,1,-1.1843674811098162,-1.1843674811098162
2016-04-15,air_b259b4e4a51a690d,1,0,0,0,0,0,0,-1.656428598831732,-1.6984091568052488,0.0,-1.2305326297272234,-1.3399127104717945,1,12.0,1,1,-0.7393223395637892,-0.7393223395637892
2016-04-16,air_b259b4e4a51a690d,0,0,1,0,0,0,0,-1.145150543561448,-0.9856360485245422,0.0,0.41545217864016265,-1.4324632755001332,1,10.0,1,1,-0.512816667881951,-0.512816667881951
2016-04-19,air_b259b4e4a51a690d,0,0,0,0,0,1,0,-1.7029084220381216,-1.8979856271238467,0.0,-1.2750187056290447,-1.4016130871573538,1,18.0,1,1,-1.2441139947421884,-1.2441139947421884
2016-04-20,air_b259b4e4a51a690d,0,0,0,0,0,0,1,-0.8817648787252412,-0.500950334893662,0.0,0.5711534442965372,-1.2473621454434562,1,19.0,1,1,-1.1036433026909664,-1.1036433026909664
2016-04-21,air_b259b4e4a51a690d,0,0,0,0,1,0,0,-0.2465406282379183,0.16905638689020194,0.0,1.1939585069220344,-0.6457834727592562,1,12.0,1,1,-1.2154356681986498,-1.2154356681986498
2016-04-22,air_b259b4e4a51a690d,1,0,0,0,0,0,0,-0.200060805031529,0.1975673112214306,0.0,0.6601255961001795,-0.4298321543597999,1,16.0,1,1,-0.6909940485367148,-0.6909940485367148
2016-04-23,air_b259b4e4a51a690d,0,0,1,0,0,0,0,-0.9127514275295008,-0.7575486538747163,0.0,-0.3408111116907984,-0.7537591319589844,1,23.0,1,1,-0.588761125210211,-0.588761125210211
2016-04-26,air_b259b4e4a51a690d,0,0,0,0,0,1,0,-1.067684171550799,-0.8003150403715588,0.0,-0.2963250357889771,-0.9080100736728818,1,42.0,1,1,-1.1424121515368613,-1.1424121515368613
2016-04-27,air_b259b4e4a51a690d,0,0,0,0,0,0,1,-1.1296572691593183,-0.9571251241933141,0.0,1.638819265940247,-1.0931112037295587,1,4.0,1,1,-1.1219655668715605,-1.1219655668715605
2016-04-28,air_b259b4e4a51a690d,0,0,0,0,1,0,0,-1.2071236411699675,-1.0141469728557706,0.0,-0.429783263494441,-1.2473621454434562,1,8.0,1,1,-0.8675781888279486,-0.8675781888279486
2016-04-29,air_b259b4e4a51a690d,1,0,0,0,0,0,0,-1.6409353244296025,-2.01202932444876,1.0,-1.2750187056290447,-1.324487616300405,1,15.0,1,1,-0.6856832473249483,-0.6856832473249483
2016-04-30,air_b259b4e4a51a690d,0,0,1,0,0,0,0,-1.7184016964402515,-1.926496551455075,0.0,-1.0970744020217598,-1.4941636521856918,1,12.0,1,1,-0.7321527579279046,-0.7321527579279046
2016-05-03,air_b259b4e4a51a690d,0,0,0,0,0,1,0,0.1562845062174567,0.6252311761898545,1.0,0.8158268617565541,-0.35270668350285117,1,17.0,1,1,-0.8734200701608916,-0.8734200701608916
2016-05-04,air_b259b4e4a51a690d,0,0,0,0,0,0,1,-0.2775271770421781,-0.44392848623120523,1.0,-0.896887060463564,-0.1521804592747844,1,21.0,1,1,-0.933166583793264,-0.933166583793264
2016-05-05,air_b259b4e4a51a690d,0,0,0,0,1,0,0,-0.5254195674762552,-0.6720158808810315,1.0,-0.9858592122672066,-0.46068234270257924,1,19.0,1,1,-1.135508109961565,-1.135508109961565
2016-05-07,air_b259b4e4a51a690d,0,0,1,0,0,0,0,-0.44795319546560614,-0.48669487272804773,0.0,-0.6966997189053684,-0.22930593013173312,1,37.0,1,1,-0.8479282243444127,-0.8479282243444127
2016-05-10,air_b259b4e4a51a690d,0,0,0,0,0,1,0,0.0633248598046781,0.12629000039335997,0.0,-1.0525883261199385,-0.013354611732276665,1,15.0,1,1,-1.4878797703622675,-1.4878797703622675
2016-05-11,air_b259b4e4a51a690d,0,0,0,0,0,0,1,-0.618379213889034,-0.8715923511996294,0.0,-1.2750187056290447,-0.33728158933146146,1,7.0,1,1,-1.2871314845574964,-1.2871314845574964
2016-05-12,air_b259b4e4a51a690d,0,0,0,0,1,0,0,-0.7733119579103322,-0.8858478133652434,0.0,-0.5854845291508153,-0.44525724853118953,1,9.0,1,1,-1.1599377955356904,-1.1599377955356904
2016-05-13,air_b259b4e4a51a690d,1,0,0,0,0,0,0,0.0323383110004183,0.6394866383554684,0.0,1.3496597725784092,-0.599508190245087,1,21.0,1,1,-0.782870909500274,-0.782870909500274
2016-05-14,air_b259b4e4a51a690d,0,0,1,0,0,0,0,-0.1380877074230097,0.12629000039335997,0.0,1.5943331900384259,-0.41440706018841017,1,26.0,1,1,-0.6131908107843366,-0.6131908107843366
2016-05-17,air_b259b4e4a51a690d,0,0,0,0,0,1,0,0.17177778061958673,0.3116110085463432,0.0,1.0827433171674814,0.09462104746745142,1,8.0,1,1,-1.4129974732763608,-1.4129974732763608
2016-05-18,air_b259b4e4a51a690d,0,0,0,0,0,0,1,0.09431140860893764,0.15480092472458812,0.0,1.527604076185694,0.14089632998162074,1,10.0,1,1,-1.1987066443815855,-1.1987066443815855
2016-05-19,air_b259b4e4a51a690d,0,0,0,0,1,0,0,0.342203799043015,0.6252311761898545,0.0,1.4831180002838729,0.048345764953282085,1,7.0,1,1,-1.1896782823215826,-1.1896782823215826
2016-05-20,air_b259b4e4a51a690d,1,0,0,0,0,0,0,0.5746029150749623,1.1241723519863491,0.0,1.5943331900384259,-0.059629894246446,1,46.0,1,1,-0.7823398293790974,-0.7823398293790974
2016-05-21,air_b259b4e4a51a690d,0,0,1,0,0,0,0,0.6985491102920004,1.4235370574642454,0.0,1.6833053418420685,0.06377085912467205,1,10.0,1,1,-0.4918390030954737,-0.4918390030954737
2016-05-24,air_b259b4e4a51a690d,0,0,0,0,0,1,0,0.2337508782281058,0.5539538653617838,0.0,-0.429783263494441,0.21802180083856945,1,4.0,1,1,-1.362810401825168,-1.362810401825168
2016-05-25,air_b259b4e4a51a690d,0,0,0,0,0,0,1,0.2337508782281058,0.012246303068446818,0.0,-0.09613769423078164,0.2951472716955182,1,9.0,1,1,-1.1466607925062744,-1.1466607925062744
2016-05-26,air_b259b4e4a51a690d,0,0,0,0,1,0,0,0.683055835889871,0.7107639491835389,0.0,-1.2305326297272234,0.6344993434660924,1,7.0,1,1,-1.1086885638421444,-1.1086885638421444
2016-05-27,air_b259b4e4a51a690d,1,0,0,0,0,0,0,0.2957239758366254,0.3401219328775719,0.0,0.9047990135601967,0.17174651832440013,1,12.0,1,1,-0.7995999333173383,-0.7995999333173383
2016-05-28,air_b259b4e4a51a690d,0,0,1,0,0,0,0,0.01684503659828853,0.496932016699327,0.0,1.171715468971124,-0.2138808359603434,1,16.0,1,1,-0.5940719264219775,-0.5940719264219775
2016-06-01,air_b259b4e4a51a690d,0,0,0,0,0,0,1,-0.5718993906826448,-0.3726511754031346,0.0,-0.896887060463564,-0.4298321543597999,1,5.0,1,1,-1.2488937158327782,-1.2488937158327782
2016-06-03,air_b259b4e4a51a690d,1,0,0,0,0,0,0,-0.6338724882911638,-1.0141469728557706,0.0,-1.2082895917763128,-0.35270668350285117,1,2.0,1,1,-0.8604086071920639,-0.8604086071920639
2016-06-04,air_b259b4e4a51a690d,0,0,1,0,0,0,0,-0.30851372584643766,-0.25860747807822193,0.0,-1.1638035158744915,-0.2447310243031228,1,12.0,1,1,-0.6771859653861221,-0.6771859653861221
2016-06-07,air_b259b4e4a51a690d,0,0,0,0,0,1,0,0.4971365430643132,0.7677857978459958,0.0,1.1939585069220344,0.2951472716955182,1,13.0,1,1,-1.342894897281044,-1.342894897281044
2016-06-08,air_b259b4e4a51a690d,0,0,0,0,0,0,1,0.28023070143449536,0.11203453822774562,0.0,-1.252775667678134,0.4339731192380256,1,13.0,1,1,-1.16949723771687,-1.16949723771687
2016-06-09,air_b259b4e4a51a690d,0,0,0,0,1,0,0,0.1872710550217168,-0.04477554559401001,0.0,-1.0525883261199385,0.2951472716955182,1,4.0,1,1,-1.2226052498345343,-1.2226052498345343
2016-06-10,air_b259b4e4a51a690d,1,0,0,0,0,0,0,-0.09160788421662011,-0.28711840240945014,0.0,-0.5409984532489941,0.1871716124957898,1,15.0,1,1,-0.760565544410855,-0.760565544410855
2016-06-11,air_b259b4e4a51a690d,0,0,1,0,0,0,0,-0.029634786608101045,-0.016264621262781342,0.0,0.6823686340510904,0.2025967066671795,1,13.0,1,1,-0.5914165258160942,-0.5914165258160942
