visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Minato-ku Shibakōen,total_area_visitors,total_genre_visitors
2016-07-01,air_df843e6b22e8d540,1,0,0,0,0,0,0,1.0772208989049963,1.1538204043868272,0.0,-0.16416755239293804,1.0211625782926232,1,18.0,1,1,1.3726946917057976,1.3726946917057974
2016-07-02,air_df843e6b22e8d540,0,0,1,0,0,0,0,1.2408774534512064,1.294578303068433,0.0,0.5106530031556382,1.176527767270253,1,75.0,1,1,1.5280876207577536,1.5280876207577534
2016-07-03,air_df843e6b22e8d540,0,0,0,1,0,0,0,1.4980520391666794,1.7168519991132505,0.0,0.6996027587092393,1.3096979292510786,1,6.0,1,1,-0.41209347187898815,-0.41209347187898854
2016-07-04,air_df843e6b22e8d540,0,1,0,0,0,0,0,1.3343954846204693,1.5291748008711092,0.0,0.5646386475995241,1.1987227942670575,1,9.0,1,1,-1.1660094051741237,-1.166009405174124
2016-07-06,air_df843e6b22e8d540,0,0,0,0,0,0,1,0.7849770515010495,0.7198168834518756,0.0,-0.24514601905876737,0.8546998758165915,1,20.0,1,1,-0.06524753215297167,-0.06524753215297201
2016-07-07,air_df843e6b22e8d540,0,0,0,0,1,0,0,1.2876364690358377,1.8693397226849906,0.0,2.103229514250278,1.010065064794221,1,4.0,1,1,-0.13067613385905838,-0.1306761338590587
2016-07-08,air_df843e6b22e8d540,1,0,0,0,0,0,0,1.0421516372165225,1.0599818052657566,0.0,-0.7850024634976283,1.0322600917910256,1,4.0,1,1,1.1712043387245534,1.171204338724553
2016-07-09,air_df843e6b22e8d540,0,0,1,0,0,0,0,0.703148774227944,0.48522038564919906,0.0,-1.3518517301584323,0.8325048488197873,1,23.0,1,1,1.4682353203334355,1.4682353203334353
2016-07-10,air_df843e6b22e8d540,0,0,0,1,0,0,0,1.0772208989049963,1.235929178617764,0.0,1.8063084698089042,0.821407335321385,1,15.0,1,1,-0.2552135291518939,-0.2552135291518942
2016-07-11,air_df843e6b22e8d540,0,1,0,0,0,0,0,1.357774992412785,1.493985326200708,0.0,2.0222510475844486,1.0544551187878297,1,4.0,1,1,-1.2154526098724734,-1.2154526098724736
2016-07-12,air_df843e6b22e8d540,0,0,0,0,0,1,0,1.2525672073473644,1.294578303068433,0.0,0.3486960698239797,1.3096979292510786,1,6.0,1,1,-0.4994555252933653,-0.4994555252933657
2016-07-13,air_df843e6b22e8d540,0,0,0,0,0,0,1,1.018772129424207,0.8019256576828127,0.0,-1.3518517301584323,1.1876252807686551,1,6.0,1,1,-0.42770711546794066,-0.42770711546794105
2016-07-14,air_df843e6b22e8d540,0,0,0,0,1,0,0,1.1122901605934696,1.423606376859905,0.0,-0.2991316635026534,0.9434799838038085,1,4.0,1,1,-0.21357714624802054,-0.21357714624802088
