visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Tōkyō-to Chiyoda-ku Kudanminami,total_area_visitors,total_genre_visitors
2016-07-01,air_00a91d42b08b08d9,1,0,0,0,0,0,0,1.0648538881181198,1.141481464605595,0.0,-0.18748645428141644,1.0095487283969382,1,35.0,1,1,1.3214939850509617,1.3214939850509613
2016-07-02,air_00a91d42b08b08d9,0,0,1,0,0,0,0,1.2271314304449619,1.281103140172187,0.0,0.47605747276877736,1.164051127114274,1,9.0,1,1,1.4730608095695008,1.4730608095695001
2016-07-04,air_00a91d42b08b08d9,0,1,0,0,0,0,0,1.3198614546317289,1.5138059327831732,0.0,0.5291409869327927,1.186122898359608,1,20.0,1,1,-1.1547018155162694,-1.1547018155162698
2016-07-05,air_00a91d42b08b08d9,0,0,0,0,0,1,0,0.6127950202076307,0.5597244830781283,0.0,-1.3553237658897577,0.8109027871889349,1,25.0,1,1,-0.5190639126909135,-0.5190639126909139
2016-07-06,air_00a91d42b08b08d9,0,0,0,0,0,0,1,0.7750725625344731,0.7109812982752693,0.0,-0.2671117255274399,0.8440104440569355,1,29.0,1,1,-0.08104304183350891,-0.0810430418335094
2016-07-07,air_00a91d42b08b08d9,0,0,0,0,1,0,0,1.273496442538345,1.8512249820691047,0.0,2.042021140607235,0.9985128427742712,1,34.0,1,1,-0.14486065215710428,-0.14486065215710475
2016-07-08,air_00a91d42b08b08d9,1,0,0,0,0,0,0,1.030080129048082,1.0484003475612003,0.0,-0.7979468671675949,1.020584614019605,1,42.0,1,1,1.1249647532589806,1.1249647532589802
2016-07-09,air_00a91d42b08b08d9,0,0,1,0,0,0,0,0.6939337913710517,0.4782785056642826,0.0,-1.3553237658897577,0.8219386728116019,1,11.0,1,1,1.4146822001257573,1.4146822001257566
2016-07-11,air_00a91d42b08b08d9,0,1,0,0,0,0,0,1.3430439606784206,1.4789005138915257,0.0,1.9623958693612114,1.0426563852649389,1,25.0,1,1,-1.2029276233176227,-1.2029276233176232
2016-07-12,air_00a91d42b08b08d9,0,0,0,0,0,1,0,1.2387226834683078,1.281103140172187,0.0,0.31680693027673074,1.2964817545862763,1,24.0,1,1,-0.5045599103446418,-0.5045599103446422
