visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Shinjuku-ku Nishishinjuku,total_area_visitors,total_genre_visitors
2016-07-01,air_4dea8d17f6f59c56,1,0,0,0,0,0,0,1.134289476832109,1.2097931721145603,0.0,-0.20471913578205,1.0788576308498885,1,39.0,1,1,1.3681417874353337,1.368141787435334
2016-07-02,air_4dea8d17f6f59c56,0,0,1,0,0,0,0,1.2947606625079693,1.3480191821279102,0.0,0.4608611898751498,1.23165592612824,1,12.0,1,1,1.5195256409103683,1.5195256409103688
2016-07-04,air_4dea8d17f6f59c56,0,1,0,0,0,0,0,1.3864584828941753,1.578395865483493,0.0,0.5141076159277256,1.2534842540251478,1,30.0,1,1,-1.1050647565383802,-1.1050647565383798
2016-07-06,air_4dea8d17f6f59c56,0,0,0,0,0,0,1,0.8477337881252156,0.7835963079067305,0.0,-0.28458877486091416,0.9151451716230832,1,38.0,1,1,-0.032702100702069414,-0.03270210070206891
2016-07-07,air_4dea8d17f6f59c56,0,0,0,0,1,0,0,1.340609572701072,1.9124420563490898,0.0,2.0316307584261413,1.0679434669014347,1,31.0,1,1,-0.09644267058629458,-0.09644267058629406
2016-07-08,air_4dea8d17f6f59c56,1,0,0,0,0,0,0,1.0999027941872819,1.1176424987723268,0.0,-0.8170530353866738,1.0897717947983423,1,31.0,1,1,1.1718498051782311,1.1718498051782316
2016-07-09,air_4dea8d17f6f59c56,0,0,1,0,0,0,0,0.7674981952872851,0.5532196245511471,0.0,-1.3761405089387218,0.8933168437261758,1,16.0,1,1,1.4612175059594579,1.4612175059594583
2016-07-11,air_4dea8d17f6f59c56,0,1,0,0,0,0,0,1.4093829379907268,1.543839362980156,0.0,1.9517611193472773,1.1116001226952497,1,19.0,1,1,-1.1532323462804368,-1.1532323462804361
2016-07-12,air_4dea8d17f6f59c56,0,0,0,0,0,1,0,1.3062228900562451,1.3480191821279102,0.0,0.3011219117174217,1.3626258935096847,1,22.0,1,1,-0.4557077008428364,-0.45570770084283585
2016-07-13,air_4dea8d17f6f59c56,0,0,0,0,0,0,1,1.0769783390907304,0.8642281470811851,0.0,-1.3761405089387218,1.242570090076694,1,21.0,1,1,-0.38581037136752133,-0.3858103713675208
2016-07-14,air_4dea8d17f6f59c56,0,0,0,0,1,0,0,1.168676159476936,1.4747263579734808,0.0,-0.3378352009134901,1.0024584832107128,1,30.0,1,1,-0.17720486992823897,-0.17720486992823845
2016-07-15,air_4dea8d17f6f59c56,1,0,0,0,0,0,0,0.7445737401907336,0.4495501170411348,0.0,-1.3761405089387218,0.9697159913653516,1,16.0,1,1,0.9668659270278253,0.9668659270278256
2016-07-16,air_4dea8d17f6f59c56,0,0,1,0,0,0,0,0.962356063607973,0.875746981248964,0.0,-0.9501691005181139,0.8714885158292686,1,21.0,1,1,1.404358020324098,1.4043580203240984
2016-07-18,air_4dea8d17f6f59c56,0,1,0,0,0,0,0,1.489618530828657,1.543839362980156,1.0,0.6206004680328776,1.4062825493034994,1,11.0,1,1,-0.9649079352588624,-0.9649079352588619
