visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Hiroshima-ken Fukuyama-shi Higashisakuramachi,total_area_visitors,total_genre_visitors
2016-07-02,air_c3585b0fba3998d0,0,0,1,0,0,0,0,1.06420095942986,1.153387165353034,0.0,0.5422147305288876,0.9051854017649578,1,24.0,1,1,1.4381811431700682,1.4381811431700682
2016-07-03,air_c3585b0fba3998d0,0,0,0,1,0,0,0,1.1175150348656178,1.1862818662604415,0.0,0.8587613308495199,1.0789909733986147,1,37.0,1,1,-0.4658535718618299,-0.4658535718618299
2016-07-05,air_c3585b0fba3998d0,0,0,0,0,0,1,0,1.2028175555628302,1.2082116668653804,0.0,1.25444458125031,1.242572687877351,1,4.0,1,1,-0.56618113396832,-0.56618113396832
2016-07-07,air_c3585b0fba3998d0,0,0,0,0,1,0,0,1.085526589604163,1.05470306263081,0.0,1.7820222484513633,1.017647830469089,1,3.0,1,1,-0.1896791554450553,-0.1896791554450553
2016-07-08,air_c3585b0fba3998d0,1,0,0,0,0,0,0,0.6696768012052512,0.36391434357524577,0.0,-1.4625804048351152,0.8540661159903528,1,16.0,1,1,1.0879467445437754,1.0879467445437754
2016-07-09,air_c3585b0fba3998d0,0,0,1,0,0,0,0,0.7336536917281609,0.6599666517419162,0.0,0.2520470135683083,0.8642899731452739,1,18.0,1,1,1.3794439159004503,1.3794439159004503
2016-07-10,air_c3585b0fba3998d0,0,0,0,1,0,0,0,1.0002240689069504,0.8354050565814248,0.0,0.7796246807693616,1.058543259088773,1,9.0,1,1,-0.3118963674656887,-0.3118963674656887
2016-07-11,air_c3585b0fba3998d0,0,1,0,0,0,0,0,0.9575728085583441,0.8682997574888327,0.0,-1.3570648713949045,1.068767116243694,1,5.0,1,1,-1.254245796269558,-1.254245796269558
2016-07-12,air_c3585b0fba3998d0,0,0,0,0,0,1,0,1.106852219778466,1.0327732620258718,0.0,-0.3810461870729559,1.140334116328141,1,2.0,1,1,-0.5515880340255579,-0.5515880340255579
2016-07-14,air_c3585b0fba3998d0,0,0,0,0,1,0,0,0.9682356236454955,0.9231242590011791,0.0,0.6477302639690983,1.058543259088773,1,3.0,1,1,-0.27103568762595454,-0.27103568762595454
2016-07-15,air_c3585b0fba3998d0,1,0,0,0,0,0,0,0.7123280615538577,0.6161070505320392,0.0,-0.8294872041938512,0.7620514015960638,1,3.0,1,1,0.8814543803536902,0.8814543803536902
2016-07-16,air_c3585b0fba3998d0,0,0,1,0,0,0,0,0.7229908766410091,0.6599666517419162,0.0,-0.09087847011237639,0.5984696871173275,1,21.0,1,1,1.3221659986251086,1.3221659986251086
2016-07-17,air_c3585b0fba3998d0,0,0,0,1,0,0,0,0.8722702878611315,0.8354050565814248,0.0,-0.06449958675232381,1.0278716876240097,1,8.0,1,1,0.4210420771595428,0.4210420771595428
2016-07-18,air_c3585b0fba3998d0,0,1,0,0,0,0,0,0.9895612538197985,0.9669838602110561,1.0,1.4390967647706785,0.8745138303001947,1,8.0,1,1,-1.0645354970136491,-1.0645354970136491
2016-07-19,air_c3585b0fba3998d0,0,0,0,0,0,1,0,1.010886883994102,0.9450540596061175,0.0,1.3335812313304676,0.9767524018494047,1,16.0,1,1,-0.8937962276833314,-0.8937962276833314
2016-07-21,air_c3585b0fba3998d0,0,0,0,0,1,0,0,1.0215496990812534,0.9669838602110561,0.0,0.7532457974093091,1.017647830469089,1,2.0,1,1,-0.21047432286349144,-0.21047432286349144
2016-07-22,air_c3585b0fba3998d0,1,0,0,0,0,0,0,0.9575728085583441,0.8902295580937712,0.0,0.8060035641294142,0.946080830384642,1,20.0,1,1,0.9434750551104296,0.9434750551104296
2016-07-23,air_c3585b0fba3998d0,0,0,1,0,0,0,0,1.010886883994102,1.1314573647480952,0.0,1.623748948291047,0.894961544610037,1,14.0,1,1,1.2510246364041429,1.2510246364041429
2016-07-25,air_c3585b0fba3998d0,0,1,0,0,0,0,0,1.0215496990812534,0.9121593586987097,0.0,-1.251549337954694,1.191453402102746,1,8.0,1,1,-1.1137872093204717,-1.1137872093204717
2016-07-26,air_c3585b0fba3998d0,0,0,0,0,0,1,0,1.06420095942986,1.0218083617234024,0.0,-0.17001512019253437,1.0278716876240097,1,2.0,1,1,-0.4020087596122453,-0.4020087596122453
2016-07-28,air_c3585b0fba3998d0,0,0,0,0,1,0,0,1.1281778499527693,1.263036168377727,0.0,1.148929047810099,1.0278716876240097,1,5.0,1,1,0.015353898750753627,0.015353898750753627
2016-07-29,air_c3585b0fba3998d0,1,0,0,0,0,0,0,1.1708291103013757,1.2082116668653804,0.0,1.4918545314907836,1.119886402018299,1,9.0,1,1,1.1835315491688678,1.1835315491688678
2016-07-30,air_c3585b0fba3998d0,0,0,1,0,0,0,0,1.1708291103013757,1.1204924644456258,0.0,1.3072023479704151,1.13011025917322,1,15.0,1,1,1.298817038716689,1.298817038716689
2016-07-31,air_c3585b0fba3998d0,0,0,0,1,0,0,0,1.1495034801270723,1.175316965957972,0.0,0.7004880306892035,1.191453402102746,1,12.0,1,1,-0.44359909444911755,-0.44359909444911755
2016-08-01,air_c3585b0fba3998d0,0,1,0,0,0,0,0,1.181491925388527,1.2191765671678492,0.0,1.4918545314907836,1.058543259088773,1,3.0,1,1,-1.1670520241115536,-1.1670520241115536
2016-08-02,air_c3585b0fba3998d0,0,0,0,0,0,1,0,1.032212514168405,1.0656679629332795,0.0,0.7796246807693616,1.089214830553536,1,5.0,1,1,-0.8204659004709514,-0.8204659004709514
2016-08-04,air_c3585b0fba3998d0,0,0,0,0,1,0,0,1.1921547404756787,1.2520712680752575,0.0,1.1225501644500466,1.119886402018299,1,6.0,1,1,-0.25644258768319234,-0.25644258768319234
2016-08-05,air_c3585b0fba3998d0,1,0,0,0,0,0,0,1.2241431857371337,1.328825570192542,0.0,1.4918545314907836,1.13011025917322,1,10.0,1,1,0.7756544057686643,0.7756544057686643
2016-08-06,air_c3585b0fba3998d0,0,0,1,0,0,0,0,1.2881200762600429,1.5042639750320506,0.0,1.5709911815709419,1.160781830637983,1,9.0,1,1,0.5377868767016404,0.5377868767016404
2016-08-07,air_c3585b0fba3998d0,0,0,0,1,0,0,0,1.2667944460857397,1.2520712680752575,0.0,1.0961712810899935,1.2221249735675093,1,12.0,1,1,-0.6373224961892858,-0.6373224961892858
2016-08-08,air_c3585b0fba3998d0,0,1,0,0,0,0,0,1.234806000824285,1.2191765671678492,0.0,0.7532457974093091,1.160781830637983,1,16.0,1,1,-1.148810649183101,-1.148810649183101
