visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-07-01,air_049f6d5b402a31b2,1,0,0,0,0,0,0,1.114220642722773,1.232449648609321,0.0,0.5750897064579542,0.9563797932526497,1,14.0,1,1,1.316267132685688,1.316267132685688
2016-07-02,air_049f6d5b402a31b2,0,0,1,0,0,0,0,1.4018687555971736,1.2877929013241773,0.0,0.02209003429753856,1.4921810182810178,1,19.0,1,1,1.4716188033561037,1.4716188033561037
2016-07-04,air_049f6d5b402a31b2,0,1,0,0,0,0,0,1.4478924536570776,1.4648913100117178,0.0,0.44342311784833144,1.4252058651524715,1,2.0,1,1,-1.22176291278864,-1.22176291278864
2016-07-05,air_049f6d5b402a31b2,0,0,0,0,0,1,0,1.4133746801121494,1.4538226594687462,0.0,1.3914225558376154,1.2912555588953796,1,11.0,1,1,-0.5702521982306524,-0.5702521982306524
2016-07-06,air_049f6d5b402a31b2,0,0,0,0,0,0,1,1.3443391330222936,1.3542048045820052,0.0,1.6810890507787855,1.2912555588953796,1,12.0,1,1,-0.1212933030874414,-0.1212933030874414
2016-07-07,air_049f6d5b402a31b2,0,0,0,0,1,0,0,1.1487384162677012,1.110694492636638,0.0,0.6277563419018034,1.1796303036811364,1,6.0,1,1,-0.18670453284340593,-0.18670453284340593
2016-07-08,air_049f6d5b402a31b2,1,0,0,0,0,0,0,0.7805488317884681,0.6015365676599599,0.0,-1.3999091226863878,0.8894046401241036,1,15.0,1,1,1.1148302774144792,1.1148302774144792
2016-07-09,air_049f6d5b402a31b2,0,0,1,0,0,0,0,0.9301258504831565,0.8671841806912699,0.0,-0.10957655431208424,0.9675423187740742,1,17.0,1,1,1.411782394317977,1.411782394317977
2016-07-11,air_049f6d5b402a31b2,0,1,0,0,0,0,0,1.0451850956329167,0.8339782290623561,0.0,-1.320909169520614,1.190792829202561,1,20.0,1,1,-1.271192989820136,-1.271192989820136
2016-07-12,air_049f6d5b402a31b2,0,0,0,0,0,1,0,1.1717502652976532,1.2435182991522926,0.0,-0.6099095910286509,1.190792829202561,1,10.0,1,1,-0.5553860096497514,-0.5553860096497514
2016-07-13,air_049f6d5b402a31b2,0,0,0,0,0,0,1,1.0451850956329167,0.8561155301482984,0.0,-1.3735758049644633,1.101492625031166,1,4.0,1,1,-0.483656649746904,-0.483656649746904
2016-07-14,air_049f6d5b402a31b2,0,0,0,0,1,0,0,1.137232491752725,1.1217631431796085,0.0,1.1017560608964454,1.1573052526382879,1,11.0,1,1,-0.26958353418192915,-0.26958353418192915
