visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Shizuoka-ken Hamamatsu-shi Motoshirochō,total_area_visitors,total_genre_visitors
2016-07-01,air_bebd55ed63ab2422,1,0,0,0,0,0,0,1.0282303697151776,1.1738597535206303,0.0,1.3992706820855985,0.9959545839969074,1,2.0,1,1,1.2943117568460005,1.2943117568460003
2016-07-02,air_bebd55ed63ab2422,0,0,1,0,0,0,0,1.0396744359674144,1.0256413175094408,0.0,0.4968504578953841,1.0068137415632237,1,3.0,1,1,1.4423367730939691,1.4423367730939691
2016-07-03,air_bebd55ed63ab2422,0,0,0,1,0,0,0,1.2456676285076742,1.1624583353659237,0.0,0.6515510677565641,1.1697011050579638,1,6.0,1,1,-0.4058511690068656,-0.4058511690068659
2016-07-06,air_bebd55ed63ab2422,0,0,0,0,0,0,1,0.8680134421838646,0.9002257178076645,0.0,0.5484173278491109,0.8113489053695353,1,3.0,1,1,-0.0754508336974042,-0.07545083369740453
2016-07-07,air_bebd55ed63ab2422,0,0,0,0,1,0,0,1.348664224777804,1.6527193160183211,0.0,1.708671901807958,1.1588419474916476,1,13.0,1,1,-0.1377771563281279,-0.13777715632812823
2016-07-08,air_bebd55ed63ab2422,1,0,0,0,0,0,0,0.9252337734450479,0.6721973547135262,0.0,-1.4884740353230874,1.1262644747926995,1,4.0,1,1,1.1023750132900219,1.1023750132900216
2016-07-09,air_bebd55ed63ab2422,0,0,1,0,0,0,0,0.6276880508868946,0.40996473715526704,0.0,-1.6173912102074037,0.6701798570074271,1,17.0,1,1,1.3853223529601821,1.3853223529601821
2016-07-10,air_bebd55ed63ab2422,0,0,0,1,0,0,0,0.9824541047062311,1.094049826437682,0.0,0.4195001529647946,0.8439263780684835,1,18.0,1,1,-0.25640964542638034,-0.25640964542638073
2016-07-11,air_bebd55ed63ab2422,0,1,0,0,0,0,0,1.1998913634987274,1.4588952073883033,0.0,1.605538161900505,0.9742362688642755,1,4.0,1,1,-1.1711192553988763,-1.1711192553988767
2016-07-12,air_bebd55ed63ab2422,0,0,0,0,0,1,0,1.0854507009763608,1.0256413175094408,0.0,-1.5658243402536771,1.1045461596600676,1,7.0,1,1,-0.48907097479220685,-0.48907097479220724
2016-07-13,air_bebd55ed63ab2422,0,0,0,0,0,0,1,1.1426710322375442,1.0826484082829753,0.0,-1.1532893806238649,1.2348560504558597,1,2.0,1,1,-0.42072449599828826,-0.42072449599828865
2016-07-14,air_bebd55ed63ab2422,0,0,0,0,1,0,0,1.3028879597688576,1.4816980436977174,0.0,1.347703812131872,1.223996892889544,1,6.0,1,1,-0.21674744011591984,-0.21674744011592018
