visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Toshima-ku Minamiikebukuro,total_area_visitors,total_genre_visitors
2016-07-01,air_09661c0f3259cc04,1,0,0,0,0,0,0,1.0609995575630262,1.1332450860028775,0.0,-0.17859051865267553,1.0100553451369234,1,52.0,1,1,1.4195945706967044,1.4195945706967044
2016-07-02,air_09661c0f3259cc04,0,0,1,0,0,0,0,1.2227189336657793,1.2719613981866649,0.0,0.4894111016274733,1.1644479034921191,1,45.0,1,1,1.581673358968703,1.581673358968703
2016-07-03,air_09661c0f3259cc04,0,0,0,1,0,0,0,1.4768493818272483,1.6881103347380262,0.0,0.6764515553059148,1.2967843820822875,1,4.0,1,1,-0.44198500464747176,-0.4419850046474717
2016-07-04,air_09661c0f3259cc04,0,1,0,0,0,0,0,1.3151300057244955,1.5031552518263098,0.0,0.5428512312498851,1.1865039832571476,1,26.0,1,1,-1.2283385515747762,-1.2283385515747762
2016-07-05,air_09661c0f3259cc04,0,0,0,0,0,1,0,0.610495581276785,0.5552604519037642,0.0,-1.3542733703457377,0.8115506272516713,1,38.0,1,1,-0.5486157864053656,-0.5486157864053656
2016-07-06,air_09661c0f3259cc04,0,0,0,0,0,0,1,0.7722149573795385,0.7055364567695334,0.0,-0.2587507130862936,0.8446347468992134,1,23.0,1,1,-0.08021584326523548,-0.08021584326523543
2016-07-07,air_09661c0f3259cc04,0,0,0,0,1,0,0,1.2689244696951372,1.8383863396037963,0.0,2.065894925488625,0.9990273052544092,1,37.0,1,1,-0.14845954359028754,-0.14845954359028748
2016-07-08,air_09661c0f3259cc04,1,0,0,0,0,0,0,1.0263454055410077,1.0407675445470195,0.0,-0.7931520093104125,1.0210833850194376,1,50.0,1,1,1.209434993559328,1.209434993559328
2016-07-09,air_09661c0f3259cc04,0,0,1,0,0,0,0,0.6913552693281615,0.47434260312988796,0.0,-1.3542733703457377,0.8225786671341855,1,33.0,1,1,1.5192458831031725,1.5192458831031725
2016-07-10,air_09661c0f3259cc04,0,0,0,1,0,0,0,1.0609995575630262,1.2141629347767535,0.0,1.7719742125653588,0.8115506272516713,1,18.0,1,1,-0.2783552231862673,-0.27835522318626726
2016-07-11,air_09661c0f3259cc04,0,1,0,0,0,0,0,1.3382327737391744,1.4684761737803633,0.0,1.9857347310550066,1.0431394647844654,1,25.0,1,1,-1.2799090751158668,-1.2799090751158666
2016-07-12,air_09661c0f3259cc04,0,0,0,0,0,1,0,1.234270317673119,1.2719613981866649,0.0,0.32909071276023744,1.2967843820822875,1,49.0,1,1,-0.5331058545133083,-0.5331058545133083
2016-07-13,air_09661c0f3259cc04,0,0,0,0,0,0,1,1.0032426375263286,0.7864543055434096,0.0,-1.3542733703457377,1.1754759433746333,1,30.0,1,1,-0.4582704331341319,-0.45827043313413185
2016-07-14,air_09661c0f3259cc04,0,0,0,0,1,0,0,1.0956537095850445,1.3991180176884694,0.0,-0.31219084270870545,0.9328590659593254,1,31.0,1,1,-0.23492741388850694,-0.23492741388850688
2016-07-15,air_09661c0f3259cc04,1,0,0,0,0,0,0,0.6682525013134826,0.37030536899204775,0.0,-1.3542733703457377,0.8997749463117833,1,45.0,1,1,0.9899694572867175,0.9899694572867175
2016-07-16,air_09661c0f3259cc04,0,0,1,0,0,0,0,0.8877287974529335,0.7980139982253917,0.0,-0.9267523333664424,0.8005225873691575,1,36.0,1,1,1.4583694004268477,1.4583694004268477
2016-07-17,air_09661c0f3259cc04,0,0,0,1,0,0,0,1.0956537095850445,0.9251706177271968,0.0,-1.3275533055345319,1.1865039832571476,1,26.0,1,1,0.50063110609231,0.50063110609231
