visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Hyōgo-ken Himeji-shi Yasuda,total_area_visitors,total_genre_visitors
2016-07-01,air_5d7c744c3a2ef624,1,0,0,0,0,0,0,0.9535104765715171,0.8930418692051374,0.0,0.3404190146808467,0.963900471163204,1,47.0,1,1,1.4026105794460904,1.4026105794460906
2016-07-02,air_5d7c744c3a2ef624,0,0,1,0,0,0,0,1.1628026405704297,1.1710868043820628,0.0,1.039829628407034,1.0956802448267167,1,33.0,1,1,1.5598789562005049,1.5598789562005053
2016-07-03,air_5d7c744c3a2ef624,0,0,0,1,0,0,0,1.2779133307698316,1.2566390921288089,0.0,0.5922068356222743,1.359239792153742,1,17.0,1,1,-0.4037183124150205,-0.4037183124150203
2016-07-04,air_5d7c744c3a2ef624,0,1,0,0,0,0,0,1.183731856970321,1.1710868043820628,0.0,0.060654769190371674,1.2680076411559253,1,27.0,1,1,-1.1667333077689743,-1.1667333077689743
2016-07-05,air_5d7c744c3a2ef624,0,0,0,0,0,1,0,1.3197717635696142,1.3742734877805851,0.0,1.1517353266032242,1.2680076411559253,1,19.0,1,1,-0.5071843497534511,-0.507184349753451
2016-07-06,air_5d7c744c3a2ef624,0,0,0,0,0,0,1,1.267448722569886,1.1603927684137194,0.0,1.0957824775051295,1.4099243204858622,1,18.0,1,1,-0.052686265735908525,-0.05268626573590836
2016-07-07,air_5d7c744c3a2ef624,0,0,0,0,1,0,0,1.2988425471697227,1.2673331280971523,0.0,1.4594759966427466,1.2781445468223496,1,20.0,1,1,-0.11890452963250413,-0.11890452963250397
2016-07-08,air_5d7c744c3a2ef624,1,0,0,0,0,0,0,0.8907228273718432,0.6149969340282123,0.0,-1.5060250055562883,1.0652695278274444,1,54.0,1,1,1.198688425855438,1.1986884258554382
2016-07-09,air_5d7c744c3a2ef624,0,0,1,0,0,0,0,0.8279351781721692,0.7433253656483316,0.0,-1.3101900337129557,1.0145849994953242,1,55.0,1,1,1.499304294340551,1.4993042943405512
2016-07-10,air_5d7c744c3a2ef624,0,0,0,1,0,0,0,1.120944207770647,1.0534524087302866,0.0,0.955900354759892,1.1058171504931409,1,19.0,1,1,-0.24494497511750146,-0.2449449751175013
2016-07-11,air_5d7c744c3a2ef624,0,1,0,0,0,0,0,1.1628026405704297,1.1496987324453765,0.0,-0.21910947630010333,1.2071862071573813,1,16.0,1,1,-1.2167732458271971,-1.2167732458271971
2016-07-12,air_5d7c744c3a2ef624,0,0,0,0,0,1,0,1.1314088159705928,0.9251239771101674,0.0,-1.3101900337129557,1.2984183581551976,1,14.0,1,1,-0.49213474432240667,-0.4921347443224065
2016-07-13,air_5d7c744c3a2ef624,0,0,0,0,0,0,1,1.068621166770919,0.7326313296799882,0.0,-1.3381664582620034,1.2882814524887738,1,14.0,1,1,-0.41952039811761715,-0.419520398117617
2016-07-14,air_5d7c744c3a2ef624,0,0,0,0,1,0,0,0.9849043011713537,1.106922588572003,0.0,0.22851331648465684,1.1058171504931409,1,6.0,1,1,-0.20280607991057698,-0.2028060799105768
2016-07-15,air_5d7c744c3a2ef624,1,0,0,0,0,0,0,0.7965413535723326,0.8074895814583914,0.0,-0.44292087269248326,0.8828052258318119,1,46.0,1,1,0.985736509006159,0.9857365090061592
2016-07-16,air_5d7c744c3a2ef624,0,0,1,0,0,0,0,0.9325812601716256,0.8716537972684509,0.0,-0.16315662720200827,0.761162357834723,1,48.0,1,1,1.4402345930237015,1.4402345930237017
2016-07-17,air_5d7c744c3a2ef624,0,0,0,1,0,0,0,1.0581565585709733,0.9037359051734808,0.0,-0.7226851181829583,1.1869123958245333,1,34.0,1,1,0.5109214576567064,0.5109214576567066
2016-07-18,air_5d7c744c3a2ef624,0,1,0,0,0,0,0,1.1628026405704297,1.106922588572003,1.0,1.2916174493484618,1.126090961825989,1,26.0,1,1,-1.0211283752236193,-1.021128375223619
2016-07-19,air_5d7c744c3a2ef624,0,0,0,0,0,1,0,1.1628026405704297,1.1817808403504062,0.0,1.6273345439370317,1.0956802448267167,1,35.0,1,1,-0.8450479916803991,-0.845047991680399
2016-07-20,air_5d7c744c3a2ef624,0,0,0,0,0,0,1,1.1418734241705382,1.1496987324453765,0.0,2.1868630349179816,1.0449957164945964,1,10.0,1,1,-0.3619556573438721,-0.361955657343872
2016-07-21,air_5d7c744c3a2ef624,0,0,0,0,1,0,0,1.120944207770647,1.1496987324453765,0.0,0.8719710811127492,1.0449957164945964,1,9.0,1,1,-0.14035021737174247,-0.14035021737174233
2016-07-22,air_5d7c744c3a2ef624,1,0,0,0,0,0,0,1.1418734241705382,1.1710868043820628,0.0,1.7392402421332216,1.0247219051617484,1,52.0,1,1,1.049697332088098,1.0496973320880982
2016-07-23,air_5d7c744c3a2ef624,0,0,1,0,0,0,0,1.1418734241705382,1.1603927684137194,0.0,0.8999475056617967,1.146364773158837,1,50.0,1,1,1.3668677665473599,1.36686776654736
2016-07-24,air_5d7c744c3a2ef624,0,0,0,1,0,0,0,1.0790857749708647,0.9679001209835407,0.0,-0.16315662720200827,1.1362278674924131,1,49.0,1,1,-0.42591648042581104,-0.4259164804258109
2016-07-25,air_5d7c744c3a2ef624,0,1,0,0,0,0,0,0.9849043011713537,0.7005492217749586,0.0,-1.5060250055562883,1.2173231128238051,1,25.0,1,1,-1.0719207935533943,-1.0719207935533943
2016-07-26,air_5d7c744c3a2ef624,0,0,0,0,0,1,0,0.9849043011713537,0.8609597613001079,0.0,-1.3941193073600981,1.1767754901581091,1,15.0,1,1,-0.337876288654201,-0.33787628865420083
2016-07-27,air_5d7c744c3a2ef624,0,0,0,0,0,0,1,1.1628026405704297,1.06414644469863,0.0,0.11660761828846673,1.2680076411559253,1,9.0,1,1,-0.13357789492777247,-0.1335778949277723
2016-07-28,air_5d7c744c3a2ef624,0,0,0,0,1,0,0,1.2151256815701579,1.1817808403504062,0.0,1.4314995720936994,1.166638584491685,1,23.0,1,1,0.09254242667367048,0.09254242667367066
2016-07-29,air_5d7c744c3a2ef624,1,0,0,0,0,0,0,1.204661073370212,1.1496987324453765,0.0,0.31244259013179926,1.2173231128238051,1,51.0,1,1,1.2972633414287793,1.2972633414287795
2016-07-30,air_5d7c744c3a2ef624,0,0,1,0,0,0,0,1.2569841143699403,1.1924748763187498,0.0,1.3195938738975093,1.1869123958245333,1,42.0,1,1,1.4161552243340305,1.4161552243340307
2016-07-31,air_5d7c744c3a2ef624,0,0,0,1,0,0,0,1.2569841143699403,1.2673331280971523,0.0,0.8719710811127492,1.2173231128238051,1,14.0,1,1,-0.38076766413267765,-0.38076766413267754
2016-08-01,air_5d7c744c3a2ef624,0,1,0,0,0,0,0,1.3197717635696142,1.2994152360021824,0.0,0.8999475056617967,1.2680076411559253,1,13.0,1,1,-1.1268518533767067,-1.1268518533767065
2016-08-02,air_5d7c744c3a2ef624,0,0,0,0,0,1,0,1.267448722569886,1.2566390921288089,0.0,0.20053689193560917,1.2173231128238051,1,17.0,1,1,-0.7694237243894008,-0.7694237243894007
2016-08-03,air_5d7c744c3a2ef624,0,0,0,0,0,0,1,1.267448722569886,1.3635794518122417,0.0,0.7041125338184644,1.1362278674924131,1,31.0,1,1,-0.3160543607791865,-0.31605436077918636
2016-08-04,air_5d7c744c3a2ef624,0,0,0,0,1,0,0,1.382559412769288,1.3742734877805851,0.0,1.8511459403294117,1.2781445468223496,1,36.0,1,1,-0.18775647447953253,-0.18775647447953236
2016-08-05,air_5d7c744c3a2ef624,1,0,0,0,0,0,0,1.403488629169179,1.4491317395589882,0.0,1.4314995720936994,1.338965980820894,1,42.0,1,1,0.8766268696310867,0.8766268696310868
2016-08-06,air_5d7c744c3a2ef624,0,0,1,0,0,0,0,1.4139532373691248,1.4598257755273318,0.0,1.7392402421332216,1.338965980820894,1,49.0,1,1,0.631318301105062,0.6313183011050623
2016-08-07,air_5d7c744c3a2ef624,0,0,0,1,0,0,0,1.4139532373691248,1.481213847464018,0.0,1.8231695157803645,1.3085552638216218,1,24.0,1,1,-0.5805511762297928,-0.5805511762297927
2016-08-08,air_5d7c744c3a2ef624,0,1,0,0,0,0,0,1.4348824537690161,1.5774601711791072,0.0,1.7112638175841743,1.0956802448267167,1,17.0,1,1,-1.1080398465879011,-1.108039846587901
2016-08-09,air_5d7c744c3a2ef624,0,0,0,0,0,1,0,1.3616301963693966,1.4277436676223014,0.0,0.9838767793089394,1.2477338298230773,1,18.0,1,1,-0.2652619424494115,-0.2652619424494113
2016-08-10,air_5d7c744c3a2ef624,0,0,0,0,0,0,1,1.2465195061699945,1.3742734877805851,0.0,1.7112638175841743,1.0754064334938687,1,62.0,1,1,0.7517151445534177,0.7517151445534179
2016-08-11,air_5d7c744c3a2ef624,0,0,0,0,1,0,0,1.2779133307698316,1.417049631653958,1.0,2.046980912172744,1.0551326221610207,1,19.0,1,1,0.43717839104458855,0.4371783910445887
2016-08-12,air_5d7c744c3a2ef624,1,0,0,0,0,0,0,1.3093071553696685,1.417049631653958,0.0,2.1029337612708394,1.1565016788252611,1,56.0,1,1,-0.0011413671345812603,-0.001141367134581091
2016-08-13,air_5d7c744c3a2ef624,0,0,1,0,0,0,0,1.3511655881694509,1.4598257755273318,1.0,0.6201832601713216,1.2882814524887738,1,51.0,1,1,0.16703797355734054,0.1670379735573407
2016-08-14,air_5d7c744c3a2ef624,0,0,0,1,0,0,0,1.2988425471697227,1.4384377035906448,1.0,0.5082775619751319,1.359239792153742,1,43.0,1,1,-0.8830482453937865,-0.8830482453937862
2016-08-15,air_5d7c744c3a2ef624,0,1,0,0,0,0,0,1.3511655881694509,1.4063555956856153,1.0,0.08863119373941933,1.3288290751544698,1,27.0,1,1,-1.4158042776527602,-1.41580427765276
