visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Ōsaka-fu Higashiōsaka-shi Aramotokita,total_area_visitors,total_genre_visitors
2016-07-01,air_33b01025210d6007,1,0,0,0,0,0,0,1.0617652893541618,1.0883482007382623,0.0,0.8333031442272668,1.0323219580538616,1,24.0,1,1,1.310798037689401,1.3107980376894006
2016-07-02,air_33b01025210d6007,0,0,1,0,0,0,0,1.2844683281968499,1.2788669857009487,0.0,1.888610203298033,1.2333040940324256,1,12.0,1,1,1.4704053770385515,1.470405377038551
2016-07-04,air_33b01025210d6007,0,1,0,0,0,0,0,1.2738634215852933,1.3089488991161098,0.0,0.6336504573760408,1.307350144129791,1,7.0,1,1,-1.2967582312468366,-1.2967582312468366
2016-07-05,air_33b01025210d6007,0,0,0,0,0,1,0,1.3693075810893023,1.4794130751353556,0.0,1.4037393923736268,1.286194129816258,1,4.0,1,1,-0.6274001789045867,-0.6274001789045869
2016-07-06,air_33b01025210d6007,0,0,0,0,0,0,1,1.2102339819159535,1.228730463342347,0.0,1.1185212683004466,1.2227260868756589,1,2.0,1,1,-0.1661426049003437,-0.16614260490034397
2016-07-07,air_33b01025210d6007,0,0,0,0,1,0,0,1.231443795139067,1.2588123767575081,0.0,1.032955831078493,1.1909920654053592,1,14.0,1,1,-0.2333456951526175,-0.23334569515261777
2016-07-08,air_33b01025210d6007,1,0,0,0,0,0,0,1.0193456629079356,0.8978294157755758,0.0,-1.3628764111362195,1.0111659437403289,1,13.0,1,1,1.1038430665716032,1.103843066571603
2016-07-09,air_33b01025210d6007,0,0,1,0,0,0,0,0.8284573438999172,0.5268191503219228,0.0,-1.3628764111362195,0.9582759079564963,1,8.0,1,1,1.4089298228873237,1.4089298228873233
2016-07-10,air_33b01025210d6007,0,0,0,1,0,0,0,1.1466045422466145,1.138484723096864,0.0,0.2913887084882247,1.201570072562126,1,7.0,1,1,-0.36126066807597956,-0.36126066807597984
2016-07-11,air_33b01025210d6007,0,1,0,0,0,0,0,1.2102339819159535,1.1986485499271862,0.0,0.2628668960809068,1.2333040940324256,1,18.0,1,1,-1.3475423846761116,-1.3475423846761119
2016-07-12,air_33b01025210d6007,0,0,0,0,0,1,0,1.1784192620812841,1.0582662873231012,0.0,-1.1347019118776756,1.3285061584433238,1,7.0,1,1,-0.6121267493017971,-0.6121267493017973
2016-07-13,air_33b01025210d6007,0,0,0,0,0,0,1,1.1359996356350577,0.8075836755300926,0.0,-1.3628764111362195,1.3390841656000905,1,10.0,1,1,-0.5384324514683378,-0.5384324514683381
2016-07-14,air_33b01025210d6007,0,0,0,0,1,0,0,1.0829751025772747,1.108402809681703,0.0,-0.47870022650936134,1.1381020296215267,1,29.0,1,1,-0.318495065188169,-0.3184950651881692
2016-07-15,air_33b01025210d6007,1,0,0,0,0,0,0,0.7330131843959078,0.4165188011329992,0.0,-1.3343545987289016,0.9159638793294305,1,18.0,1,1,0.8877240376921319,0.8877240376921315
2016-07-16,air_33b01025210d6007,0,0,1,0,0,0,0,1.0193456629079356,1.1184301141534234,0.0,-0.13643847762154537,0.9053858721726638,1,30.0,1,1,1.3489816116963749,1.3489816116963744
2016-07-19,air_33b01025210d6007,0,0,0,0,0,1,0,1.1466045422466145,1.2387577678140675,0.0,1.9741756405199868,1.0852119938376943,1,15.0,1,1,-0.9702886734872109,-0.9702886734872112
2016-07-20,air_33b01025210d6007,0,0,0,0,0,0,1,1.0829751025772747,1.228730463342347,0.0,2.4305246390370754,0.9265418864861967,1,11.0,1,1,-0.48001158323766796,-0.4800115832376682
2016-07-21,air_33b01025210d6007,0,0,0,0,1,0,0,1.0617652893541618,1.1485120275685845,0.0,0.9188685814492208,0.9371198936429633,1,4.0,1,1,-0.2551103323365925,-0.2551103323365928
2016-07-22,air_33b01025210d6007,1,0,0,0,0,0,0,1.0723701959657184,1.2788669857009487,0.0,1.460783017188263,0.9900099294267959,1,25.0,1,1,0.9526361135039872,0.9526361135039869
2016-07-23,air_33b01025210d6007,0,0,1,0,0,0,0,1.029950569519492,1.1284574186251435,0.0,1.175564893115083,0.9688539151132629,1,11.0,1,1,1.274523642382776,1.2745236423827755
2016-07-24,air_33b01025210d6007,0,0,0,1,0,0,0,0.9981358496848222,0.9981024604927793,0.0,-0.3360911644727713,1.0005879365835622,1,2.0,1,1,-0.5449236590495233,-0.5449236590495236
2016-07-25,air_33b01025210d6007,0,1,0,0,0,0,0,0.9875309430732658,0.9981024604927793,0.0,-1.1632237242849934,1.1275240224647605,1,9.0,1,1,-1.2005356247492627,-1.200535624749263
2016-07-26,air_33b01025210d6007,0,0,0,0,0,1,0,0.9132965967923699,0.6371194995108468,0.0,-1.3628764111362195,1.1381020296215267,1,7.0,1,1,-0.45557409587320474,-0.455574095873205
2016-07-27,air_33b01025210d6007,0,0,0,0,0,0,1,1.1359996356350577,1.1986485499271862,0.0,0.3484323333028607,1.1169460153079938,1,5.0,1,1,-0.24823728901533726,-0.24823728901533754
2016-07-28,air_33b01025210d6007,0,0,0,0,1,0,0,1.1359996356350577,1.2086758543989065,0.0,-1.0491364746557215,1.2227260868756589,1,13.0,1,1,-0.01875400923342501,-0.0187540092334253
