visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri,total_area_visitors,total_genre_visitors
2016-07-01,air_8b4a46dc521bfcfe,1,0,0,0,0,0,0,1.2405549499812492,1.3233185631037603,0.0,2.7929788799330066,1.0189015697490393,1,7.0,1,1,1.4135019313091,1.4135019313091
2016-07-02,air_8b4a46dc521bfcfe,0,0,1,0,0,0,0,1.0777408612907948,1.0502457453614824,0.0,-0.6315346067246186,1.0833069317553425,1,33.0,1,1,1.574310603992776,1.574310603992776
2016-07-03,air_8b4a46dc521bfcfe,0,0,0,1,0,0,0,0.9474895903384313,0.6937340110868422,0.0,-1.009040030450656,0.9786482184950999,1,51.0,1,1,-0.4334895460935972,-0.4334895460935972
2016-07-04,air_8b4a46dc521bfcfe,0,1,0,0,0,0,0,0.5241729597432501,0.5041001098769271,0.0,0.6088403569466472,0.5680640357049167,1,22.0,1,1,-1.2136809054297084,-1.2136809054297084
2016-07-05,air_8b4a46dc521bfcfe,0,0,0,0,0,1,0,0.727690570606318,0.9592214727807232,0.0,1.0942044731658382,0.5197600142001892,1,3.0,1,1,-0.5392847254907523,-0.5392847254907523
2016-07-06,air_8b4a46dc521bfcfe,0,0,0,0,0,0,1,0.8660825459932041,0.9364654046355334,0.0,1.5795685893850289,0.8417868242317055,1,4.0,1,1,-0.07455535562979454,-0.07455535562979454
2016-07-07,air_8b4a46dc521bfcfe,0,0,0,0,1,0,0,0.9312081814693859,1.1716114421358281,0.0,2.8199435530562953,0.616368057209644,1,5.0,1,1,-0.14226427044397383,-0.14226427044397383
2016-07-08,air_8b4a46dc521bfcfe,1,0,0,0,0,0,0,1.0207559302491356,1.209538222377811,0.0,2.3885087830836804,0.7934828027269781,1,38.0,1,1,1.2049892504608888,1.2049892504608888
2016-07-09,air_8b4a46dc521bfcfe,0,0,1,0,0,0,0,1.0533187479872266,1.0350750332646892,0.0,0.42008764508362867,0.9866988887458877,1,31.0,1,1,1.5123723353275322,1.5123723353275322
2016-07-10,air_8b4a46dc521bfcfe,0,0,0,1,0,0,0,0.9312081814693859,0.8075143518127912,0.0,-0.9551106842040793,1.0833069317553425,1,23.0,1,1,-0.27114203443687185,-0.27114203443687185
2016-07-11,air_8b4a46dc521bfcfe,0,1,0,0,0,0,0,0.9067860681658176,0.8757825562483608,0.0,-0.0652764711355624,0.9464455374919482,1,5.0,1,1,-1.2648473012836052,-1.2648473012836052
2016-07-12,air_8b4a46dc521bfcfe,0,0,0,0,0,1,0,1.069600156856272,1.2398796465713975,0.0,1.5256392431384524,1.0108508994982515,1,12.0,1,1,-0.5238963357602571,-0.5238963357602571
2016-07-13,air_8b4a46dc521bfcfe,0,0,0,0,0,0,1,1.1754293145050674,1.2778064268133804,0.0,0.6897343763165126,0.9786482184950999,1,4.0,1,1,-0.4496473553106172,-0.4496473553106172
2016-07-14,air_8b4a46dc521bfcfe,0,0,0,0,1,0,0,1.1591479056360219,1.2171235784262078,0.0,1.2559925119055684,1.204066985517161,1,5.0,1,1,-0.22805454319148505,-0.22805454319148505
2016-07-15,air_8b4a46dc521bfcfe,1,0,0,0,0,0,0,1.0777408612907948,1.156440730039035,0.0,1.1211691462891265,1.0913576020061304,1,31.0,1,1,0.9872435357743805,0.9872435357743805
2016-07-16,air_8b4a46dc521bfcfe,0,0,1,0,0,0,0,1.1591479056360219,1.1488553739906382,0.0,-0.20009983675200432,1.13161095326007,1,25.0,1,1,1.4519729056353383,1.4519729056353383
2016-07-17,air_8b4a46dc521bfcfe,0,0,0,1,0,0,0,1.069600156856272,1.0502457453614824,0.0,-0.0652764711355624,1.1557629640124338,1,27.0,1,1,0.5017398397772541,0.5017398397772541
2016-07-18,air_8b4a46dc521bfcfe,0,1,0,0,0,0,0,1.0370373391181813,0.9212946925387402,1.0,-0.9011813379575024,1.1960163152663734,1,21.0,1,1,-1.0647982347871665,-1.0647982347871665
2016-07-19,air_8b4a46dc521bfcfe,0,0,0,0,0,1,0,0.9556302947729541,0.7847582836676014,0.0,-0.9281460110807909,1.0833069317553425,1,24.0,1,1,-0.8847540749403716,-0.8847540749403716
2016-07-20,air_8b4a46dc521bfcfe,0,0,0,0,0,0,1,1.0777408612907948,1.1488553739906382,0.0,1.633497935631606,0.9625468779935241,1,9.0,1,1,-0.39078676459147277,-0.39078676459147277
2016-07-21,air_8b4a46dc521bfcfe,0,0,0,0,1,0,0,1.1428664967669764,1.2171235784262078,0.0,0.9863457806726847,1.059154921002979,1,1.0,1,1,-0.1641927258099296,-0.1641927258099296
2016-07-22,air_8b4a46dc521bfcfe,1,0,0,0,0,0,0,1.1754293145050674,1.1488553739906382,0.0,1.4177805506452987,1.1879656450155853,1,48.0,1,1,1.0526441921289855,1.0526441921289855
2016-07-23,air_8b4a46dc521bfcfe,0,0,1,0,0,0,0,1.2079921322431582,1.2626357147165874,0.0,1.5526039162617407,1.139661623510858,1,33.0,1,1,1.3769545056991737,1.3769545056991737
2016-07-24,air_8b4a46dc521bfcfe,0,0,0,1,0,0,0,1.2079921322431582,1.3384892752005533,0.0,2.334579436837104,1.1235602830092821,1,36.0,1,1,-0.4561874209460777,-0.4561874209460777
2016-07-25,air_8b4a46dc521bfcfe,0,1,0,0,0,0,0,1.1998514278086356,1.2853917828617771,0.0,1.363851204398722,1.1155096127584943,1,10.0,1,1,-1.1167340501275882,-1.1167340501275882
2016-07-26,air_8b4a46dc521bfcfe,0,0,0,0,0,1,0,1.2079921322431582,1.2929771389101739,0.0,1.4177805506452987,1.1477122937616457,1,16.0,1,1,-0.3661653410226803,-0.3661653410226803
2016-07-27,air_8b4a46dc521bfcfe,0,0,0,0,0,0,1,1.1021629745943626,0.981977540925913,0.0,-1.0360047035739444,1.2523710070218885,1,25.0,1,1,-0.15726795043120673,-0.15726795043120673
2016-07-28,air_8b4a46dc521bfcfe,0,0,0,0,1,0,0,1.2079921322431582,0.981977540925913,0.0,-1.0360047035739444,1.2362696665203128,1,5.0,1,1,0.07394260526948501,0.07394260526948501
2016-07-29,air_8b4a46dc521bfcfe,1,0,0,0,0,0,0,1.3382434031955217,1.0730018135066723,0.0,-1.0360047035739444,1.5260937955486773,1,41.0,1,1,1.3057832031956331,1.3057832031956331
2016-07-30,air_8b4a46dc521bfcfe,0,0,1,0,0,0,0,1.4359318564097943,1.4295135477813126,0.0,-0.7933226454643489,1.5663471468026169,1,25.0,1,1,1.4273514820665458,1.4273514820665458
2016-07-31,air_8b4a46dc521bfcfe,0,0,0,1,0,0,0,1.3952283342371805,1.4143428356845194,0.0,0.5009816644534938,1.4858404442947377,1,12.0,1,1,-0.4100222517545919,-0.4100222517545919
