visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Itabashi-ku Itabashi,total_area_visitors,total_genre_visitors
2016-07-01,air_8ce035ee1d8a56a6,1,0,0,0,0,0,0,1.097469390257687,1.1730679107949944,0.0,-0.15112459569190387,1.0424499215163516,1,32.0,1,1,1.314275218443975,1.3142752184439752
2016-07-02,air_8ce035ee1d8a56a6,0,0,1,0,0,0,0,1.2603306699908596,1.3127864670337706,0.0,0.5080358748791661,1.197910107265997,1,31.0,1,1,1.4670332442161924,1.4670332442161926
2016-07-03,air_8ce035ee1d8a56a6,0,0,0,1,0,0,0,1.516255538142988,1.7319421357500993,0.0,0.6926008066390655,1.3311616950514078,1,29.0,1,1,-0.44024937900199645,-0.4402493790019963
2016-07-04,air_8ce035ee1d8a56a6,0,1,0,0,0,0,0,1.3533942584098155,1.5456507274317306,0.0,0.5607687125248515,1.2201187052302325,1,22.0,1,1,-1.1813816188729462,-1.1813816188729462
2016-07-05,air_8ce035ee1d8a56a6,0,0,0,0,0,1,0,0.643784396715277,0.590907259800093,0.0,-1.311247023896987,0.8425725398382358,1,18.0,1,1,-0.540748080167929,-0.5407480801679289
2016-07-06,air_8ce035ee1d8a56a6,0,0,0,0,0,0,1,0.80664567644845,0.742269029058767,0.0,-0.23022385216043245,0.8758854367845885,1,25.0,1,1,-0.09928469468266894,-0.09928469468266876
2016-07-07,air_8ce035ee1d8a56a6,0,0,0,0,1,0,0,1.3068624642003372,1.883303905008774,0.0,2.063654585426891,1.031345622534234,1,15.0,1,1,-0.16360386342886576,-0.1636038634288656
2016-07-08,air_8ce035ee1d8a56a6,1,0,0,0,0,0,0,1.0625705446005784,1.07992220663581,0.0,-0.7575522286172883,1.0535542204984694,1,29.0,1,1,1.1162014146914825,1.1162014146914827
2016-07-09,air_8ce035ee1d8a56a6,0,0,1,0,0,0,0,0.7252150365818633,0.5094047686608064,0.0,-1.311247023896987,0.8536768388203535,1,30.0,1,1,1.4081958228063192,1.4081958228063196
2016-07-10,air_8ce035ee1d8a56a6,0,0,0,1,0,0,0,1.097469390257687,1.2545704019342805,0.0,1.77362397837562,0.8425725398382358,1,37.0,1,1,-0.28602955394009266,-0.28602955394009255
2016-07-11,air_8ce035ee1d8a56a6,0,1,0,0,0,0,0,1.3766601555145543,1.510721088372037,0.0,1.9845553289583626,1.0757628184627044,1,21.0,1,1,-1.2299864452550153,-1.2299864452550153
2016-07-12,air_8ce035ee1d8a56a6,0,0,0,0,0,1,0,1.2719636185432293,1.3127864670337706,0.0,0.3498373619421092,1.3311616950514078,1,16.0,1,1,-0.526130087271066,-0.5261300872710659
2016-07-13,air_8ce035ee1d8a56a6,0,0,0,0,0,0,1,1.0393046474958396,0.8237715201980534,0.0,-1.311247023896987,1.2090144062481147,1,26.0,1,1,-0.4555982715437025,-0.45559827154370236
2016-07-14,air_8ce035ee1d8a56a6,0,0,0,0,1,0,0,1.132368235914795,1.4408618102526487,0.0,-0.282956689806118,0.9647198286415289,1,22.0,1,1,-0.24509917382887653,-0.24509917382887636
2016-07-15,air_8ce035ee1d8a56a6,1,0,0,0,0,0,0,0.7019491394771245,0.40461585148172435,0.0,-1.311247023896987,0.9314069316951762,1,21.0,1,1,0.9093568152008722,0.9093568152008725
2016-07-16,air_8ce035ee1d8a56a6,0,0,1,0,0,0,0,0.9229751619721448,0.8354147332179512,0.0,-0.8893843227315023,0.8314682408561185,1,25.0,1,1,1.3508202006861323,1.3508202006861325
2016-07-18,air_8ce035ee1d8a56a6,0,1,0,0,0,0,0,1.4580907953811406,1.510721088372037,1.0,0.6662343878162228,1.3755788909798778,1,27.0,1,1,-1.0399525375957976,-1.0399525375957974
2016-07-19,air_8ce035ee1d8a56a6,0,0,0,0,0,1,0,1.295229515647968,1.3710025321332602,0.0,0.32347094311926644,1.2312230042123498,1,18.0,1,1,-0.8689220207025015,-0.8689220207025014
2016-07-20,air_8ce035ee1d8a56a6,0,0,0,0,0,0,1,1.1789000301242734,1.0915654196557079,0.0,-0.09839175804621846,1.1868058082838797,1,23.0,1,1,-0.39968444871320186,-0.3996844487132017
2016-07-21,air_8ce035ee1d8a56a6,0,0,0,0,1,0,0,0.6554173452676466,0.4395454905414185,0.0,-1.311247023896987,0.9203026327130585,1,21.0,1,1,-0.18443450330689543,-0.18443450330689526
2016-07-22,air_8ce035ee1d8a56a6,1,0,0,0,0,0,0,0.6088855510581684,0.2532540822230499,0.0,-1.311247023896987,0.8647811378024708,1,26.0,1,1,0.9714832850125396,0.9714832850125399
2016-07-23,air_8ce035ee1d8a56a6,0,0,1,0,0,0,0,0.7252150365818633,0.7655554550985634,0.0,-0.942117160377188,0.7981553439097658,1,34.0,1,1,1.2795574853139255,1.2795574853139258
2016-07-25,air_8ce035ee1d8a56a6,0,1,0,0,0,0,0,0.9927728532863614,0.8587011592577473,0.0,-1.1003156733142447,0.9425112306772939,1,23.0,1,1,-1.08928826362271,-1.0892882636227097
2016-07-26,air_8ce035ee1d8a56a6,0,0,0,0,0,1,0,0.8880763163150363,0.8004850941582571,0.0,-1.2848806050741444,0.9758241276236462,1,22.0,1,1,-0.3762956600782212,-0.376295660078221
2016-07-27,air_8ce035ee1d8a56a6,0,0,0,0,0,0,1,0.9695069561816225,0.7888418811383593,0.0,-1.2321477674284587,1.0868671174448217,1,31.0,1,1,-0.1778564065033071,-0.17785640650330695
2016-07-28,air_8ce035ee1d8a56a6,0,0,0,0,1,0,0,1.2021659272290122,1.2312839758944845,0.0,0.059806754890838476,1.1868058082838797,1,23.0,1,1,0.04177893677205819,0.04177893677205838
2016-07-29,air_8ce035ee1d8a56a6,1,0,0,0,0,0,0,1.2835965670955984,1.3826457451531584,0.0,1.7208911407299348,1.1423886123554092,1,16.0,1,1,1.2119492681659345,1.211949268165935
2016-07-30,air_8ce035ee1d8a56a6,0,0,1,0,0,0,0,1.2835965670955984,1.4408618102526487,0.0,1.5363262089700354,1.0535542204984694,1,18.0,1,1,1.3274314120511517,1.327431412051152
2016-08-01,air_8ce035ee1d8a56a6,0,1,0,0,0,0,0,1.3068624642003372,1.2778568279740763,0.0,-0.8102850662629739,1.3311616950514078,1,15.0,1,1,-1.1426439376962596,-1.1426439376962594
2016-08-02,air_8ce035ee1d8a56a6,0,0,0,0,0,1,0,1.132368235914795,1.0333493545562176,0.0,-0.8630179039086594,1.0979714164269394,1,15.0,1,1,-0.7954666063957653,-0.7954666063957652
2016-08-03,air_8ce035ee1d8a56a6,0,0,0,0,0,0,1,1.2370647728861208,1.3360728930735666,0.0,-0.23022385216043245,1.197910107265997,1,20.0,1,1,-0.35509957037776996,-0.3550995703777698
2016-08-05,air_8ce035ee1d8a56a6,1,0,0,0,0,0,0,1.4580907953811406,1.4990778753521388,0.0,1.5363262089700354,1.3311616950514078,1,22.0,1,1,0.8033763666986161,0.8033763666986163
2016-08-06,air_8ce035ee1d8a56a6,0,0,1,0,0,0,0,1.504622589590619,1.5922235795113235,0.0,1.0089978325131794,1.4644132828368182,1,20.0,1,1,0.5651030824797506,0.5651030824797508
2016-08-08,air_8ce035ee1d8a56a6,0,1,0,0,0,0,0,1.4348248982764018,1.4757914493123432,0.0,-0.09839175804621846,1.4088917879262306,1,13.0,1,1,-1.1243714465751808,-1.1243714465751808
2016-08-09,air_8ce035ee1d8a56a6,0,0,0,0,0,1,0,1.830345149056964,1.9997360352077544,0.0,0.8244329007532795,1.4533089838547004,1,10.0,1,1,-0.3057638443508576,-0.30576384435085746
2016-08-10,air_8ce035ee1d8a56a6,0,0,0,0,0,0,1,1.504622589590619,1.568937153471527,0.0,-0.019292501577689868,1.4866218808010532,1,14.0,1,1,0.6820470256546539,0.6820470256546541
2016-08-15,air_8ce035ee1d8a56a6,0,1,0,0,0,0,0,1.2137988757813818,1.1963543368347902,1.0,-1.1266820921370875,1.3089530970871723,1,16.0,1,1,-1.4233094013160275,-1.4233094013160275
2016-08-16,air_8ce035ee1d8a56a6,0,0,0,0,0,1,0,1.24869772143849,1.464148236292445,0.0,-0.7575522286172883,1.2312230042123498,1,12.0,1,1,-1.3074618076083888,-1.3074618076083888
2016-08-17,air_8ce035ee1d8a56a6,0,0,0,0,0,0,1,1.4580907953811406,1.6038667925312209,0.0,1.3253948583872928,1.153492911337527,1,24.0,1,1,-0.8130081978720007,-0.8130081978720006
2016-08-18,air_8ce035ee1d8a56a6,0,0,0,0,1,0,0,1.24869772143849,1.2895000409939745,0.0,-1.0212164168457163,1.3977874889441129,1,18.0,1,1,-0.5418444296351937,-0.5418444296351935
2016-08-19,air_8ce035ee1d8a56a6,1,0,0,0,0,0,0,1.3301283613050767,1.3710025321332602,0.0,0.5080358748791661,1.3755788909798778,1,13.0,1,1,0.7671968342788803,0.7671968342788806
2016-08-20,air_8ce035ee1d8a56a6,0,0,1,0,0,0,0,1.1091023388100563,1.1032086326756059,0.0,-0.8893843227315023,1.27564020014082,1,8.0,1,1,0.6517146903936634,0.6517146903936636
