visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Ōsaka-fu Ōsaka-shi Ōgimachi,total_area_visitors,total_genre_visitors
2016-07-01,air_6ced51c24fb54262,1,0,0,0,0,0,0,1.0674708804468986,1.0759468993981751,0.0,0.9214964701350626,1.0366421324919646,1,17.0,1,1,1.3579058853872554,1.3579058853872554
2016-07-02,air_6ced51c24fb54262,0,0,1,0,0,0,0,1.2805957807189752,1.3081059786571345,0.0,1.7338718860527929,1.1850712728234556,1,11.0,1,1,1.5170526066942267,1.5170526066942267
2016-07-04,air_6ced51c24fb54262,0,1,0,0,0,0,0,1.3445332508005978,1.3181998516683937,0.0,1.1652090949103817,1.344102494607196,1,6.0,1,1,-1.2421251189316607,-1.2421251189316607
2016-07-05,air_6ced51c24fb54262,0,0,0,0,0,1,0,1.3445332508005978,1.4897956928597982,0.0,1.6255551639304289,1.2804900058936997,1,8.0,1,1,-0.5746987972782619,-0.5746987972782619
2016-07-06,air_6ced51c24fb54262,0,0,0,0,0,0,1,1.2486270456781636,1.1869795025220247,0.0,1.2193674559715637,1.2486837615369515,1,12.0,1,1,-0.11477238737677554,-0.11477238737677554
2016-07-07,air_6ced51c24fb54262,0,0,0,0,1,0,0,1.3125645157597867,1.328293724679653,0.0,1.5443176223386557,1.3016941687981982,1,17.0,1,1,-0.18178153319023713,-0.18178153319023713
2016-07-08,air_6ced51c24fb54262,1,0,0,0,0,0,0,1.0355021454060869,0.8841633121842516,0.0,-1.4885505970875375,0.9836317252307178,1,12.0,1,1,1.151548174984436,1.151548174984436
2016-07-09,air_6ced51c24fb54262,0,0,1,0,0,0,0,0.7477835300387836,0.5611593758239599,0.0,-1.1906796112510365,0.8352025848992272,1,3.0,1,1,1.4557544676262306,1.4557544676262306
2016-07-11,air_6ced51c24fb54262,0,1,0,0,0,0,0,1.227314555650956,1.2273549945670619,0.0,0.05496269315615024,1.2698879244414503,1,17.0,1,1,-1.292762712074788,-1.292762712074788
2016-07-12,air_6ced51c24fb54262,0,0,0,0,0,1,0,1.174033330582937,0.9951959153081017,0.0,-1.2448379723122183,1.2804900058936997,1,3.0,1,1,-0.5594694459570206,-0.5594694459570206
