visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Edogawa-ku Chūō,total_area_visitors,total_genre_visitors
2016-07-01,air_1ba4e87ef7422183,1,0,0,0,0,0,0,1.070905867009777,1.16271516418256,0.0,0.929074418352004,1.0322358605795026,1,46.0,1,1,1.4204897966994368,1.420489796699437
2016-07-02,air_1ba4e87ef7422183,0,0,1,0,0,0,0,0.9882451153881752,0.8393150141801204,0.0,0.34581552186646985,1.0543876572940662,1,23.0,1,1,1.5823382956967906,1.5823382956967906
2016-07-03,air_1ba4e87ef7422183,0,0,0,1,0,0,0,1.106331903419035,1.2824929975167967,0.0,0.8276380885284331,1.1319189457950396,1,19.0,1,1,-0.43844475757399726,-0.43844475757399737
2016-07-04,air_1ba4e87ef7422183,0,1,0,0,0,0,0,1.366122837086927,1.5819375808523886,0.0,0.9797925832637898,1.2759056244397042,1,26.0,1,1,-1.2236810158673788,-1.2236810158673788
2016-07-05,air_1ba4e87ef7422183,0,0,0,0,0,1,0,0.6103673936894232,0.5997593475116467,0.0,-1.4039611675901333,0.7664143000047369,1,26.0,1,1,-0.544924033230151,-0.5449240332301512
2016-07-06,air_1ba4e87ef7422183,0,0,0,0,0,0,1,0.7284541817202831,0.623714914178494,0.0,-0.2628024570749574,0.7774901983620189,1,43.0,1,1,-0.0771896150751191,-0.07718961507511916
2016-07-07,air_1ba4e87ef7422183,0,0,0,0,1,0,0,1.1417579398282927,1.4621597475181516,0.0,1.5376923972934313,1.0100840638649389,1,31.0,1,1,-0.14533635149505753,-0.1453363514950576
2016-07-08,air_1ba4e87ef7422183,1,0,0,0,0,0,0,0.941010400175831,0.9471150641809335,0.0,-0.7953431886487062,0.9436286737212474,1,124.0,1,1,1.2106288243153083,1.2106288243153083
2016-07-09,air_1ba4e87ef7422183,0,0,1,0,0,0,0,0.7284541817202831,0.49195929751083334,0.0,-1.4039611675901333,0.8439455885057104,1,62.0,1,1,1.5199995197671878,1.5199995197671878
2016-07-10,air_1ba4e87ef7422183,0,0,0,1,0,0,0,1.0236711517974328,1.16271516418256,0.0,1.4108969850139672,0.8328696901484284,1,52.0,1,1,-0.27504746911255396,-0.27504746911255407
