visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Itabashi-ku Itabashi,total_area_visitors,total_genre_visitors
2016-01-06,air_f0c7272956e62f12,0,0,0,0,0,0,1,-0.7624790065455122,-1.019573326656111,0.0,-1.2837614246348752,-0.4929173038344245,1,9.0,1,1,-1.3104646305124206,-1.3104646305124203
2016-01-07,air_f0c7272956e62f12,0,0,0,0,1,0,0,-0.7876843502643012,-0.8190694368606652,0.0,-0.11270969630452263,-0.8067854399556832,1,3.0,1,1,-1.2421532893005287,-1.2421532893005287
2016-01-09,air_f0c7272956e62f12,0,0,1,0,0,0,0,-0.9641217562958234,-0.981978847319465,0.0,0.8875636549776537,-1.0120069135734293,1,4.0,1,1,-0.6573781815635658,-0.6573781815635656
2016-01-10,air_f0c7272956e62f12,0,0,0,1,0,0,0,-0.8885057251394567,-0.8190694368606652,0.0,0.9363574769914181,-1.060294319130546,1,1.0,1,1,-0.9393814106690674,-0.9393814106690673
2016-01-12,air_f0c7272956e62f12,0,0,0,0,0,1,0,-1.4556259588122071,-1.6712109684913097,0.0,-1.2837614246348752,-1.2413720899697338,1,4.0,1,1,-1.3494996826335015,-1.3494996826335013
2016-01-13,air_f0c7272956e62f12,0,0,0,0,0,0,1,-1.342201912077657,-1.2200772164515568,0.0,0.8387698329638886,-1.458665414976759,1,4.0,1,1,-1.1483190293940841,-1.1483190293940841
2016-01-14,air_f0c7272956e62f12,0,0,0,0,1,0,0,-1.1279564904679513,-1.0070418335438955,0.0,0.9363574769914181,-1.3258750496946883,1,1.0,1,1,-1.056987016418478,-1.056987016418478
2016-01-15,air_f0c7272956e62f12,1,0,0,0,0,0,0,-1.1783671779055291,-1.0696992991049725,0.0,0.6923883669225946,-1.1085817246876628,1,2.0,1,1,-0.7847425503432466,-0.7847425503432466
2016-01-16,air_f0c7272956e62f12,0,0,1,0,0,0,0,-1.064943131170979,-0.9569158610950341,0.0,0.9363574769914181,-1.132725427466221,1,7.0,1,1,-0.6393620036615284,-0.6393620036615283
2016-01-17,air_f0c7272956e62f12,0,0,0,1,0,0,0,-1.1531618341867402,-1.3579236406859256,0.0,-0.5274571834215224,-1.072366170519825,1,1.0,1,1,-1.2336456497356778,-1.2336456497356778
