visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Yakiniku/Korean food,Ōsaka-fu Ōsaka-shi Ōgimachi,total_area_visitors,total_genre_visitors
2016-07-01,air_2bffb19a24d11729,1,0,0,0,0,0,0,1.0352061017330907,1.0426643516113745,0.0,0.9149771073631049,1.005892549047045,1,28.0,1,1,1.405547436877872,1.4055474368778722
2016-07-02,air_2bffb19a24d11729,0,0,1,0,0,0,0,1.2472284586751154,1.2728669480205421,0.0,1.7274228521717556,1.1538912416695706,1,29.0,1,1,1.5678010258524266,1.567801025852427
2016-07-03,air_2bffb19a24d11729,0,0,0,1,0,0,0,1.2790318122164193,1.2028052882438387,0.0,1.3753630294213401,1.3336039398540656,1,8.0,1,1,-0.45803983744470594,-0.4580398374447059
2016-07-04,air_2bffb19a24d11729,0,1,0,0,0,0,0,1.3108351657577226,1.2828757565600712,0.0,1.1587108308057001,1.312461269479419,1,12.0,1,1,-1.2452414605078568,-1.245241460507857
2016-07-05,air_2bffb19a24d11729,0,0,0,0,0,1,0,1.3108351657577226,1.4530255017320646,0.0,1.6190967528639353,1.2490332583554795,1,11.0,1,1,-0.5647856196648078,-0.5647856196648077
2016-07-06,air_2bffb19a24d11729,0,0,0,0,0,0,1,1.2154251051338116,1.1527612455461933,0.0,1.21287388045961,1.2173192527935097,1,21.0,1,1,-0.09588051085796044,-0.09588051085796034
2016-07-07,air_2bffb19a24d11729,0,0,0,0,1,0,0,1.2790318122164193,1.2928845650996006,0.0,1.53785217838307,1.270175928730126,1,6.0,1,1,-0.16419781147882562,-0.16419781147882553
2016-07-08,air_2bffb19a24d11729,1,0,0,0,0,0,0,1.003402748191787,0.8524969893603225,0.0,-1.495278602235892,0.9530358731104288,1,31.0,1,1,1.1951612042840711,1.1951612042840714
2016-07-09,air_2bffb19a24d11729,0,0,1,0,0,0,0,0.7171725663200539,0.5322151160953933,0.0,-1.1973818291393867,0.8050371804879036,1,32.0,1,1,1.505306222443567,1.5053062224435674
2016-07-10,air_2bffb19a24d11729,0,0,0,1,0,0,0,1.1200150445099006,1.0726907772299614,0.0,0.5087542349587797,1.1010345657329543,1,14.0,1,1,-0.29423358254694965,-0.2942335825469496
2016-07-11,air_2bffb19a24d11729,0,1,0,0,0,0,0,1.1942228694396093,1.19279647970431,0.0,0.048368312900544254,1.2384619231681562,1,16.0,1,1,-1.2968676024543062,-1.2968676024543062
2016-07-12,air_2bffb19a24d11729,0,0,0,0,0,1,0,1.1412172802041032,0.9625938832951417,0.0,-1.2515448787932966,1.2490332583554795,1,21.0,1,1,-0.549258960432793,-0.5492589604327929
2016-07-13,air_2bffb19a24d11729,0,0,0,0,0,0,1,1.1094139266627994,0.8224705637417353,0.0,-1.468197077408937,1.2490332583554795,1,31.0,1,1,-0.4743428296383215,-0.4743428296383214
