visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Miyagi-ken Sendai-shi Kamisugi,total_area_visitors,total_genre_visitors
2016-07-01,air_4433ab8e9999915f,1,0,0,0,0,0,0,1.1082001165114788,1.1530235924847354,0.0,2.054825041038553,0.9517692949937068,1,31.0,1,1,1.2768720706399366,1.2768720706399366
2016-07-02,air_4433ab8e9999915f,0,0,1,0,0,0,0,1.054646452710909,0.8709123172270606,0.0,-1.224083695271145,1.1401600722034464,1,25.0,1,1,1.4292123696505732,1.4292123696505732
2016-07-04,air_4433ab8e9999915f,0,1,0,0,0,0,0,1.1082001165114788,1.2052664212361566,0.0,-0.5016122787961267,0.9203708321254168,1,36.0,1,1,-1.2119602306606296,-1.2119602306606296
2016-07-05,air_4433ab8e9999915f,0,0,0,0,0,1,0,0.5405312802254396,0.296241200961427,0.0,-1.3630205061317253,0.7633785177839673,1,26.0,1,1,-0.5730785460538215,-0.5730785460538215
2016-07-06,air_4433ab8e9999915f,0,0,0,0,0,0,1,0.6690600733468068,0.4216239899648379,0.0,-1.3630205061317253,0.7633785177839673,1,15.0,1,1,-0.13282237092260404,-0.13282237092260404
2016-07-07,air_4433ab8e9999915f,0,0,0,0,1,0,0,0.7226137371473765,0.6514924364710913,0.0,-1.0573595222384484,0.8261754435205473,1,29.0,1,1,-0.19696565471655625,-0.19696565471655625
2016-07-08,air_4433ab8e9999915f,1,0,0,0,0,0,0,0.8082995992282882,0.797772356975071,0.0,-0.2793133814191981,0.8052431349416873,1,38.0,1,1,1.079339912592652,1.079339912592652
2016-07-09,air_4433ab8e9999915f,0,0,1,0,0,0,0,0.9475391251097696,0.8082209227253551,0.0,-1.251871057443261,1.1401600722034464,1,29.0,1,1,1.370535842998151,1.370535842998151
2016-07-11,air_4433ab8e9999915f,0,1,0,0,0,0,0,1.1510430475519344,1.43513486774241,0.0,1.9158882301779727,1.0878293007562965,1,13.0,1,1,-1.2604321439821957,-1.2604321439821957
2016-07-12,air_4433ab8e9999915f,0,0,0,0,0,1,0,0.9903820561502252,1.0485379349818928,0.0,1.8047387814895084,0.9308369864148469,1,12.0,1,1,-0.5585005270097415,-0.5585005270097415
