visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Tōkyō-to Minato-ku Shibakōen,total_area_visitors,total_genre_visitors
2016-01-04,air_4ce7b17062a1bf73,0,1,0,0,0,0,0,-0.716371045448076,-0.5222773735284738,0.0,0.9185956750136619,-0.8094747379518067,1,24.0,1,1,-1.4853119899187264,-1.4853119899187264
2016-01-05,air_4ce7b17062a1bf73,0,0,0,0,0,1,0,-0.5014951703856809,-0.49708563244618365,0.0,0.7968796625975034,-0.725094995134136,1,7.0,1,1,-1.3582414140917825,-1.3582414140917825
2016-01-06,air_4ce7b17062a1bf73,0,0,0,0,0,0,1,-0.7542903175179102,-1.0135163246331287,0.0,-1.2479493459939581,-0.48401001565507684,1,8.0,1,1,-1.2955730794246931,-1.2955730794246931
2016-01-07,air_4ce7b17062a1bf73,0,0,0,0,1,0,0,-0.7795698322311332,-0.8119823959748087,0.0,-0.07947562679883735,-0.7974204889778538,1,5.0,1,1,-1.2279507262068459,-1.2279507262068459
2016-01-08,air_4ce7b17062a1bf73,1,0,0,0,0,0,0,-1.019725222006751,-1.0638998067977088,0.0,0.8699092700471983,-0.9661799746131952,1,8.0,1,1,-0.9012332027843525,-0.9012332027843525
2016-01-12,air_4ce7b17062a1bf73,0,0,0,0,0,1,0,-1.4494769721315406,-1.6685015927726692,0.0,-1.2479493459939581,-1.2313734520401602,1,2.0,1,1,-1.334214424120606,-1.334214424120606
2016-01-13,air_4ce7b17062a1bf73,0,0,0,0,0,0,1,-1.3357191559220376,-1.2150502532914491,0.0,0.8699092700471983,-1.4483499335713135,1,3.0,1,1,-1.1350628783801324,-1.1350628783801324
2016-01-14,air_4ce7b17062a1bf73,0,0,0,0,1,0,0,-1.1208432808596427,-1.0009204540919838,0.0,0.967282079980125,-1.3157531948578312,1,5.0,1,1,-1.044652039828798,-1.044652039828798
2016-01-15,air_4ce7b17062a1bf73,1,0,0,0,0,0,0,-1.1714023102860887,-1.0638998067977088,0.0,0.7238500551478082,-1.0987767133266777,1,18.0,1,1,-0.7751534306675602,-0.7751534306675602
2016-01-16,air_4ce7b17062a1bf73,0,0,1,0,0,0,0,-1.0576444940765852,-0.9505369719274037,0.0,0.967282079980125,-1.1228852112745835,1,12.0,1,1,-0.6312391917680389,-0.6312391917680389
2016-01-18,air_4ce7b17062a1bf73,0,1,0,0,0,0,0,-1.5253155162712095,-1.655905722231524,0.0,-0.9071445112287146,-1.3157531948578312,1,3.0,1,1,-1.4959631298028562,-1.4959631298028562
2016-01-19,air_4ce7b17062a1bf73,0,0,0,0,0,1,0,-1.234601097069146,-1.3536048292440441,0.0,0.967282079980125,-1.2313734520401602,1,10.0,1,1,-1.265353566265069,-1.265353566265069
2016-01-20,air_4ce7b17062a1bf73,0,0,0,0,0,0,1,-1.3609986706352606,-1.290625476538319,0.0,0.9916252824633567,-1.4242414356234074,1,4.0,1,1,-1.1434847099164211,-1.1434847099164211
2016-01-21,air_4ce7b17062a1bf73,0,0,0,0,1,0,0,-1.1966818249993114,-1.2402419943737388,0.0,0.5534476377651866,-1.2193192030662072,1,3.0,1,1,-1.0245882646982278,-1.0245882646982278
2016-01-22,air_4ce7b17062a1bf73,1,0,0,0,0,0,0,-1.1461227955728657,-1.1394750300445788,0.0,0.7238500551478082,-0.9782342235871482,1,5.0,1,1,-0.7241270395947523,-0.7241270395947523
2016-01-23,air_4ce7b17062a1bf73,0,0,1,0,0,0,0,-1.3862781853484833,-1.630713981149234,0.0,-1.1992629410274949,-1.02645121948296,1,6.0,1,1,-0.6527891724638364,-0.6527891724638364
2016-01-25,air_4ce7b17062a1bf73,0,1,0,0,0,0,0,-1.512675758914598,-1.3787965703263338,0.0,1.0889980923962834,-1.6532721661285137,1,5.0,1,1,-1.3557644048164035,-1.3557644048164035
2016-01-26,air_4ce7b17062a1bf73,0,0,0,0,0,1,0,-1.398917942705095,-1.227646123832594,0.0,0.8455660675639667,-1.4965669294671253,1,4.0,1,1,-1.1875754750181677,-1.1875754750181677
2016-01-27,air_4ce7b17062a1bf73,0,0,0,0,0,0,1,-1.0829240087898084,-0.7490030432690837,0.0,1.0403116874298204,-1.4724584315192193,1,12.0,1,1,-1.039945722205578,-1.039945722205578
2016-01-28,air_4ce7b17062a1bf73,0,0,0,0,1,0,0,-0.8933276484406363,-0.6734278200222138,0.0,1.0403116874298204,-1.0867224643527247,1,6.0,1,1,-1.0453951426114116,-1.0453951426114116
2016-01-29,air_4ce7b17062a1bf73,1,0,0,0,0,0,0,-1.1966818249993114,-1.454371793573204,0.0,-1.2479493459939581,-1.02645121948296,1,2.0,1,1,-0.9061872213351105,-0.9061872213351105
2016-01-30,air_4ce7b17062a1bf73,0,0,1,0,0,0,0,-1.4621167294881523,-1.8070561687252642,0.0,-1.2479493459939581,-1.1590479581964426,1,4.0,1,1,-0.6126616222026962,-0.6126616222026962
2016-02-01,air_4ce7b17062a1bf73,0,1,0,0,0,0,0,-1.2851601264955916,-1.5929263695257991,0.0,-1.2479493459939581,-1.02645121948296,1,2.0,1,1,-1.4005982727007638,-1.4005982727007638
2016-02-02,air_4ce7b17062a1bf73,0,0,0,0,0,1,0,-1.1208432808596427,-1.089091547879999,0.0,0.821222865080735,-1.02645121948296,1,5.0,1,1,-1.2564363328737047,-1.2564363328737047
2016-02-03,air_4ce7b17062a1bf73,0,0,0,0,0,0,1,-1.2472408544257574,-1.278029605997174,0.0,0.4804180303154914,-1.1590479581964426,1,6.0,1,1,-1.1836122601775614,-1.1836122601775614
