visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Toshima-ku Sugamo,total_area_visitors,total_genre_visitors
2016-07-01,air_c3bc011cca3bec65,1,0,0,0,0,0,0,1.0892166797790714,1.1654042385480226,0.0,-0.18596140952065437,1.0335611347017761,1,15.0,1,1,1.4012796449120704,1.4012796449120701
2016-07-02,air_c3bc011cca3bec65,0,0,1,0,0,0,0,1.25146994655591,1.3049902776984597,0.0,0.4789983983618818,1.1881140960530183,1,12.0,1,1,1.5595706493031096,1.5595706493031094
2016-07-03,air_c3bc011cca3bec65,0,0,0,1,0,0,0,1.5064393657766566,1.7237483951497707,0.0,0.6651871445689918,1.320588062925512,1,7.0,1,1,-0.4167947859046273,-0.4167947859046272
2016-07-04,air_c3bc011cca3bec65,0,1,0,0,0,0,0,1.344186098999818,1.5376336762825211,0.0,0.5321951829924845,1.2101930905317675,1,11.0,1,1,-1.1847712378305308,-1.1847712378305306
2016-07-05,air_c3bc011cca3bec65,0,0,0,0,0,1,0,0.6372254366150205,0.583795742087868,0.0,-1.356290671393918,0.8348501843930358,1,11.0,1,1,-0.5209336045829426,-0.5209336045829425
2016-07-06,air_c3bc011cca3bec65,0,0,0,0,0,0,1,0.7994787033918594,0.7350139511675079,0.0,-0.2657565864665589,0.8679686761111592,1,6.0,1,1,-0.06348017562510659,-0.06348017562510655
2016-07-07,air_c3bc011cca3bec65,0,0,0,0,1,0,0,1.2978280227778638,1.8749666042294115,0.0,2.0483035449646674,1.0225216374624015,1,11.0,1,1,-0.1301290195792284,-0.13012901957922834
2016-07-08,air_c3bc011cca3bec65,1,0,0,0,0,0,0,1.054448122612606,1.0723468791143977,0.0,-0.7977244327725878,1.0446006319411507,1,18.0,1,1,1.1960315004624453,1.196031500462445
2016-07-09,air_c3bc011cca3bec65,0,0,1,0,0,0,0,0.7183520700034398,0.502370552583446,0.0,-1.356290671393918,0.8458896816324104,1,12.0,1,1,1.4986021045496232,1.498602104549623
2016-07-10,air_c3bc011cca3bec65,0,0,0,1,0,0,0,1.0892166797790714,1.2468294280524441,0.0,1.755721229496351,0.8348501843930358,1,11.0,1,1,-0.25698903506008525,-0.2569890350600852
2016-07-11,air_c3bc011cca3bec65,0,1,0,0,0,0,0,1.3673651371107949,1.502737166494912,0.0,1.9685083680187627,1.0666796264198994,1,4.0,1,1,-1.235136557409498,-1.2351365574094977
2016-07-12,air_c3bc011cca3bec65,0,0,0,0,0,1,0,1.2630594656113987,1.3049902776984597,0.0,0.319408044470073,1.320588062925512,1,12.0,1,1,-0.5057861400479149,-0.5057861400479148
2016-07-13,air_c3bc011cca3bec65,0,0,0,0,0,0,1,1.031269084501629,0.8164391406719299,0.0,-1.356290671393918,1.199153593292393,1,10.0,1,1,-0.43269962366640635,-0.43269962366640624
2016-07-14,air_c3bc011cca3bec65,0,0,0,0,1,0,0,1.1239852369455365,1.4329441469196935,0.0,-0.3189533710971617,0.9562846540261549,1,13.0,1,1,-0.21457613436200773,-0.21457613436200768
2016-07-15,air_c3bc011cca3bec65,1,0,0,0,0,0,0,0.6951730318924629,0.3976810232206184,0.0,-1.356290671393918,0.9231661623080315,1,17.0,1,1,0.9816948772918035,0.9816948772918034
2016-07-16,air_c3bc011cca3bec65,0,0,1,0,0,0,0,0.9153738939467443,0.8280713106011327,0.0,-0.9307163943490949,0.8238106871536616,1,19.0,1,1,1.4391483062496395,1.4391483062496393
2016-07-17,air_c3bc011cca3bec65,0,0,0,1,0,0,0,1.1239852369455365,0.9560251798223669,0.0,-1.3296922790786168,1.2101930905317675,1,10.0,1,1,0.5037923712116802,0.5037923712116801
