visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Ōsaka-fu Ōsaka-shi Nakanochō,total_area_visitors,total_genre_visitors
2016-07-03,air_0328696196e46f18,0,0,0,1,0,0,0,1.1322618074066968,1.0712003918001047,0.0,1.3439063784666827,1.1795762701470067,1,11.0,1,1,-0.586337858626112,-0.5863378586261119
2016-07-04,air_0328696196e46f18,0,1,0,0,0,0,0,1.1605958080188137,1.1426760847065616,0.0,1.1273199206580444,1.160614857206326,1,4.0,1,1,-1.3604753417618365,-1.3604753417618367
2016-07-05,air_0328696196e46f18,0,0,0,0,0,1,0,1.1605958080188137,1.2945619321327813,0.0,1.587566143501401,1.1037306183842832,1,6.0,1,1,-0.6913121228580272,-0.6913121228580272
2016-07-06,air_0328696196e46f18,0,0,0,0,0,0,1,1.0755938061824624,1.0265280837335695,0.0,1.1814665351102038,1.0752884989732618,1,4.0,1,1,-0.2301888094320138,-0.2301888094320136
2016-07-07,air_0328696196e46f18,0,0,0,0,1,0,0,1.1322618074066968,1.151610546319869,0.0,1.5063462218231614,1.122692031324964,1,8.0,1,1,-0.2973723385404396,-0.29737233854043943
2016-07-08,air_0328696196e46f18,1,0,0,0,0,0,0,0.8867004687683481,0.7584942353343582,0.0,-1.525864187497777,0.8382708372147512,1,8.0,1,1,1.039427200878351,1.0394272008783516
2016-07-09,air_0328696196e46f18,0,0,1,0,0,0,0,0.6316944632592938,0.4725914637085326,0.0,-1.2280578080108993,0.7055409466299852,1,12.0,1,1,1.3444251540467158,1.3444251540467165
2016-07-10,air_0328696196e46f18,0,0,0,1,0,0,0,0.9905918043461112,0.9550523908271134,0.0,0.47756054723212893,0.9710007277995174,1,4.0,1,1,-0.4252500786047728,-0.42525007860477265
2016-07-11,air_0328696196e46f18,0,1,0,0,0,0,0,1.056704472441051,1.0622659301867983,0.0,0.01731432438877212,1.0942499119139426,1,4.0,1,1,-1.4112447131903627,-1.411244713190363
2016-07-12,air_0328696196e46f18,0,0,0,0,0,1,0,1.0094811380875224,0.8567733130807357,0.0,-1.2822044224630587,1.1037306183842832,1,8.0,1,1,-0.6760431389697487,-0.6760431389697485
2016-07-13,air_0328696196e46f18,0,0,0,0,0,0,1,0.9811471374754053,0.731690850494437,0.0,-1.4987908802716974,1.1037306183842832,1,3.0,1,1,-0.6023702917088045,-0.6023702917088044
2016-07-14,air_0328696196e46f18,0,0,0,0,1,0,0,0.9339238031218767,0.9729213140537277,0.0,0.15268086051917118,1.008923553680879,1,12.0,1,1,-0.38249692371759275,-0.3824969237175926
2016-07-15,air_0328696196e46f18,1,0,0,0,0,0,0,0.7450304657077623,0.553001618228296,0.0,-1.4717175730456173,0.8856743695664533,1,5.0,1,1,0.8233710788592089,0.8233710788592095
2016-07-16,air_0328696196e46f18,0,0,1,0,0,0,0,0.8772558018976423,0.8657077746940428,0.0,-0.28049205509810593,0.8287901307444109,1,11.0,1,1,1.2844943922852223,1.284494392285223
2016-07-17,air_0328696196e46f18,0,0,0,1,0,0,0,1.0000364712168166,0.8299699282408147,0.0,-1.3092777296891387,1.0278849666215597,1,3.0,1,1,0.34163463718401943,0.3416346371840198
2016-07-18,air_0328696196e46f18,0,1,0,0,0,0,0,1.0094811380875224,0.9639868524404206,1.0,1.2897597640145233,0.9804814342698576,1,4.0,1,1,-1.2127479226427411,-1.2127479226427413
2016-07-19,air_0328696196e46f18,0,0,0,0,0,1,0,1.018925804958228,1.0622659301867983,0.0,1.7500059868578797,0.9520393148588362,1,11.0,1,1,-1.0341008111498817,-1.0341008111498817
2016-07-20,air_0328696196e46f18,0,0,0,0,0,0,1,0.9717024706046994,1.1158726998666402,0.0,2.129032288022997,0.8477515436850918,1,7.0,1,1,-0.5439664283361388,-0.5439664283361387
2016-07-21,air_0328696196e46f18,0,0,0,0,1,0,0,0.9433684699925825,0.9729213140537277,0.0,0.8836601556233261,0.8572322501554319,1,7.0,1,1,-0.31913064058123664,-0.3191306405812364
2016-07-23,air_0328696196e46f18,0,0,1,0,0,0,0,0.9244791362511708,0.9818557756670343,0.0,1.2085398423362836,0.8951550760367939,1,3.0,1,1,1.2100580958298643,1.210058095829865
2016-07-24,air_0328696196e46f18,0,0,0,1,0,0,0,0.8772558018976423,0.8567733130807357,0.0,-0.22634544064594625,0.8856743695664533,1,19.0,1,1,-0.6088596098613229,-0.6088596098613228
2016-07-25,air_0328696196e46f18,0,1,0,0,0,0,0,0.896145135639054,0.7852976201742795,0.0,-1.2009845007848192,1.0468463795622405,1,3.0,1,1,-1.2642807432656813,-1.2642807432656815
2016-07-26,air_0328696196e46f18,0,0,0,0,0,1,0,0.8111431338027023,0.6512806959746736,0.0,-1.525864187497777,0.9330779019181554,1,4.0,1,1,-0.5195360541148931,-0.519536054114893
2016-07-27,air_0328696196e46f18,0,0,0,0,0,0,1,0.9622578037339939,0.9729213140537277,0.0,0.34219401110172987,0.9235971954478152,1,4.0,1,1,-0.31225959783151125,-0.312259597831511
2016-07-28,air_0328696196e46f18,0,0,0,0,1,0,0,1.056704472441051,1.0354625453468767,0.0,-0.28049205509810593,1.0468463795622405,1,26.0,1,1,-0.08284311491012541,-0.08284311491012515
2016-07-29,air_0328696196e46f18,1,0,0,0,0,0,0,1.0472598055703453,1.044397006960184,0.0,0.6941470050407671,1.008923553680879,1,5.0,1,1,1.1394390453465757,1.1394390453465764
2016-07-30,air_0328696196e46f18,0,0,1,0,0,0,0,1.122817140535991,1.2498896240662458,0.0,1.7229326796318,1.1511341507359854,1,21.0,1,1,1.2600640180639766,1.2600640180639773
2016-07-31,air_0328696196e46f18,0,0,0,1,0,0,0,1.1417064742774024,1.2052173159997106,0.0,1.3439063784666827,1.1511341507359854,1,7.0,1,1,-0.5630526581964871,-0.563052658196487
2016-08-04,air_0328696196e46f18,0,0,0,0,1,0,0,1.2078191423723423,1.3034963937460884,0.0,1.1273199206580444,1.1132113248546238,1,9.0,1,1,-0.3672279398293142,-0.367227939829314
2016-08-05,air_0328696196e46f18,1,0,0,0,0,0,0,1.2078191423723423,1.2945619321327813,0.0,0.9919533845276454,1.236460508969049,1,1.0,1,1,0.7126709456691892,0.7126709456691896
2016-08-08,air_0328696196e46f18,0,1,0,0,0,0,0,1.2739318104672825,1.2945619321327813,0.0,1.7770792940839595,1.2269798024987089,1,12.0,1,1,-1.30092630459755,-1.30092630459755
2016-08-17,air_0328696196e46f18,0,0,0,0,0,0,1,1.0661491393117566,1.0533314685734911,0.0,-0.7136649707153828,1.0658077925029217,1,6.0,1,1,-0.975696947777216,-0.975696947777216
2016-08-18,air_0328696196e46f18,0,0,0,0,1,0,0,1.1983744755016368,1.2677585472928603,0.0,0.15268086051917118,1.1416534442656447,1,12.0,1,1,-0.6924572966496482,-0.6924572966496481
2016-08-19,air_0328696196e46f18,1,0,0,0,0,0,0,1.2644871435965768,1.4553822411723085,0.0,0.5317071616842883,1.2459412154393896,1,1.0,1,1,0.6748802105456997,0.6748802105457001
2016-08-20,air_0328696196e46f18,0,0,1,0,0,0,0,1.3211551448208112,1.4107099331057733,0.0,1.2897597640145233,1.2269798024987089,1,2.0,1,1,0.5542552378282988,0.5542552378282992
2016-08-26,air_0328696196e46f18,1,0,0,0,0,0,0,1.1511511411481081,1.2052173159997106,0.0,1.1814665351102038,1.1321727377953046,1,8.0,1,1,0.9806416129084784,0.9806416129084791
2016-08-27,air_0328696196e46f18,0,0,1,0,0,0,0,0.9339238031218767,0.9282490059871925,0.0,0.1256075532930912,1.0184042601512195,1,2.0,1,1,1.0451530698364555,1.0451530698364562
2016-08-28,air_0328696196e46f18,0,0,0,1,0,0,0,0.8583664681562309,0.9193145443738853,0.0,-0.7407382779414626,0.876193663096113,1,8.0,1,1,-0.39891108139749226,-0.3989110813974921
2016-09-03,air_0328696196e46f18,0,0,1,0,0,0,0,1.0755938061824624,1.080134853413412,0.0,-0.03683229006338754,1.0184042601512195,1,11.0,1,1,1.0806534573767033,1.080653457376704
2016-09-23,air_0328696196e46f18,1,0,0,0,0,0,0,0.5089137939401195,0.4368536172553042,0.0,-1.0926912718805002,0.6391760013376023,1,10.0,1,1,0.03205598884917098,0.03205598884917128
2016-10-19,air_0328696196e46f18,0,0,0,0,0,0,1,0.5089137939401195,0.45472254048191824,0.0,-0.22634544064594625,0.4495618719307938,1,16.0,1,1,-0.6172575509998761,-0.617257550999876
2016-10-21,air_0328696196e46f18,1,0,0,0,0,0,0,0.08390378475836219,0.007999459816565576,0.0,-0.7407382779414626,0.15565997135024037,1,10.0,1,1,0.8428390333167641,0.8428390333167647
2016-10-30,air_0328696196e46f18,0,0,0,1,0,0,0,-0.26554888945774924,-0.2064276189028036,0.0,0.6400003905886077,-0.3657788845184832,1,6.0,1,1,-0.2801947316661262,-0.280194731666126
2016-11-06,air_0328696196e46f18,0,0,0,1,0,0,0,-0.407218892518335,-0.48339592891532235,0.0,-0.9843980429761808,-0.4416245362812067,1,7.0,1,1,-0.6894034998719925,-0.6894034998719923
2016-11-10,air_0328696196e46f18,0,0,0,0,1,0,0,-0.709448232380918,-0.7961020853810691,0.0,-1.2280578080108993,-0.7165650239210791,1,1.0,1,1,-0.7123069757044104,-0.7123069757044103
2016-11-11,air_0328696196e46f18,1,0,0,0,0,0,0,-0.32221689068198367,-0.29577223503587413,0.0,0.6941470050407671,-0.42266312334052575,1,1.0,1,1,0.2431496911046225,0.24314969110462287
2016-11-15,air_0328696196e46f18,0,0,0,0,0,1,0,-0.11443421952645799,-0.054541771476583734,0.0,-1.0926912718805002,-0.17616475511167465,1,3.0,1,1,-1.0791443136203034,-1.0791443136203036
2016-11-16,air_0328696196e46f18,0,0,0,0,0,0,1,-0.511110228096098,-0.5280682369818575,0.0,0.7212203122668474,-0.4605859492218875,1,1.0,1,1,-0.49319705690761256,-0.4931970569076124
2016-11-18,air_0328696196e46f18,1,0,0,0,0,0,0,-0.35999555816480644,-0.1974931572894964,0.0,0.9378067700754855,-0.602796546276994,1,5.0,1,1,0.8584897418022497,0.8584897418022502
2016-11-23,air_0328696196e46f18,0,0,0,0,0,0,1,-0.6055568968031552,-0.5548716218217787,1.0,-1.525864187497777,-0.5459123074549513,1,8.0,1,1,-0.3630289692600376,-0.36302896926003736
2016-11-25,air_0328696196e46f18,1,0,0,0,0,0,0,-0.6716695648980952,-0.626347314728235,0.0,0.5587804689103683,-0.73552643686176,1,4.0,1,1,0.7222140605993633,0.7222140605993638
2016-11-29,air_0328696196e46f18,0,0,0,0,0,1,0,-0.6811142317688008,-0.6531506995681563,0.0,-0.11805221174162693,-0.5838351333363131,1,5.0,1,1,-0.7760549834379734,-0.7760549834379734
2016-12-01,air_0328696196e46f18,0,0,0,0,1,0,0,-0.37888489190621794,-0.5012648521419364,0.0,-1.3634243441412983,-0.3657788845184832,1,4.0,1,1,-0.6393975776378801,-0.63939757763788
2016-12-10,air_0328696196e46f18,0,0,1,0,0,0,0,-0.8511182354415038,-0.8497088550609114,0.0,0.01731432438877212,-0.8587756209761854,1,22.0,1,1,2.373172943519486,2.373172943519487
