visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-01-01,air_57ed725a1930a5b9,1,0,0,0,0,0,0,-0.9859906289875306,-0.9700243044451095,1.0,0.8996876173284319,-0.9538104694741414,1,33.0,1,1,-1.8603594272556045,-1.8603594272556045
2016-01-02,air_57ed725a1930a5b9,0,0,1,0,0,0,0,-1.0106395796014183,-0.8105389112423769,1.0,0.5328774648690799,-1.0713958707725646,1,45.0,1,1,-1.7143633106450396,-1.7143633106450396
2016-01-03,air_57ed725a1930a5b9,0,0,0,1,0,0,0,-0.7641500734625427,-0.46703191049803017,1.0,0.7285095461807345,-1.0243617102531952,1,44.0,1,1,-1.5814599083836456,-1.5814599083836456
2016-01-04,air_57ed725a1930a5b9,0,1,0,0,0,0,0,-0.7764745487694866,-0.5897129821924397,0.0,0.8752336071644753,-0.8597421484354026,1,12.0,1,1,-1.389021710685456,-1.389021710685456
2016-01-05,air_57ed725a1930a5b9,0,0,0,0,0,1,0,-0.5669584685514425,-0.5651767678535577,0.0,0.7529635563446913,-0.7774323675265065,1,8.0,1,1,-1.2622941170793311,-1.2622941170793311
2016-01-06,air_57ed725a1930a5b9,0,0,0,0,0,0,1,-0.8134479746903178,-1.068169161800637,0.0,-1.3011732974276802,-0.5422615649296599,1,15.0,1,1,-1.1997949334880065,-1.1997949334880065
2016-01-07,air_57ed725a1930a5b9,0,0,0,0,1,0,0,-0.8380969253042055,-0.8718794470895818,0.0,-0.12738080955775372,-0.8479836083055604,1,5.0,1,1,-1.1323551029724663,-1.1323551029724663
2016-01-08,air_57ed725a1930a5b9,1,0,0,0,0,0,0,-1.072261956136137,-1.117241590478401,0.0,0.8263255868365614,-1.0126031701233529,1,25.0,1,1,-0.8065194383204612,-0.8065194383204612
2016-01-09,air_57ed725a1930a5b9,0,0,1,0,0,0,0,-1.0106395796014183,-1.0313648402923143,0.0,0.8752336071644753,-1.04787879051288,1,37.0,1,1,-0.5550405098778977,-0.5550405098778977
2016-01-10,air_57ed725a1930a5b9,0,0,0,1,0,0,0,-0.9366927277597555,-0.8718794470895818,0.0,0.9241416274923887,-1.094912951032249,1,48.0,1,1,-0.8334459640574351,-0.8334459640574351
2016-01-11,air_57ed725a1930a5b9,0,1,0,0,0,0,0,-1.0352885302153056,-1.1663140191561647,1.0,-0.4941909620171057,-0.9302933892144567,1,28.0,1,1,-1.1859611221002033,-1.1859611221002033
2016-01-12,air_57ed725a1930a5b9,0,0,0,0,0,1,0,-1.491294116572225,-1.7061107346115671,0.0,-1.3011732974276802,-1.271291052979884,1,8.0,1,1,-1.2383319794968866,-1.2383319794968866
2016-01-13,air_57ed725a1930a5b9,0,0,0,0,0,0,1,-1.3803738388097313,-1.2644588765116926,0.0,0.8263255868365614,-1.482944775317046,1,2.0,1,1,-1.0397179731434278,-1.0397179731434278
2016-01-14,air_57ed725a1930a5b9,0,0,0,0,1,0,0,-1.170857758591687,-1.0559010546311962,0.0,0.9241416274923887,-1.3536008338887804,1,23.0,1,1,-0.9495511667764969,-0.9495511667764969
2016-01-15,air_57ed725a1930a5b9,1,0,0,0,0,0,0,-1.2201556598194623,-1.117241590478401,0.0,0.6796015258528206,-1.1419471115516184,1,16.0,1,1,-0.6807799740991795,-0.6807799740991795
2016-01-16,air_57ed725a1930a5b9,0,0,1,0,0,0,0,-1.1092353820569683,-1.0068286259534323,0.0,0.9241416274923887,-1.1654641918113031,1,68.0,1,1,-0.5372541809507223,-0.5372541809507223
2016-01-17,air_57ed725a1930a5b9,0,0,0,1,0,0,0,-1.195506709205575,-1.399408055375543,0.0,-0.5430989823450193,-1.1066714911620914,1,39.0,1,1,-1.1239560032013003,-1.1239560032013003
2016-01-18,air_57ed725a1930a5b9,0,1,0,0,0,0,0,-1.565240968413888,-1.693842627442126,0.0,-0.9588171551322849,-1.3536008338887804,1,5.0,1,1,-1.3996441015725192,-1.3996441015725192
2016-01-19,air_57ed725a1930a5b9,0,0,0,0,0,1,0,-1.281778036354181,-1.399408055375543,0.0,0.9241416274923887,-1.271291052979884,1,4.0,1,1,-1.1696569872502927,-1.1696569872502927
2016-01-20,air_57ed725a1930a5b9,0,0,0,0,0,0,1,-1.405022789423619,-1.3380675195283382,0.0,0.9485956376563454,-1.4594276950573613,1,11.0,1,1,-1.0481170729145939,-1.0481170729145939
2016-01-21,air_57ed725a1930a5b9,0,0,0,0,1,0,0,-1.2448046104333497,-1.2889950908505743,0.0,0.5084234547051233,-1.2595325128500419,1,9.0,1,1,-0.9295415467334245,-0.9295415467334245
2016-01-22,air_57ed725a1930a5b9,1,0,0,0,0,0,0,-1.195506709205575,-1.1908502334950466,0.0,0.6796015258528206,-1.0243617102531952,1,19.0,1,1,-0.6298913107797609,-0.6298913107797609
2016-01-23,air_57ed725a1930a5b9,0,0,1,0,0,0,0,-1.4296717400375063,-1.669306413103244,0.0,-1.2522652770997664,-1.0713958707725646,1,45.0,1,1,-0.5587459950710593,-0.5587459950710593
2016-01-24,air_57ed725a1930a5b9,0,0,0,1,0,0,0,-1.5036185918791691,-1.3257994123588974,0.0,0.8996876173284319,-1.5182203957065727,1,35.0,1,1,-1.2358616560347788,-1.2358616560347788
2016-01-25,air_57ed725a1930a5b9,0,1,0,0,0,0,0,-1.552916493106944,-1.423944269714425,0.0,1.0464116783121726,-1.6828399575243655,1,16.0,1,1,-1.2598237936172234,-1.2598237936172234
2016-01-26,air_57ed725a1930a5b9,0,0,0,0,0,1,0,-1.44199621534445,-1.2767269836811335,0.0,0.8018715766726047,-1.5299789358364153,1,5.0,1,1,-1.0920888305401109,-1.0920888305401109
2016-01-27,air_57ed725a1930a5b9,0,0,0,0,0,0,1,-1.133884332670856,-0.8105389112423769,0.0,0.9975036579842592,-1.5064618555767306,1,14.0,1,1,-0.9448575521984922,-0.9448575521984922
2016-01-28,air_57ed725a1930a5b9,0,0,0,0,1,0,0,-0.9490172030666993,-0.7369302682257312,0.0,0.9975036579842592,-1.1301885714217763,1,7.0,1,1,-0.9502922638151291,-0.9502922638151291
2016-01-29,air_57ed725a1930a5b9,1,0,0,0,0,0,0,-1.2448046104333497,-1.4975529127310705,0.0,-1.3011732974276802,-1.0713958707725646,1,27.0,1,1,-0.8114600852446766,-0.8114600852446766
2016-01-30,air_57ed725a1930a5b9,0,0,1,0,0,0,0,-1.5036185918791691,-1.8410599134754175,0.0,-1.3011732974276802,-1.2007398122008301,1,65.0,1,1,-0.5187267549849146,-0.5187267549849146
2016-01-31,air_57ed725a1930a5b9,0,0,0,1,0,0,0,-1.1585332832847435,-1.080437268970078,0.0,-0.054018779065883364,-1.2242568924605146,1,33.0,1,1,-1.0575043020706032,-1.0575043020706032
2016-02-01,air_57ed725a1930a5b9,0,1,0,0,0,0,0,-1.331075937581956,-1.6325020915949213,0.0,-1.3011732974276802,-1.0713958707725646,1,23.0,1,1,-1.3045366482813727,-1.3045366482813727
2016-02-02,air_57ed725a1930a5b9,0,0,0,0,0,1,0,-1.170857758591687,-1.1417778048172829,0.0,0.777417566508648,-1.0713958707725646,1,5.0,1,1,-1.160763822786705,-1.160763822786705
