visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-07-01,air_b8925441167c3152,1,0,0,0,0,0,0,1.084082060435602,1.1662637460409475,0.0,-0.16886445104752376,1.0310146642405225,1,47.0,1,1,1.2797566000529335,1.2797566000529335
2016-07-02,air_b8925441167c3152,0,0,1,0,0,0,0,1.250678663254585,1.3095152973733395,0.0,0.4878306363595136,1.1898608905141834,1,10.0,1,1,1.4436553669902137,1.4436553669902137
2016-07-03,air_b8925441167c3152,0,0,0,1,0,0,0,1.5124733248272728,1.739269951370515,0.0,0.6717052608334839,1.3260147987487503,1,13.0,1,1,-0.6027266058463061,-0.6027266058463061
2016-07-04,air_b8925441167c3152,0,1,0,0,0,0,0,1.34587672200829,1.5482678829273255,0.0,0.5403662433520764,1.2125532085532782,1,47.0,1,1,-1.3979100971113878,-1.3979100971113878
2016-07-05,air_b8925441167c3152,0,0,0,0,0,1,0,0.6199915240112919,0.5693822821559811,0.0,-1.3246478048839097,0.8267838018886726,1,7.0,1,1,-0.7105547419892536,-0.7105547419892536
2016-07-06,air_b8925441167c3152,0,0,0,0,0,0,1,0.7865881268302752,0.7245714627660721,0.0,-0.24766786153636844,0.8608222789473143,1,10.0,1,1,-0.23689514758677882,-0.23689514758677882
2016-07-07,air_b8925441167c3152,0,0,0,0,1,0,0,1.2982776926314372,1.8944591319806068,0.0,2.037631042640122,1.0196685052209753,1,11.0,1,1,-0.3059051547182652,-0.3059051547182652
2016-07-08,air_b8925441167c3152,1,0,0,0,0,0,0,1.0483827884029628,1.0707627118193528,0.0,-0.7730239314619982,1.0423608232600698,1,18.0,1,1,1.067237146273015,1.067237146273015
2016-07-09,air_b8925441167c3152,0,0,1,0,0,0,0,0.7032898254207833,0.4858188772120855,0.0,-1.3246478048839097,0.83812996090822,1,10.0,1,1,1.3805268945574334,1.3805268945574334
2016-07-10,air_b8925441167c3152,0,0,0,1,0,0,0,1.084082060435602,1.2498271509848429,0.0,1.748685204181025,0.8267838018886726,1,11.0,1,1,-0.4372594296560376,-0.4372594296560376
2016-07-12,air_b8925441167c3152,0,0,0,0,0,1,0,1.2625784205987984,1.3095152973733395,0.0,0.3302238153818245,1.3260147987487503,1,17.0,1,1,-0.6948706494593703,-0.6948706494593703
2016-07-13,air_b8925441167c3152,0,0,0,0,0,0,1,1.0245832737145368,0.8081348677099677,0.0,-1.3246478048839097,1.2012070495337308,1,12.0,1,1,-0.6191949030026835,-0.6191949030026835
2016-07-14,air_b8925441167c3152,0,0,0,0,1,0,0,1.119781332468241,1.4408292194280319,0.0,-0.30020346852893137,0.9515915511036921,1,4.0,1,1,-0.3933439705723644,-0.3933439705723644
2016-07-16,air_b8925441167c3152,0,0,1,0,0,0,0,0.9055857002724059,0.8200724969876668,0.0,-0.9043629489434057,0.8154376428691257,1,2.0,1,1,1.3189668313776415,1.3189668313776415
2016-07-17,air_b8925441167c3152,0,0,0,1,0,0,0,1.119781332468241,0.9513864190423595,0.0,-1.2983800013876283,1.2125532085532782,1,9.0,1,1,0.35047411765734965,0.35047411765734965
2016-07-19,air_b8925441167c3152,0,0,0,0,0,1,0,1.2863779352872244,1.3692034437618357,0.0,0.3039560118855431,1.2238993675728251,1,6.0,1,1,-1.062662619285133,-1.062662619285133
2016-07-20,air_b8925441167c3152,0,0,0,0,0,0,1,1.1673803618450935,1.082700341097052,0.0,-0.11632884405496095,1.1785147314946365,1,8.0,1,1,-0.55920324907588,-0.55920324907588
2016-07-21,air_b8925441167c3152,0,0,0,0,1,0,0,0.6318912813555051,0.4141931015458898,0.0,-1.3246478048839097,0.906206915025503,1,16.0,1,1,-0.32825498657334884,-0.32825498657334884
2016-07-22,air_b8925441167c3152,1,0,0,0,0,0,0,0.5842922519786525,0.22319103310270036,0.0,-1.3246478048839097,0.849476119927767,1,16.0,1,1,0.9119646302271707,0.9119646302271707
2016-07-24,air_b8925441167c3152,0,0,0,1,0,0,0,0.8817861855839795,0.9752616775977582,0.0,0.5929018503446395,0.6906298936541061,1,24.0,1,1,-0.625860642327884,-0.625860642327884
2016-07-25,air_b8925441167c3152,0,1,0,0,0,0,0,0.9769842443376842,0.8439477555430653,0.0,-1.1145053769136577,0.9288992330645978,1,6.0,1,1,-1.2991003141731232,-1.2991003141731232
2016-07-26,air_b8925441167c3152,0,0,0,0,0,1,0,0.8698864282397667,0.7842596091545687,0.0,-1.2983800013876283,0.9629377101232391,1,6.0,1,1,-0.5341087010280667,-0.5341087010280667
2016-07-27,air_b8925441167c3152,0,0,0,0,0,0,1,0.9531847296492582,0.7723219798768697,0.0,-1.2458443943950652,1.0763993003187113,1,11.0,1,1,-0.32119714493490137,-0.32119714493490137
2016-07-28,air_b8925441167c3152,0,0,0,0,1,0,0,1.1911798765335198,1.2259518924294441,0.0,0.04127797692272815,1.1785147314946365,1,14.0,1,1,-0.08554365467340526,-0.08554365467340526
2016-07-29,air_b8925441167c3152,1,0,0,0,0,0,0,1.2744781779430112,1.381141073039535,0.0,1.6961495971884624,1.1331300954164474,1,15.0,1,1,1.1699679523437505,1.1699679523437505
2016-07-30,air_b8925441167c3152,0,0,1,0,0,0,0,1.2744781779430112,1.4408292194280319,0.0,1.512274972714492,1.0423608232600698,1,12.0,1,1,1.2938722833298284,1.2938722833298284
2016-07-31,air_b8925441167c3152,0,0,0,1,0,0,0,1.3101774499756504,1.1901390045963463,0.0,0.4878306363595136,1.3033224807096555,1,1.0,1,1,-0.578808364738234,-0.578808364738234
2016-08-02,air_b8925441167c3152,0,0,0,0,0,1,0,1.119781332468241,1.0230121947085553,0.0,-0.8780951454471242,1.0877454593382587,1,9.0,1,1,-0.9838500543224695,-0.9838500543224695
2016-08-03,air_b8925441167c3152,0,0,0,0,0,0,1,1.226879148566159,1.333390555928738,0.0,-0.24766786153636844,1.1898608905141834,1,8.0,1,1,-0.511366766859736,-0.511366766859736
2016-08-04,air_b8925441167c3152,0,0,0,0,1,0,0,1.3815759940409291,1.4527668487057313,0.0,0.9081154923000174,1.3033224807096555,1,14.0,1,1,-0.3776598780424812,-0.3776598780424812
2016-08-05,air_b8925441167c3152,1,0,0,0,0,0,0,1.4529745381062074,1.5005173658165285,0.0,1.512274972714492,1.3260147987487503,1,3.0,1,1,0.7315975661335131,0.7315975661335131
2016-08-06,air_b8925441167c3152,0,0,1,0,0,0,0,1.5005735674830598,1.5960184000381237,0.0,0.9869189027888621,1.462168706983317,1,2.0,1,1,0.47594685789641583,0.47594685789641583
2016-08-08,air_b8925441167c3152,0,1,0,0,0,0,0,1.4291750234177814,1.4766421072611302,0.0,-0.11632884405496095,1.4054379118855806,1,4.0,1,1,-1.336742136244843,-1.336742136244843
2016-08-13,air_b8925441167c3152,0,0,1,0,0,0,0,1.1911798765335198,1.3095152973733395,1.0,0.566634046848358,1.1785147314946365,1,8.0,1,1,-0.00790739665048307,-0.00790739665048307
2016-08-17,air_b8925441167c3152,0,0,0,0,0,0,1,1.4529745381062074,1.6079560293158222,0.0,1.3021325447442398,1.1444762544359948,1,2.0,1,1,-1.0026709653583294,-1.0026709653583294
