visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Kōtō-ku Kameido,total_area_visitors,total_genre_visitors
2016-01-08,air_4570f52104fe0982,1,0,0,0,0,0,0,-1.0605328485621341,-1.1037924566403758,0.0,0.8534222211298484,-1.0048559301756943,1,16.0,1,1,-0.9170795882193566,-0.9170795882193565
2016-01-09,air_4570f52104fe0982,0,0,1,0,0,0,0,-0.9974289491544468,-1.0160647232772866,0.0,0.9028465103191801,-1.04101003133808,1,28.0,1,1,-0.6572753242962233,-0.657275324296223
2016-01-10,air_4570f52104fe0982,0,0,0,1,0,0,0,-0.921704269865222,-0.8531417898886919,0.0,0.9522707995085112,-1.0892154995545935,1,39.0,1,1,-0.9448975300343091,-0.944897530034309
2016-01-11,air_4570f52104fe0982,0,1,0,0,0,0,0,-1.0226705089175216,-1.1539225899907126,1.0,-0.48103358698209864,-0.920496360796795,1,9.0,1,1,-1.3090828783823556,-1.3090828783823556
2016-01-12,air_4570f52104fe0982,0,0,0,0,0,1,0,-1.489639364534407,-1.7053540568444174,0.0,-1.2965343586060663,-1.2699860053665208,1,6.0,1,1,-1.3631874991600612,-1.3631874991600612
2016-01-13,air_4570f52104fe0982,0,0,0,0,0,0,1,-1.3760523456005702,-1.2541828566913864,0.0,0.8534222211298484,-1.4869106123408333,1,20.0,1,1,-1.1579982769653665,-1.1579982769653663
2016-01-14,air_4570f52104fe0982,0,0,0,0,1,0,0,-1.1614990876144335,-1.041129789952455,0.0,0.9522707995085112,-1.3543455747454203,1,7.0,1,1,-1.064846453456581,-1.0648464534565807
2016-01-15,air_4570f52104fe0982,1,0,0,0,0,0,0,-1.2119822071405835,-1.1037924566403758,0.0,0.7051493535618544,-1.1374209677711076,1,25.0,1,1,-0.78717745625779,-0.7871774562577898
2016-01-16,air_4570f52104fe0982,0,0,1,0,0,0,0,-1.0983951882067464,-0.9909996566021181,0.0,0.9522707995085112,-1.1615237018793645,1,33.0,1,1,-0.6389001700698327,-0.6389001700698325
2016-01-17,air_4570f52104fe0982,0,0,0,1,0,0,0,-1.1867406473775086,-1.3920407234048124,0.0,-0.5304578761714299,-1.1012668666087222,1,4.0,1,1,-1.2450250490653552,-1.2450250490653552
2016-01-18,air_4570f52104fe0982,0,1,0,0,0,0,0,-1.565364043823632,-1.6928215235068333,0.0,-0.9505643342807467,-1.3543455747454203,1,5.0,1,1,-1.5298399395744091,-1.5298399395744091
2016-01-19,air_4570f52104fe0982,0,0,0,0,0,1,0,-1.2750861065482706,-1.3920407234048124,0.0,0.9522707995085112,-1.2699860053665208,1,6.0,1,1,-1.2922389870081643,-1.2922389870081643
2016-01-20,air_4570f52104fe0982,0,0,0,0,0,0,1,-1.401293905363645,-1.3293780567168916,0.0,0.9769829441031769,-1.4628078782325764,1,8.0,1,1,-1.1666754331278286,-1.1666754331278286
2016-01-21,air_4570f52104fe0982,0,0,0,0,1,0,0,-1.237223766903658,-1.2792479233665548,0.0,0.5321643413991948,-1.2579346383123924,1,13.0,1,1,-1.0441744049518915,-1.0441744049518913
2016-01-22,air_4570f52104fe0982,1,0,0,0,0,0,0,-1.1867406473775086,-1.178987656665881,0.0,0.7051493535618544,-1.0169072972298228,1,21.0,1,1,-0.7346040983322836,-0.7346040983322835
2016-01-23,air_4570f52104fe0982,0,0,1,0,0,0,0,-1.42653546512672,-1.6677564568316647,0.0,-1.247110069416735,-1.0651127654463368,1,28.0,1,1,-0.6611034814267213,-0.6611034814267212
2016-01-24,air_4570f52104fe0982,0,0,0,1,0,0,0,-1.5022601444159447,-1.3168455233793073,0.0,0.9275586549138457,-1.5230647135032187,1,3.0,1,1,-1.360635394406396,-1.3606353944063958
2016-01-25,air_4570f52104fe0982,0,1,0,0,0,0,0,-1.5527432639420944,-1.4171057900799808,0.0,1.0758315224818398,-1.6917838522610174,1,14.0,1,1,-1.38539081051695,-1.3853908105169497
2016-01-26,air_4570f52104fe0982,0,0,0,0,0,1,0,-1.4391562450082576,-1.2667153900289705,0.0,0.8287100765351828,-1.5351160805573474,1,11.0,1,1,-1.2121028977430721,-1.212102897743072
2016-01-27,air_4570f52104fe0982,0,0,0,0,0,0,1,-1.1236367479698213,-0.790479123200771,0.0,1.0264072332925085,-1.5110133464490902,1,17.0,1,1,-1.0599974544246167,-1.0599974544246167
2016-01-28,air_4570f52104fe0982,0,0,0,0,1,0,0,-0.9343250497467596,-0.7152839231752658,0.0,1.0264072332925085,-1.1253696007169791,1,7.0,1,1,-1.0656120848826804,-1.0656120848826804
2016-01-29,air_4570f52104fe0982,1,0,0,0,0,0,0,-1.237223766903658,-1.492300990105486,0.0,-1.2965343586060663,-1.0651127654463368,1,6.0,1,1,-0.9221837977266875,-0.9221837977266872
