visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-01-03,air_d00161e19f08290b,0,0,0,1,0,0,0,-0.7478349248207335,-0.4436959280212387,1.0,0.744718554370371,-1.0213577728372676,1,5.0,1,1,-1.7067530775775606,-1.7067530775775606
2016-01-04,air_d00161e19f08290b,0,1,0,0,0,0,0,-0.7603312719544677,-0.5677918970016599,0.0,0.8929768860953514,-0.8539153936445603,1,29.0,1,1,-1.503574412495724,-1.503574412495724
2016-01-05,air_d00161e19f08290b,0,0,0,0,0,1,0,-0.5478933706809895,-0.5429727032055756,0.0,0.7694282763245344,-0.7701942040482067,1,18.0,1,1,-1.3697738281735388,-1.3697738281735388
2016-01-06,air_d00161e19f08290b,0,0,0,0,0,0,1,-0.7978203133556696,-1.0517661760253025,0.0,-1.3061883678251933,-0.5309908052014821,1,33.0,1,1,-1.303786405496126,-1.303786405496126
2016-01-07,air_d00161e19f08290b,0,0,0,0,1,0,0,-0.8228130076231378,-0.8532126256566287,0.0,-0.12012171402534899,-0.841955223702224,1,5.0,1,1,-1.232582585769115,-1.232582585769115
2016-01-08,air_d00161e19f08290b,1,0,0,0,0,0,0,-1.0602436031640838,-1.1014045636174712,0.0,0.8435574421870243,-1.0093976028949314,1,8.0,1,1,-0.888561200348136,-0.888561200348136
2016-01-09,air_d00161e19f08290b,0,0,1,0,0,0,0,-0.9977618674954137,-1.0145373853311763,0.0,0.8929768860953514,-1.04527811272194,1,29.0,1,1,-0.6230465905236049,-0.6230465905236049
2016-01-10,air_d00161e19f08290b,0,0,0,1,0,0,0,-0.9227837846930097,-0.8532126256566287,0.0,0.9423963300036782,-1.0931187924912849,1,6.0,1,1,-0.9169905642684444,-0.9169905642684444
2016-01-11,air_d00161e19f08290b,0,1,0,0,0,0,0,-1.0227545617628817,-1.1510429512096396,1.0,-0.4907675433378003,-0.9256764132985776,1,16.0,1,1,-1.2891804937572517,-1.2891804937572517
2016-01-12,air_d00161e19f08290b,0,0,0,0,0,1,0,-1.4851194057110397,-1.6970652147234933,0.0,-1.3061883678251933,-1.2725213416263284,1,9.0,1,1,-1.3444743024829893,-1.3444743024829893
