visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Western food,Tōkyō-to Chūō-ku Tsukiji,total_area_visitors,total_genre_visitors
2016-07-01,air_890d7e28e8eaaa11,1,0,0,0,0,0,0,1.1037149489892486,1.1825291300936664,0.0,-0.15992835051188897,1.0461462549584444,1,16.0,1,1,1.3552469205182092,1.3552469205182087
2016-07-02,air_890d7e28e8eaaa11,0,0,1,0,0,0,0,1.2668863576222975,1.3222128984941852,0.0,0.5026132164159541,1.2019060532643555,1,4.0,1,1,1.5134255341298022,1.5134255341298015
2016-07-03,air_890d7e28e8eaaa11,0,0,0,1,0,0,0,1.5232985711885172,1.7412642036957413,0.0,0.68812485515575,1.33541445181228,1,5.0,1,1,-0.4615366295996319,-0.46153662959963215
2016-07-04,air_890d7e28e8eaaa11,0,1,0,0,0,0,0,1.3601271625554683,1.555019179161716,0.0,0.5556165417701814,1.2241574530223431,1,5.0,1,1,-1.2289677980309965,-1.2289677980309968
2016-07-05,air_890d7e28e8eaaa11,0,0,0,0,0,1,0,0.6491660249400404,0.6005134284248381,0.0,-1.3260015083048928,0.8458836571365582,1,6.0,1,1,-0.5656015069756799,-0.5656015069756801
2016-07-06,air_890d7e28e8eaaa11,0,0,0,0,0,0,1,0.8123374335730896,0.7518375108587332,0.0,-0.23943333854323035,0.8792607567735393,1,8.0,1,1,-0.1084728819928946,-0.1084728819928949
2016-07-07,air_890d7e28e8eaaa11,0,0,0,0,1,0,0,1.3135067600888828,1.892588286129637,0.0,2.0662113143656637,1.0350205550794505,1,9.0,1,1,-0.1750744035135653,-0.1750744035135656
2016-07-08,air_890d7e28e8eaaa11,1,0,0,0,0,0,0,1.0687496471393094,1.089406617826654,0.0,-0.7694665920855047,1.057271954837438,1,11.0,1,1,1.1501445076534165,1.150144507653416
2016-07-09,air_890d7e28e8eaaa11,0,0,1,0,0,0,0,0.7307517292565647,0.5190312301912019,0.0,-1.3260015083048928,0.857009357015552,1,13.0,1,1,1.452500278647825,1.4525002786478245
2016-07-10,air_890d7e28e8eaaa11,0,0,0,1,0,0,0,1.1037149489892486,1.2640113283273022,0.0,1.7746930249174124,0.8458836571365582,1,4.0,1,1,-0.3018443450443874,-0.3018443450443876
2016-07-11,air_890d7e28e8eaaa11,0,1,0,0,0,0,0,1.383437363788761,1.5200982370615868,0.0,1.9867063263343225,1.0795233545954255,1,3.0,1,1,-1.2792973569074124,-1.2792973569074126
2016-07-12,air_890d7e28e8eaaa11,0,0,0,0,0,1,0,1.278541458238944,1.3222128984941852,0.0,0.3436032403532716,1.33541445181228,1,8.0,1,1,-0.5504647975391638,-0.550464797539164
2016-07-13,air_890d7e28e8eaaa11,0,0,0,0,0,0,1,1.0454394459060168,0.8333197090923695,0.0,-1.3260015083048928,1.2130317531433494,1,9.0,1,1,-0.47743017450797376,-0.477430174507974
2016-07-15,air_890d7e28e8eaaa11,1,0,0,0,0,0,0,0.7074415280232722,0.414268403890813,0.0,-1.3260015083048928,0.9348892561685076,1,10.0,1,1,0.9359600691267141,0.9359600691267136
