visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Musashino-shi Midorichō,total_area_visitors,total_genre_visitors
2016-02-25,air_35512c42db0868da,0,0,0,0,1,0,0,-1.5831146800595894,-1.6776280720800898,0.0,-0.9699494029756508,-1.3847390844030225,1,2.0,1,1,-1.166173913521797,-1.1661739135217968
2016-02-26,air_35512c42db0868da,1,0,0,0,0,0,0,-1.3368778125648761,-1.188862400930786,0.0,1.2569417622716599,-1.442740286610794,1,13.0,1,1,-0.7428219653438746,-0.7428219653438746
2016-02-27,air_35512c42db0868da,0,0,1,0,0,0,0,-1.078329101695427,-0.9322604235774017,0.0,1.2319205132239375,-1.0947330733641656,1,6.0,1,1,-0.5692266565686843,-0.5692266565686843
2016-02-28,air_35512c42db0868da,0,0,0,1,0,0,0,-0.979834354697542,-0.7611924386751453,0.0,1.006729271794434,-1.199135237338154,1,30.0,1,1,-1.1716890443603432,-1.171689044360343
2016-02-29,air_35512c42db0868da,0,1,0,0,0,0,0,-1.0413935715712204,-0.6878775880027498,0.0,-0.7948006596415926,-0.9091292262992973,1,11.0,1,1,-1.493142384664175,-1.493142384664175
2016-03-01,air_35512c42db0868da,0,0,0,0,0,1,0,-1.4230607161880258,-1.4699026618416355,0.0,1.281963011319383,-1.2223357182212626,1,17.0,1,1,-1.3804761403910182,-1.3804761403910182
2016-03-02,air_35512c42db0868da,0,0,0,0,0,0,1,-1.3245659691901404,-1.1399858338158557,0.0,0.6564317851263178,-1.5935434123509993,1,7.0,1,1,-1.2462746233197288,-1.2462746233197288
2016-03-03,air_35512c42db0868da,0,0,0,0,1,0,0,-0.9182751378238637,-0.46793303598556313,0.0,1.281963011319383,-1.3499383630783597,1,14.0,1,1,-1.2636078916694453,-1.2636078916694453
2016-03-04,air_35512c42db0868da,1,0,0,0,0,0,0,-0.7705330173270356,-0.6145627373303542,0.0,0.706474283221763,-0.9555301880655145,1,10.0,1,1,-0.878336608805294,-0.8783366088052939
2016-03-05,air_35512c42db0868da,0,0,1,0,0,0,0,-0.6966619570786218,-0.5779053119941563,0.0,-0.6196519163075344,-0.5379215321695604,1,17.0,1,1,-0.6477516146984603,-0.6477516146984602
2016-03-06,air_35512c42db0868da,0,0,0,1,0,0,0,-0.3396184992112875,-0.296865051083307,0.0,-0.7197369124984249,-0.4219191277540177,1,25.0,1,1,-1.3032643086513722,-1.3032643086513722
2016-03-07,air_35512c42db0868da,0,1,0,0,0,0,0,-0.40117771608496583,-0.7123158715602149,0.0,-1.2952256405960445,-0.02751095274117236,1,10.0,1,1,-1.6010813739328635,-1.6010813739328635
2016-03-08,air_35512c42db0868da,0,0,0,0,0,1,0,-0.06875794496710307,0.03305177694247332,0.0,-0.01914193916219228,-0.0739119145073895,1,11.0,1,1,-1.254153381660509,-1.254153381660509
2016-03-09,air_35512c42db0868da,0,0,0,0,0,0,1,-0.9182751378238637,-0.6878775880027498,0.0,-1.2952256405960445,-0.9787306689486229,1,13.0,1,1,-1.3022138075392682,-1.3022138075392682
2016-03-10,air_35512c42db0868da,0,0,0,0,1,0,0,-1.2506949089417265,-1.518779228956566,0.0,-1.2952256405960445,-0.9903309093901772,1,11.0,1,1,-1.1774668004769153,-1.177466800476915
2016-03-11,air_35512c42db0868da,1,0,0,0,0,0,0,-1.4723080896869685,-1.8364769152036133,0.0,-1.2952256405960445,-1.1063333138057199,1,22.0,1,1,-0.8268620543121967,-0.8268620543121966
2016-03-12,air_35512c42db0868da,0,0,1,0,0,0,0,-1.2999422824406692,-1.5920940796289613,0.0,-1.1701193953574316,-1.0599323520395028,1,16.0,1,1,-0.6301557210707178,-0.6301557210707177
2016-03-13,air_35512c42db0868da,0,0,0,1,0,0,0,-1.2014475354427838,-1.5065600871778333,0.0,-1.2952256405960445,-0.9323297071824058,1,14.0,1,1,-1.251264503602223,-1.251264503602223
2016-03-14,air_35512c42db0868da,0,1,0,0,0,0,0,-1.3368778125648761,-1.72650463919502,0.0,-1.2952256405960445,-0.9671304285070684,1,11.0,1,1,-1.4884151296597068,-1.4884151296597068
2016-03-15,air_35512c42db0868da,0,0,0,0,0,1,0,-1.0290817281964846,-0.9444795653561342,0.0,1.457111754653441,-0.9671304285070684,1,9.0,1,1,-1.2037293282795158,-1.2037293282795158
2016-03-16,air_35512c42db0868da,0,0,0,0,0,0,1,-0.9921461980722777,-0.8467264311262734,0.0,-0.8948856558324829,-1.199135237338154,1,19.0,1,1,-1.1112852304143617,-1.1112852304143614
2016-03-17,air_35512c42db0868da,0,0,0,0,1,0,0,-0.4381132462091729,-0.0036056483937245433,0.0,1.4821330037011633,-0.897528985857743,1,12.0,1,1,-1.0621743034234985,-1.0621743034234983
2016-03-18,air_35512c42db0868da,1,0,0,0,0,0,0,-0.2165000654639309,0.08192834405740351,0.0,0.40621929464909184,-0.7119251387928746,1,8.0,1,1,-0.6734888919450089,-0.6734888919450088
2016-03-19,air_35512c42db0868da,0,0,1,0,0,0,0,-0.13031716184078138,-0.35796075997696997,0.0,-0.644673165355257,-0.0391111931827268,1,19.0,1,1,-0.6553677477612144,-0.6553677477612144
2016-03-20,air_35512c42db0868da,0,0,0,1,0,0,0,-0.31499481246181626,-0.38239904353443505,1.0,0.18102805321958865,-0.2131147998060409,1,8.0,1,1,-0.8751851054689819,-0.8751851054689818
2016-03-21,air_35512c42db0868da,0,1,0,0,0,0,0,-0.7828448607017715,-0.8711647146837387,1.0,-0.31939692773486333,-0.5959227343773318,1,20.0,1,1,-1.3363550936826492,-1.336355093682649
2016-03-22,air_35512c42db0868da,0,0,0,0,0,1,0,-0.6597264269544149,-0.43127561064936526,0.0,1.131835517033047,-0.9207294667408515,1,17.0,1,1,-1.1995273238310997,-1.1995273238310997
2016-03-23,air_35512c42db0868da,0,0,0,0,0,0,1,-0.6720382703291505,-0.3701799017557023,0.0,-0.16926943344852774,-0.7583261005590917,1,14.0,1,1,-1.0947398378987232,-1.0947398378987232
2016-03-24,air_35512c42db0868da,0,0,0,0,1,0,0,-1.2260712221922552,-1.3843686693905075,0.0,-0.6947156634507022,-0.9323297071824058,1,15.0,1,1,-1.1564567782348347,-1.1564567782348347
2016-03-25,air_35512c42db0868da,1,0,0,0,0,0,0,-1.0660172583206915,-1.0422326995859947,0.0,0.881623026555821,-1.199135237338154,1,11.0,1,1,-0.5303581154208354,-0.5303581154208353
2016-03-26,air_35512c42db0868da,0,0,1,0,0,0,0,-0.9921461980722777,-0.9566987071348667,0.0,0.25609180036275636,-0.8047270623253088,1,14.0,1,1,-0.5363984968154336,-0.5363984968154335
2016-03-27,air_35512c42db0868da,0,0,0,1,0,0,0,-0.7212856438280931,-0.6390010208878194,0.0,-0.31939692773486333,-0.7003248983513203,1,20.0,1,1,-1.1149619843067258,-1.1149619843067256
2016-03-28,air_35512c42db0868da,0,1,0,0,0,0,0,-0.5981672100807366,-0.590124453772889,0.0,-0.5946306672598118,-0.43351936819557196,1,4.0,1,1,-1.2365574880327668,-1.2365574880327665
2016-03-29,air_35512c42db0868da,0,0,0,0,0,1,0,-0.4627369329586441,-0.26020762574710915,0.0,1.031750520842157,-0.7699263410006459,1,14.0,1,1,-0.9516090613745497,-0.9516090613745496
2016-03-30,air_35512c42db0868da,0,0,0,0,0,0,1,-0.19187637871445967,-0.0891396408448526,0.0,-0.49454567106892144,-0.3523176851046921,1,12.0,1,1,-1.0401137800693139,-1.0401137800693139
2016-03-31,air_35512c42db0868da,0,0,0,0,1,0,0,-0.16725269196498843,-0.02804393195118964,0.0,1.0567717698898795,-0.4915205704033434,1,9.0,1,1,-1.003083615867647,-1.0030836158676468
2016-04-01,air_35512c42db0868da,1,0,0,0,0,0,0,-0.45042508958390853,-0.24798848396837636,0.0,-0.76977941059387,-0.4219191277540177,1,17.0,1,1,-0.7885187637203998,-0.7885187637203996
