visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,total_area_visitors,total_genre_visitors
2016-01-05,air_96743eee94114261,0,0,0,0,0,1,0,-0.9147944462804359,-1.1083100838390385,0.0,-1.0364587977662199,-0.7440662392318369,1,2.0,1,1,-1.3945778022307205,-1.3945778022307205
2016-01-06,air_96743eee94114261,0,0,0,0,0,0,1,-0.8253273788402247,-0.8739553573059976,0.0,-0.5828689823081162,-0.8011013283765405,1,12.0,1,1,-1.331323056081228,-1.3313230560812281
2016-01-07,air_96743eee94114261,0,0,0,0,1,0,0,-0.9818947468605941,-1.0337426708512527,0.0,-1.0364587977662199,-0.8923574710080663,1,15.0,1,1,-1.2630679347420524,-1.2630679347420526
2016-01-08,air_96743eee94114261,1,0,0,0,0,0,0,-1.14964549831099,-1.2680973973842937,0.0,-1.0364587977662199,-0.9379855423238291,1,7.0,1,1,-0.9332931909824459,-0.933293190982446
2016-01-09,air_96743eee94114261,0,0,1,0,0,0,0,-1.116095348020911,-1.2467924222449265,0.0,-1.0364587977662199,-0.9722065958106514,1,11.0,1,1,-0.6787740938275714,-0.6787740938275715
2016-01-10,air_96743eee94114261,0,0,0,1,0,0,0,-0.892427679420383,-0.991132720572518,0.0,-1.0364587977662199,-0.9607995779817107,1,14.0,1,1,-0.9605452357662193,-0.9605452357662194
2016-01-12,air_96743eee94114261,0,0,0,0,0,1,0,-1.3509464000514653,-1.5450620741960694,0.0,-1.0364587977662199,-1.0976837919289992,1,11.0,1,1,-1.370325982560757,-1.370325982560757
2016-01-13,air_96743eee94114261,0,0,0,0,0,0,1,-1.2502959491812276,-1.3000548600933448,0.0,-0.5589958341261108,-1.1547188810737028,1,24.0,1,1,-1.1693108999354926,-1.1693108999354926
2016-01-14,air_96743eee94114261,0,0,0,0,1,0,0,-1.2502959491812276,-1.2680973973842937,0.0,-1.0364587977662199,-1.223160988047347,1,23.0,1,1,-1.0780540527237743,-1.0780540527237745
2016-01-15,air_96743eee94114261,1,0,0,0,0,0,0,-1.518697151501861,-1.6409344623232225,0.0,-0.893219908674187,-1.3714522198235766,1,15.0,1,1,-0.8060336424050086,-0.8060336424050087
2016-01-16,air_96743eee94114261,0,0,1,0,0,0,0,-1.2950294829013331,-1.2787498849539776,0.0,-1.0364587977662199,-1.3486381841656951,1,24.0,1,1,-0.6607727431447118,-0.660772743144712
2016-01-19,air_96743eee94114261,0,0,0,0,0,1,0,-1.1272787314509374,-1.023090183281569,0.0,-0.9170930568561925,-1.1547188810737028,1,10.0,1,1,-1.3008207674241605,-1.3008207674241608
2016-01-20,air_96743eee94114261,0,0,0,0,0,0,1,-1.2614793326112541,-1.2041824719661915,0.0,-0.940966205038198,-1.2345680058762878,1,22.0,1,1,-1.1778115377579539,-1.177811537757954
2016-01-21,air_96743eee94114261,0,0,0,0,1,0,0,-1.0937285811608581,-1.332012322802396,0.0,-0.9648393532202034,-0.9265785244948884,1,12.0,1,1,-1.0578025332055574,-1.0578025332055576
2016-01-22,air_96743eee94114261,1,0,0,0,0,0,0,-1.138462114880964,-1.2680973973842937,0.0,-0.1770254632140235,-0.9379855423238291,1,19.0,1,1,-0.7545297779512717,-0.7545297779512719
2016-01-23,air_96743eee94114261,0,0,1,0,0,0,0,-1.3509464000514653,-1.555714561765753,0.0,-1.0364587977662199,-1.223160988047347,1,24.0,1,1,-0.6825243752198337,-0.6825243752198339
2016-01-25,air_96743eee94114261,0,1,0,0,0,0,0,-1.339763016621439,-1.4704946612082836,0.0,-0.08153287048600169,-1.394266255481458,1,11.0,1,1,-1.3920776146358789,-1.3920776146358789
2016-01-26,air_96743eee94114261,0,0,0,0,0,1,0,-1.2614793326112541,-1.129615058978406,0.0,-0.9648393532202034,-1.143311863244762,1,14.0,1,1,-1.2223148769461345,-1.2223148769461345
