visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Hyōgo-ken Kōbe-shi Kumoidōri,total_area_visitors,total_genre_visitors
2016-01-02,air_c225148c0fcc5c72,0,0,1,0,0,0,0,-0.8706373328570489,-0.8434800557766061,1.0,0.18677361836408218,-0.9432636289132847,1,30.0,1,1,-1.829897196649985,-1.829897196649985
2016-01-03,air_c225148c0fcc5c72,0,0,0,1,0,0,0,-0.6078792814331627,-0.6316633914487008,1.0,0.41682405073935413,-0.5914663804771518,1,35.0,1,1,-1.6935704391245008,-1.6935704391245008
2016-01-04,air_c225148c0fcc5c72,0,1,0,0,0,0,0,-0.512330899097204,-0.4316143195834571,0.0,0.13565130005846615,-0.603192955425023,1,29.0,1,1,-1.4961753757186416,-1.4961753757186416
2016-01-05,air_c225148c0fcc5c72,0,0,0,0,0,1,0,-0.6914841159771264,-0.9023180180899131,0.0,-1.06572318012351,-0.5211069307899253,1,5.0,1,1,-1.366183504695271,-1.366183504695271
2016-01-07,air_c225148c0fcc5c72,0,0,0,0,1,0,0,-0.8348066894810646,-0.9140856105525744,0.0,-0.6056223153729661,-0.6970055550079918,1,8.0,1,1,-1.2328974926908012,-1.2328974926908012
2016-01-08,air_c225148c0fcc5c72,1,0,0,0,0,0,0,-0.9661857151930077,-1.0552967201045114,0.0,-0.9890397026650862,-0.8611776042781871,1,15.0,1,1,-0.8986688808392888,-0.8986688808392888
2016-01-09,air_c225148c0fcc5c72,0,0,1,0,0,0,0,-1.0497905497369715,-1.0082263502538658,0.0,0.8258025971842823,-1.0253496535483824,1,29.0,1,1,-0.6407123024732237,-0.6407123024732237
2016-01-10,air_c225148c0fcc5c72,0,0,0,1,0,0,0,-0.9661857151930077,-0.9376207954778973,0.0,0.18677361836408218,-0.954990203861156,1,39.0,1,1,-0.926288985988504,-0.926288985988504
2016-01-11,air_c225148c0fcc5c72,0,1,0,0,0,0,0,-0.9064679762330335,-0.96115598040322,1.0,-0.3500107238448861,-0.7908181545909605,1,41.0,1,1,-1.287884307529147,-1.287884307529147
2016-01-12,air_c225148c0fcc5c72,0,0,0,0,0,1,0,-1.0497905497369715,-1.1729726447311253,0.0,-0.04327681401118994,-1.0253496535483824,1,13.0,1,1,-1.3416041450670702,-1.3416041450670702
2016-01-13,air_c225148c0fcc5c72,0,0,0,0,0,0,1,-1.2528308622008837,-1.2082754221191094,0.0,-1.0401620209707023,-1.1074356781834802,1,21.0,1,1,-1.1378741951590976,-1.1378741951590976
2016-01-14,air_c225148c0fcc5c72,0,0,0,0,1,0,0,-1.2647744099928784,-1.1141346824178184,0.0,-0.094399132316806,-1.21297485271432,1,15.0,1,1,-1.0453848522282392,-1.0453848522282392
2016-01-15,air_c225148c0fcc5c72,1,0,0,0,0,0,0,-1.1931131232409096,-1.1612050522684638,0.0,0.9280472337955145,-1.1074356781834802,1,15.0,1,1,-0.7696905916562562,-0.7696905916562562
2016-01-16,air_c225148c0fcc5c72,0,0,1,0,0,0,0,-1.1572824798649248,-1.078831905029834,0.0,-0.04327681401118994,-1.1308888280792224,1,22.0,1,1,-0.6224678293471366,-0.6224678293471366
2016-01-17,air_c225148c0fcc5c72,0,0,0,1,0,0,0,-1.0975647409049507,-1.196507829656448,0.0,-0.6056223153729661,-1.1426154030270932,1,20.0,1,1,-1.2242820470479268,-1.2242820470479268
2016-01-18,air_c225148c0fcc5c72,0,1,0,0,0,0,0,-0.8825808806490439,-0.8905504256272517,0.0,-1.0401620209707023,-1.2012482777664488,1,17.0,1,1,-1.507071380502277,-1.507071380502277
2016-01-19,air_c225148c0fcc5c72,0,0,0,0,0,1,0,-1.6111372959607286,-1.5966059733869358,0.0,0.31457941412812224,-1.4826860765153551,1,13.0,1,1,-1.2711602071635673,-1.2711602071635673
2016-01-20,air_c225148c0fcc5c72,0,0,0,0,0,0,1,-1.443927626872801,-1.3024161618204007,0.0,0.646874483114626,-1.4826860765153551,1,10.0,1,1,-1.146489640801972,-1.146489640801972
2016-01-21,air_c225148c0fcc5c72,0,0,0,0,1,0,0,-1.288661505576868,-1.3024161618204007,0.0,-0.6311834745257741,-1.2716077274536755,1,12.0,1,1,-1.0248598199613912,-1.0248598199613912
2016-01-22,air_c225148c0fcc5c72,1,0,0,0,0,0,0,-1.2767179577848733,-1.2788809768950777,0.0,0.007845504294426113,-1.1308888280792224,1,14.0,1,1,-0.7174911268788403,-0.7174911268788403
2016-01-23,air_c225148c0fcc5c72,0,0,1,0,0,0,0,-1.3842098879128268,-1.4789300487603216,0.0,-1.3468959308043982,-1.2716077274536755,1,43.0,1,1,-0.6445132343744918,-0.6445132343744918
2016-01-24,air_c225148c0fcc5c72,0,0,0,1,0,0,0,-2.017217920888553,-2.0437744869680685,0.0,0.13565130005846615,-1.9048427746387144,1,24.0,1,1,-1.3390701904662248,-1.3390701904662248
2016-01-25,air_c225148c0fcc5c72,0,1,0,0,0,0,0,-1.7544598694646665,-1.6319087507749197,0.0,0.6724356422674344,-1.986928799273812,1,12.0,1,1,-1.3636495500944255,-1.3636495500944255
2016-01-26,air_c225148c0fcc5c72,0,0,0,0,0,1,0,-1.372266340120832,-1.255345791969755,0.0,0.26345709582250615,-1.447506351671742,1,17.0,1,1,-1.1915940326970207,-1.1915940326970207
2016-01-27,air_c225148c0fcc5c72,0,0,0,0,0,0,1,-1.0497905497369715,-1.1376698673431411,0.0,-0.2733272463864621,-1.0253496535483824,1,18.0,1,1,-1.040570338486633,-1.040570338486633
2016-01-28,air_c225148c0fcc5c72,0,0,0,0,1,0,0,-0.9542421674010129,-0.9846911653285428,0.0,-0.758989270289814,-1.0605293783919956,1,28.0,1,1,-1.046145038608493,-1.046145038608493
2016-01-29,air_c225148c0fcc5c72,1,0,0,0,0,0,0,-0.8228631416890698,-1.1023670899551568,0.0,-1.4491405674156301,-0.5914663804771518,1,14.0,1,1,-0.9037367900409795,-0.9037367900409795
2016-01-30,air_c225148c0fcc5c72,0,0,1,0,0,0,0,-0.8706373328570489,-1.0670643125671726,0.0,-1.2957736124987822,-0.6735524051122496,1,31.0,1,1,-0.6034631698407958,-0.6034631698407958
2016-01-31,air_c225148c0fcc5c72,0,0,0,1,0,0,0,-0.9661857151930077,-0.9729235728658814,0.0,0.8513637563370903,-0.9080839040696714,1,31.0,1,1,-1.1561186682851847,-1.1561186682851847
2016-02-01,air_c225148c0fcc5c72,0,1,0,0,0,0,0,-0.9900728107769973,-1.1023670899551568,0.0,-1.1935289758875502,-0.8377244543824449,1,11.0,1,1,-1.409514128369728,-1.409514128369728
2016-02-02,air_c225148c0fcc5c72,0,0,0,0,0,1,0,-1.1214518364889405,-1.1612050522684638,0.0,-0.1966437689280379,-0.9784433537568981,1,15.0,1,1,-1.2620379706005236,-1.2620379706005236
2016-02-03,air_c225148c0fcc5c72,0,0,0,0,0,0,1,-1.2647744099928784,-1.196507829656448,0.0,0.110090140905658,-1.2716077274536755,1,20.0,1,1,-1.187539705335668,-1.187539705335668
2016-02-04,air_c225148c0fcc5c72,0,0,0,0,1,0,0,-1.1453389320729301,-1.1494374598058024,0.0,0.31457941412812224,-1.1660685529228356,1,10.0,1,1,-1.1500371772431557,-1.1500371772431557
2016-02-05,air_c225148c0fcc5c72,1,0,0,0,0,0,0,-1.013959906360987,-0.9964587577912043,0.0,0.8513637563370903,-1.0018965036526402,1,22.0,1,1,-0.7775458509188771,-0.7775458509188771
2016-02-06,air_c225148c0fcc5c72,0,0,1,0,0,0,0,-1.1095082886969456,-1.1376698673431411,0.0,-0.24776608723365395,-1.0136230786005114,1,26.0,1,1,-0.5553180324247327,-0.5553180324247327
2016-02-07,air_c225148c0fcc5c72,0,0,0,1,0,0,0,-1.372266340120832,-1.3612541241337077,0.0,-0.503377678761734,-1.236428002610062,1,29.0,1,1,-1.1634671366276363,-1.1634671366276363
2016-02-08,air_c225148c0fcc5c72,0,1,0,0,0,0,0,-1.2408873144088888,-1.1141346824178184,0.0,1.158097666170786,-1.4123266268281285,1,13.0,1,1,-1.3583282454326502,-1.3583282454326502
2016-02-09,air_c225148c0fcc5c72,0,0,0,0,0,1,0,-1.025903454152982,-1.0317615351791884,0.0,0.03340666344723403,-1.0605293783919956,1,15.0,1,1,-1.141421731600281,-1.141421731600281
2016-02-10,air_c225148c0fcc5c72,0,0,0,0,0,0,1,-1.2528308622008837,-1.1847402371937867,0.0,0.007845504294426113,-1.1895217028185778,1,20.0,1,1,-0.8188493109126576,-0.8188493109126576
2016-02-11,air_c225148c0fcc5c72,0,0,0,0,1,0,0,-1.0975647409049507,-1.019993942716527,1.0,1.158097666170786,-1.224701427662191,1,27.0,1,1,-0.891827203417006,-0.891827203417006
2016-02-12,air_c225148c0fcc5c72,1,0,0,0,0,0,0,-0.5003873513052093,-0.3139383949568431,0.0,0.44238520989216223,-0.732185279851605,1,16.0,1,1,-0.835826806738322,-0.835826806738322
2016-02-13,air_c225148c0fcc5c72,0,0,1,0,0,0,0,-0.16596801312935408,-0.16095969294224485,0.0,-1.4491405674156301,-0.08722365771869488,1,18.0,1,1,-0.6467937935152527,-0.6467937935152527
2016-02-14,air_c225148c0fcc5c72,0,0,0,1,0,0,0,-0.07041963079339536,0.01555419399767614,0.0,-0.3244495646920779,-0.27484885688463234,1,32.0,1,1,-1.18095142337347,-1.18095142337347
2016-02-15,air_c225148c0fcc5c72,0,1,0,0,0,0,0,-1.1572824798649248,-1.0435291276418497,0.0,-0.9890397026650862,-1.1777951278707066,1,29.0,1,1,-1.3618757818738336,-1.3618757818738336
2016-02-16,air_c225148c0fcc5c72,0,0,0,0,0,1,0,-1.3842098879128268,-1.4083244939843533,0.0,0.46794636904497017,-1.365420327036644,1,20.0,1,1,-1.201983246560487,-1.201983246560487
2016-02-17,air_c225148c0fcc5c72,0,0,0,0,0,0,1,-1.2170002188248992,-1.2082754221191094,0.0,0.03340666344723403,-1.1308888280792224,1,20.0,1,1,-1.0337286610643501,-1.0337286610643501
2016-02-19,air_c225148c0fcc5c72,1,0,0,0,0,0,0,-0.7631454027290956,-0.6551985763740238,0.0,0.6213133239618182,-0.9315370539654136,1,13.0,1,1,-0.7255997816015457,-0.7255997816015457
2016-02-20,air_c225148c0fcc5c72,0,0,1,0,0,0,0,-0.7273147593531111,-0.8434800557766061,0.0,-1.4491405674156301,-0.4742006309984409,1,21.0,1,1,-0.7595547732528745,-0.7595547732528745
